sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
de-wmf_1871446030,base,Kitchen,simple,[Default Category]/Küchenwaren/Kaffee & Tee/,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Kaffeemasslöffel Profi Plus</h1>Ein Kaffeemaßlöffel sieht nicht nur edel aus, sondern Sie können damit bei jeder Kaffeebrühung Ihr Kaffeepulver genau dosieren. Verwenden Sie ca. 7 g Kaffee-Pulver (dies entspricht einem gestrichenen Kaffeemaßlöffel) auf 150-160 ml Wasser. Da der Geschmack je nach Person anders sein kann, können die Angaben selbstverständlich variieren. Der Kaffeemaßlöffel von Profi Plus hat eine praktische Aufhängeöse.<br>Hinter ""Profi Plus"" stehen über 100 verschiedene Küchenhelfer, die selbst höchsten Ansprüchen von Profiköchen gerecht werden. Die schwere Ausführung in hochwertigem Cromargan®, Edelstahl Rostfrei 18/10 ist absolut stabil und langlebig, wasserdicht, garantiert spülmaschinenfest - einfach unverwüstlich. Das anspruchsvolle und zugleich zeitlose Design passt in jede moderne Küche.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert/ matt<br><h3>Maße </h3>Länge in cm:17.5    </div>",No,,,0,/wmf/kaffe/kaffelmassloffel-profi-plus-wmf_1871446030.jpg,,,,,Kaffelmaßlöffel  Profi Plus,Kaffelmaßlöffel  Profi Plus,Kaffelmaßlöffel  Profi Plus - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kaffelmassloffel-Profi-Plus,,,Product Info Column,,"14,95",0,,,,/wmf/kaffe/kaffelmassloffel-profi-plus-wmf_1871446030.jpg,,,,,1,2,/wmf/kaffe/kaffelmassloffel-profi-plus-wmf_1871446030.jpg,,,Kaffelmalffel  Profi Plus,Kaffelmalffel  Profi Plus.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0617827390,base,Kitchen,simple,[Default Category]/Küchenwaren/Kaffee & Tee/,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF Filterkaraffe 2.6 Liter Akva, schwarz</h1>Material: Kunststoff Maße: V 2,6 l Bei der Filterkaraffe Akva wird das gesamte Volumen genutzt. Der Aufsatz kann dank einem ausgeklügelten Auslaufschutz separat befüllt und auf die Karaffe gesetzt werden, wo sich das Ventil automatisch öffnet und den Filterprozess auslässt. Zweimal gefüllt ergibt das insgesamt 2,6 Liter mit Magnesium mineralisiertes Wasser als Überbringer des guten Geschmacks von Tee und Kaffee, Gemüse, Salat und Kräutern. Und natürlich als reiner Durstlöscher. So erhält man die doppelte Menge köstliches Wasser gegenüber einem herkömmlich in die Karaffe eingesetztem Filter. Basics für Ihren Haushalt. Die Kollektion Basic enthält Gebrauchsgegenstände für den täglichen Einsatz in der Küche als auch zum Servieren auf dem Tisch. Zuckerstreuer, Sahnespender, Honigspender, Essig- und Öl-dosierer in formschönen Design.<br>Filterkaraffe Akva - 2,6 Liter, erhältlich in den Farben schwarz und weiß<br>Behälter aus hochwertigem ABS-Kunststoff, Deckel aus PP-Kunststoff<br>Verbrauchsanzeige mit LED-Beleuchtung<br>Die patentierte Mg2+ Technologie mineralisiert beim Filtern Leitungswasser mit Magnesium-Ionen. Zusätzlich werden Kalk &amp; Stoffe entzogen, die den Geschmack beeinträchtigen. Das Wasser schmeckt dadurch deutlich besser, Kaffee &amp; Tee entfalten mehr Geschmack<br>Wasserbehälter ohne Deckel für die Spülmaschine geeignet    </div>",No,,,0,/wmf/kaffe/-filterkaraffe-akva-2-6l-schwarz-wmf_0617827390-1-1.jpg,,,,," Filterkaraffe Akva 2,6L schwarz"," Filterkaraffe Akva 2,6L schwarz"," Filterkaraffe Akva 2,6L schwarz - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,-Filterkaraffe-Akva-2-6L-schwarz,,,Product Info Column,,"29,95",0,,,,/wmf/kaffe/-filterkaraffe-akva-2-6l-schwarz-wmf_0617827390-1-1.jpg,,,,,1,2,/wmf/kaffe/-filterkaraffe-akva-2-6l-schwarz-wmf_0617827390-1-1.jpg,,," Filterkaraffe Akva 2,6L schwarz"," Filterkaraffe Akva 2,6L schwarz.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0950472040,base,Kitchen,simple,[Default Category]/Küchenwaren/Kaffee & Tee/,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Wasserglas-Set 2 Stück Basic</h1>Passend zur Basic Wasserkaraffe mit Close-Up-Öffnung bietet WMF Wassergläser an. Die Wassergläser sind dem Design der Wasserkaraffe angepasst. Die Wassergläser haben in ihrem Boden eine Vertiefung, ähnlich wie die Baristatassen von WMF. Diese Vertiefung sorgt für einen besseren Stand. So können auch Wassergläser und Baristauntertassen kombiniert werden.<br>Basics für Ihren Haushalt. Die Kollektion Basic enthält schöne, funktionale und trendige Artikel, für stilvolles Trinken und Servieren, rund um den gedeckten Tisch.<br><h3>Material </h3>Glas<br><h3>Maße</h3> Höhe in cm: 13.00<br>Volumen in ml: 265.00    </div>",No,,,0,/wmf/kaffe/2er-gp-wasserglaser-wmf_0950472040--2.jpg,,,,,2er GP Wassergläser,2er GP Wassergläser,2er GP Wassergläser - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,2er-GP-Wasserglaser,,,Product Info Column,,"14,95",0,,,,/wmf/kaffe/2er-gp-wasserglaser-wmf_0950472040--2.jpg,,,,,1,2,/wmf/kaffe/2er-gp-wasserglaser-wmf_0950472040--2.jpg,,,2er GP Wasserglser,2er GP Wasserglser.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0608986030,base,Kitchen,simple,[Default Category]/Küchenwaren/Kaffee & Tee/,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Butterdose loft Brunch</h1>Der aufwändig doppelwandige Butterteller ist durch seine ergonomischen Griffe sehr gut zu greifen. Der im Butterteller integrierte Buttersitz fixiert die Butter. Besonders stabile Kunststoffhaube.<br>Eine Butterdose sieht nicht nur besser aus, als die Butter mit ihrer Verpackung einfach so auf dem Tisch liegen zu, mit der richtigen Butterdose bleibt die Butter auch länger frisch. Der Boden ist meist eine flache, längliche Schale mit einer Vertiefung in Form eines Stücks Butter. Butterdosen mit dickeren Böden speichern die Kälte des Kühlschranks länger und halten die Butter außerhalb länger kühl. Der Deckel einer Butterdose sitzt meist locker auf dem Boden der Dose und bietet ausreichend Schutz vor Fliegen und anderen Einwirkungen.<br>Neue Ergänzungsteile für Frühstück und Brunch, Menagesets, Schokostreuer und Salz und Pfeffersets aus Kunststoff/Metall-Kombinationen sowie Glas/Metall-Kombinationen in hochwertiger Innen- und Außenbearbeitung.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>matt<br>Haube Kunststoff<br><h3>ProduktEigenschaften</h3>spülmaschinenfest<br><h3>Maße </h3>Länge x Breite in cm: 18 x 9    </div>",No,,,0,/wmf/kaffe/butterdose-loft-brunch-01_2081.jpg,,,,,Butterdose loft Brunch,Butterdose loft Brunch,Butterdose loft Brunch - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Butterdose-loft-Brunch,,,Product Info Column,,"29,95",0,,,,/wmf/kaffe/butterdose-loft-brunch-01_2081.jpg,,,,,1,2,/wmf/kaffe/butterdose-loft-brunch-01_2081.jpg,,,Butterdose loft Brunch,Butterdose loft Brunch.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0609559990,base,Kitchen,simple,[Default Category]/Küchenwaren/Kaffee & Tee/,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Butterdose Wagenfeld</h1>Das Unterteil der Butterdose hat eine hervorragende Haptik. dadurch ist sehr gute Greifen möglich. Die Größe ist für 250 g Butter geeignet.<br>Eine Butterdose sieht nicht nur besser aus, als die Butter mit ihrer Verpackung einfach so auf dem Tisch liegen zu, mit der richtigen Butterdose bleibt die Butter auch länger frisch. Der Boden ist meist eine flache, längliche Schale mit einer Vertiefung in Form eines Stücks Butter. Butterdosen mit dickeren Böden speichern die Kälte des Kühlschranks länger und halten die Butter außerhalb länger kühl. Der Deckel einer Butterdose sitzt meist locker auf dem Boden der Dose und bietet ausreichend Schutz vor Fliegen und anderen Einwirkungen.<br>Die Rückkehr eines Design Klassikers: Eierbecher, Salz- und Pfefferstreuer ""Max und Moritz"", Butterdose und Brotschale die Entwürfe von Wilhelm Wagenfeld, beeinflussten das Design der 50er Jahre nachhaltig und sorgte für millionenfache Verbreitung in deutschen Haushalten. Jetzt als Neuauflage im Originaldesign.<br><h3>Material </h3>mattiert<br>Cromargan® Edelstahl Rostfrei 18/10<br>Haube Kunststoff<br><h3>Maße </h3>Länge x Breite in cm: 22 x 11    </div>",No,,,0,/wmf/kaffe/butterdose-wagenfeld-edition-01_2053.jpg,,,,,Butterdose WAGENFELD EDITION,Butterdose WAGENFELD EDITION,Butterdose WAGENFELD EDITION - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Butterdose-WAGENFELD-EDITION,,,Product Info Column,,"19,95",0,,,,/wmf/kaffe/butterdose-wagenfeld-edition-01_2053.jpg,,,,,1,2,/wmf/kaffe/butterdose-wagenfeld-edition-01_2053.jpg,,,Butterdose WAGENFELD EDITION,Butterdose WAGENFELD EDITION.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0686246040,base,Kitchen,simple,[Default Category]/Küchenwaren/Kaffee & Tee/,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Café au Lait Tasse mit Löffel Barista</h1>Die weite Form der Café au Lait Tasse ist von der klassischen französischen ""bol"" übernommen und erlaubt es, Gebäck einzutunken. Barista-Code Bodenstärke:10,0 mm Tassenlippe: 2,0 mm. Der dicke Boden hält bei großem Volumen die Wärme. Die Wandung der Café au Lait Tasse wird dünner, damit heißer Kaffee schneller abkühlen kann. Weite Tulpenform für eine gute Vermischung von Milch und Kaffee.<br>Jede Tasse für sich...Knacken Sie den Kaffeegenuß Code mit Barista Tassen! Kaffee will seine Individualität entfalten und braucht dafür ausreichend Raum. Von der Größe der Tassen-Oberfläche hängt es ab, dass sich eine schöne Crema bildet und der Milchschaum standhaft bleibt. Barista Tassen haben deshalb für jede Kaffeespezialität die richtige Tasse, in der sich der individueller Kaffeegeschmack am besten entfalten kann. <br>Durch die Erhebung auf der Untertasse und der passenden Vertiefung bekommen die Barista Tassen festen Halt. Sahne- und Zuckerdosierer, sowie Schokostreuer ergänzen die bestehende WMF Barista Kollektion perfekt. Hinzu kommen außerdem ein Süßstoffspender und ein Sirup-/Honigspender. Damit kann jeder seinen Kaffee nach Belieben veredeln. Die modernen Dosierer machen nicht nur die Kaffeepause zu einem Genusserlebnis, sondern überzeugen auch mit bewährter Funktionalität.<br><h3>Material </h3>Porzellan<br>Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br><h3>Maße </h3>Länge in cm: 7.5<br>Volumen in ml: 225.00<br>Höhe in cm: 7.50    </div>",No,,,0,/wmf/kaffe/café-au-lait-tasse-mit-loffel-wmf_0686246040.jpg,,,,,Café au Lait Tasse mit Löffel,Café au Lait Tasse mit Löffel,Café au Lait Tasse mit Löffel - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Café-au-Lait-Tasse-mit-Loffel,,,Product Info Column,,"19,95",0,,,,/wmf/kaffe/café-au-lait-tasse-mit-loffel-wmf_0686246040.jpg,,,,,1,2,/wmf/kaffe/café-au-lait-tasse-mit-loffel-wmf_0686246040.jpg,,,Caf au Lait Tasse mit Lffel,Caf au Lait Tasse mit Lffel.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0686236040,base,Kitchen,simple,[Default Category]/Küchenwaren/Kaffee & Tee/,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Kaffeetasse Barista</h1>Die Café Crème Tasse mit Untertasse in unverwechselbarem Designmerkmal. Mit der passenden Vertiefung bekommt die Tasse festen Halt. Barista Code: Boden: 9,0 mm Tassenlippe: 2,0 mm Die Wandung dünner, damit heißer Kaffee schneller abkühlen kann. Weite Tulpenform, um die Marmorierung der Crema auch optisch zu genießen.<br>Jede Tasse für sich...Knacken Sie den Kaffeegenuß Code mit Barista Tassen! Kaffee will seine Individualität entfalten und braucht dafür ausreichend Raum. Von der Größe der Tassen-Oberfläche hängt es ab, dass sich eine schöne Crema bildet und der Milchschaum standhaft bleibt. Barista Tassen haben deshalb für jede Kaffeespezialität die richtige Tasse, in der sich der individueller Kaffeegeschmack am besten entfalten kann. <br>Durch die Erhebung auf der Untertasse und der passenden Vertiefung bekommen die Barista Tassen festen Halt. Sahne- und Zuckerdosierer, sowie Schokostreuer ergänzen die bestehende WMF Barista Kollektion perfekt. Hinzu kommen außerdem ein Süßstoffspender und ein Sirup-/Honigspender. Damit kann jeder seinen Kaffee nach Belieben veredeln. Die modernen Dosierer machen nicht nur die Kaffeepause zu einem Genusserlebnis, sondern überzeugen auch mit bewährter Funktionalität.<br><h3>Material </h3>Porzellan<br>Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br><h3>Maße </h3>Höhe in cm: 8.00<br>Volumen in ml: 150.00    </div>",No,,,0,/wmf/kaffe/café-crème-tasse-mit-loffel-wmf_0686236040--1.jpg,,,,,Café Crème Tasse mit Löffel,Café Crème Tasse mit Löffel,Café Crème Tasse mit Löffel - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Café-Crème-Tasse-mit-Loffel,,,Product Info Column,,"17,95",0,,,,/wmf/kaffe/café-crème-tasse-mit-loffel-wmf_0686236040--1.jpg,,,,,1,2,/wmf/kaffe/café-crème-tasse-mit-loffel-wmf_0686236040--1.jpg,,,Caf Crme Tasse mit Lffel,Caf Crme Tasse mit Lffel.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0686396040,base,Kitchen,simple,[Default Category]/Küchenwaren/Kaffee & Tee/,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Cappuccino Schablone Set ""Big bear"" Barista</h1>Mit den Cappuccino-Schablonen von Barista zaubern Sie lustige Motive auf jeden Milchschaum. Verzieren Sie die Cappuccino von Ihren Gästen mit einem Herz oder eine pfiffigen Spruch. Die Schablonen können optimal mit den Schokostreuer von Barista kombiniert werden.<br>Jede Tasse für sich...Knacken Sie den Kaffeegenuß Code mit Barista Tassen! Kaffee will seine Individualität entfalten und braucht dafür ausreichend Raum. Von der Größe der Tassen-Oberfläche hängt es ab, dass sich eine schöne Crema bildet und der Milchschaum standhaft bleibt. Barista Tassen haben deshalb für jede Kaffeespezialität die richtige Tasse, in der sich der individueller Kaffeegeschmack am besten entfalten kann. <br>Durch die Erhebung auf der Untertasse und der passenden Vertiefung bekommen die Barista Tassen festen Halt. Sahne- und Zuckerdosierer, sowie Schokostreuer ergänzen die bestehende WMF Barista Kollektion perfekt. Hinzu kommen außerdem ein Süßstoffspender und ein Sirup-/Honigspender. Damit kann jeder seinen Kaffee nach Belieben veredeln. Die modernen Dosierer machen nicht nur die Kaffeepause zu einem Genusserlebnis, sondern überzeugen auch mit bewährter Funktionalität.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br><h3>Produkteigenschaften </h3>spülmaschinenfest<br><h3>Maße</h3> Länge in cm: 12    </div>",No,,,0,"/wmf/kaffe/cappuccino-schablone-set-""big-bear""-barista-wmf_0686396040--1.jpg",,,,,"Cappuccino Schablone Set ""Big bear"" Barista","Cappuccino Schablone Set ""Big bear"" Barista","Cappuccino Schablone Set ""Big bear"" Barista - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,"Cappuccino-Schablone-Set-""Big-bear""-Barista",,,Product Info Column,,"9,95",0,,,,"/wmf/kaffe/cappuccino-schablone-set-""big-bear""-barista-wmf_0686396040--1.jpg",,,,,1,2,"/wmf/kaffe/cappuccino-schablone-set-""big-bear""-barista-wmf_0686396040--1.jpg",,,"Cappuccino Schablone Set ""Big bear"" Barista","Cappuccino Schablone Set ""Big bear"" Barista.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0686376040,base,Kitchen,simple,[Default Category]/Küchenwaren/Kaffee & Tee/,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Cappuccino Schablone Set ""Monkeyside"" Barista</h1>Mit den Cappuccino-Schablonen von Barista zaubern Sie lustige Motive auf jeden Milchschaum. Verzieren Sie die Cappuccino von Ihren Gästen mit einem Herz oder eine pfiffigen Spruch. Die Schablonen können optimal mit den Schokostreuer von Barista kombiniert werden.<br>Jede Tasse für sich...Knacken Sie den Kaffeegenuß Code mit Barista Tassen! Kaffee will seine Individualität entfalten und braucht dafür ausreichend Raum. Von der Größe der Tassen-Oberfläche hängt es ab, dass sich eine schöne Crema bildet und der Milchschaum standhaft bleibt. Barista Tassen haben deshalb für jede Kaffeespezialität die richtige Tasse, in der sich der individueller Kaffeegeschmack am besten entfalten kann. <br>Durch die Erhebung auf der Untertasse und der passenden Vertiefung bekommen die Barista Tassen festen Halt. Sahne- und Zuckerdosierer, sowie Schokostreuer ergänzen die bestehende WMF Barista Kollektion perfekt. Hinzu kommen außerdem ein Süßstoffspender und ein Sirup-/Honigspender. Damit kann jeder seinen Kaffee nach Belieben veredeln. Die modernen Dosierer machen nicht nur die Kaffeepause zu einem Genusserlebnis, sondern überzeugen auch mit bewährter Funktionalität.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br><h3>Produkteigenschaften </h3>spülmaschinenfest<br><h3>Maße</h3> Länge in cm: 12    </div>",No,,,0,"/wmf/kaffe/cappuccino-schablone-set-""monkeyside""-barista-01_2004.jpg",,,,,"Cappuccino Schablone Set ""Monkeyside"" Barista","Cappuccino Schablone Set ""Monkeyside"" Barista","Cappuccino Schablone Set ""Monkeyside"" Barista - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,"Cappuccino-Schablone-Set-""Monkeyside""-Barista",,,Product Info Column,,"9,95",0,,,,"/wmf/kaffe/cappuccino-schablone-set-""monkeyside""-barista-01_2004.jpg",,,,,1,2,"/wmf/kaffe/cappuccino-schablone-set-""monkeyside""-barista-01_2004.jpg",,,"Cappuccino Schablone Set ""Monkeyside"" Barista","Cappuccino Schablone Set ""Monkeyside"" Barista.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0686406040,base,Kitchen,simple,[Default Category]/Küchenwaren/Kaffee & Tee/,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Cappuccino Schablone Set ""Sweetheart"" Barista</h1>Mit den Cappuccino-Schablonen von Barista zaubern Sie lustige Motive auf jeden Milchschaum. Verzieren Sie die Cappuccino von Ihren Gästen mit einem Herz oder eine pfiffigen Spruch. Die Schablonen können optimal mit den Schokostreuer von Barista kombiniert werden.<br>Jede Tasse für sich...Knacken Sie den Kaffeegenuß Code mit Barista Tassen! Kaffee will seine Individualität entfalten und braucht dafür ausreichend Raum. Von der Größe der Tassen-Oberfläche hängt es ab, dass sich eine schöne Crema bildet und der Milchschaum standhaft bleibt. Barista Tassen haben deshalb für jede Kaffeespezialität die richtige Tasse, in der sich der individueller Kaffeegeschmack am besten entfalten kann. <br>Durch die Erhebung auf der Untertasse und der passenden Vertiefung bekommen die Barista Tassen festen Halt. Sahne- und Zuckerdosierer, sowie Schokostreuer ergänzen die bestehende WMF Barista Kollektion perfekt. Hinzu kommen außerdem ein Süßstoffspender und ein Sirup-/Honigspender. Damit kann jeder seinen Kaffee nach Belieben veredeln. Die modernen Dosierer machen nicht nur die Kaffeepause zu einem Genusserlebnis, sondern überzeugen auch mit bewährter Funktionalität.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br><h3>Produkteigenschaften </h3>spülmaschinenfest<br><h3>Maße</h3> Länge in cm: 12    </div>",No,,,0,"/wmf/kaffe/cappuccino-schablone-set-""sweetheart""-barista-01_2048.jpg",,,,,"Cappuccino Schablone Set ""Sweetheart"" Barista","Cappuccino Schablone Set ""Sweetheart"" Barista","Cappuccino Schablone Set ""Sweetheart"" Barista - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,"Cappuccino-Schablone-Set-""Sweetheart""-Barista",,,Product Info Column,,"9,95",0,,,,"/wmf/kaffe/cappuccino-schablone-set-""sweetheart""-barista-01_2048.jpg",,,,,1,2,"/wmf/kaffe/cappuccino-schablone-set-""sweetheart""-barista-01_2048.jpg",,,"Cappuccino Schablone Set ""Sweetheart"" Barista","Cappuccino Schablone Set ""Sweetheart"" Barista.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
