sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
de-zielonka_15031,base,Kitchen,simple,[Default Category]/Küchenwaren/Geruchsstopper/,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Kühlschrank Becher Acryl Lila</h1>Perfekte Frische in Ihrem Kühlschrank<br>Neutralisiert Gerüche<br>Verhindert Geruchsübertragung auf andere Lebensmittel<br>Einfache Platzierung im Kühlschrank<br>Lebensmittelecht<br>Verbraucht sich nicht, hält ein Leben lang<br>Ohne Zusätze, daher sehr umweltfreundlich<br><h3>Anwendung:</h3>Füllen Sie den Becher bis zur Markierung mit Wasser<br>Stellen Sie den Becher in Ihren Kühlschrank<br>Füllen Sie bei Bedarf Wasser nach<br>Entfernen Sie eventuelle Kalkablagerungen mit Essigreiniger oder dem Zielonka Pflege Set    </div>",No,,,0,/zielonka/kuhlschrank-geruschskiller/kuhlschrank-becher-acryl-lila-zielonka_15031.jpg,,,,,"Kühlschrank-Becher, Acryl Lila","Kühlschrank-Becher, Acryl Lila","Kühlschrank-Becher, Acryl Lila - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Kuhlschrank-Becher-Acryl-Lila,,,Product Info Column,,"14,95",0,,,,/zielonka/kuhlschrank-geruschskiller/kuhlschrank-becher-acryl-lila-zielonka_15031.jpg,,,,,1,2,/zielonka/kuhlschrank-geruschskiller/kuhlschrank-becher-acryl-lila-zielonka_15031.jpg,,,"Khlschrank-Becher, Acryl Lila","Khlschrank-Becher, Acryl Lila.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zielonka_50150,base,Kitchen,simple,[Default Category]/Küchenwaren/Geruchsstopper/,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Zielonka zilogusto Duo - Probierlöffel blau</h1>Das perfekte Abstimmen der Gewürze ist das A und O beim Kochen. Dabei hilft Ihnen jetzt der neue zilogusto. Der Duo-Probierlöffel besteht aus dem Lutscher, der störende Aromen im Mund vor dem Probieren neutralisiert, und dem Löffel, der durch seine spezielle Form feinstes Abschmecken erlaubt.<br>Lutscher:<br>- Lebensmittelechter Kunststoff, spülmaschinenfest<br>- Neutralisiert selbst hartnäckigste Geschmäcke im Mund vor dem Abschmecken der Speisen<br>- Hält ein Leben lang und verbraucht sich nicht<br>Löffel:<br>- Edelstahl 18/10, spülmaschinenfest<br>- Flache und breite Laffenform für perfekte Auffächerung der Aromen und schnelles Auskühlen der Speisen<br>- Spezieller Neigungswinkel der Laffe zum Probieren von Suppen und Soßen<br>- Extra langer Löffelstiel auch für tiefe Töpfe<br>- Messmarkierung für genaue Portionierung (5 ml = 1 TL, 15 ml = 1 EL)    </div>",No,,,0,/zielonka/kuhlschrank-geruschskiller/zilogusto-01_1670.jpg,,,,,Zilogusto,Zilogusto,Zilogusto - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Zilogusto,,,Product Info Column,,"12,95",0,,,,/zielonka/kuhlschrank-geruschskiller/zilogusto-01_1670.jpg,,,,,1,2,/zielonka/kuhlschrank-geruschskiller/zilogusto-01_1670.jpg,,,Zilogusto,Zilogusto.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zielonka_15050,base,Kitchen,simple,[Default Category]/Küchenwaren/Geruchsstopper/,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>zilofresh egg Acryl Weiß</h1><h3>Perfekte Frische in Ihrem Kühlschrank<h3>Neutralisiert Gerüche<br>Verhindert Geruchsübertragung auf andere Lebensmittel<br>Einfache Platzierung im Kühlschrank<br>Lebensmittelecht<br>Verbraucht sich nicht, hält ein Leben lang<br>Ohne Zusätze, daher sehr umweltfreundlich<br><h3>Anwendung<h3>Füllen Sie das Unterteil bis zur Markierung mit Wasser<br>Setzen Sie das Oberteil auf das Unterteil<br>Stellen Sie zilofresh- egg in Ihren Kühlschrank<br>Füllen Sie bei Bedarf Wasser nach<br>Entfernen Sie eventuelle Kalkablagerungen mit Essigreiniger    </h3></h3></h3></h3></div>",No,,,0,/zielonka/kuhlschrank-geruschskiller/zilofresh-egg-acryl-weiss-zielonka_15050.jpg,,,,,"Zilofresh egg, Acryl Weiß","Zilofresh egg, Acryl Weiß","Zilofresh egg, Acryl Weiß - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Zilofresh-egg-Acryl-Weiss,,,Product Info Column,,"19,95",0,,,,/zielonka/kuhlschrank-geruschskiller/zilofresh-egg-acryl-weiss-zielonka_15050.jpg,,,,,1,2,/zielonka/kuhlschrank-geruschskiller/zilofresh-egg-acryl-weiss-zielonka_15050.jpg,,,"Zilofresh egg, Acryl Wei","Zilofresh egg, Acryl Wei.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zielonka_15054,base,Kitchen,simple,[Default Category]/Küchenwaren/Geruchsstopper/,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Zilofresh egg, Acryl Rot</h1><h3>Perfekte Frische in Ihrem Kühlschrank<h3>Neutralisiert Gerüche<br>Verhindert Geruchsübertragung auf andere Lebensmittel<br>Einfache Platzierung im Kühlschrank<br>Lebensmittelecht<br>Verbraucht sich nicht, hält ein Leben lang<br>Ohne Zusätze, daher sehr umweltfreundlich<br><h3>Anwendung<h3>Füllen Sie das Unterteil bis zur Markierung mit Wasser<br>Setzen Sie das Oberteil auf das Unterteil<br>Stellen Sie zilofresh- egg in Ihren Kühlschrank<br>Füllen Sie bei Bedarf Wasser nach<br>Entfernen Sie eventuelle Kalkablagerungen mit Essigreiniger    </h3></h3></h3></h3></div>",No,,,0,/zielonka/kuhlschrank-geruschskiller/zilofresh-egg-acryl-rot-zielonka_15054.jpg,,,,,"Zilofresh egg, Acryl Rot","Zilofresh egg, Acryl Rot","Zilofresh egg, Acryl Rot - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Zilofresh-egg-Acryl-Rot,,,Product Info Column,,"19,95",0,,,,/zielonka/kuhlschrank-geruschskiller/zilofresh-egg-acryl-rot-zielonka_15054.jpg,,,,,1,2,/zielonka/kuhlschrank-geruschskiller/zilofresh-egg-acryl-rot-zielonka_15054.jpg,,,"Zilofresh egg, Acryl Rot","Zilofresh egg, Acryl Rot.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zielonka_15053,base,Kitchen,simple,[Default Category]/Küchenwaren/Geruchsstopper/,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Zilofresh egg, Acryl Lila</h1><h3>Perfekte Frische in Ihrem Kühlschrank<h3>Neutralisiert Gerüche<br>Verhindert Geruchsübertragung auf andere Lebensmittel<br>Einfache Platzierung im Kühlschrank<br>Lebensmittelecht<br>Verbraucht sich nicht, hält ein Leben lang<br>Ohne Zusätze, daher sehr umweltfreundlich<br><h3>Anwendung<h3>Füllen Sie das Unterteil bis zur Markierung mit Wasser<br>Setzen Sie das Oberteil auf das Unterteil<br>Stellen Sie zilofresh- egg in Ihren Kühlschrank<br>Füllen Sie bei Bedarf Wasser nach<br>Entfernen Sie eventuelle Kalkablagerungen mit Essigreiniger    </h3></h3></h3></h3></div>",No,,,0,/zielonka/kuhlschrank-geruschskiller/zilofresh-egg-acryl-lila-zielonka_15053.jpg,,,,,"Zilofresh egg, Acryl Lila","Zilofresh egg, Acryl Lila","Zilofresh egg, Acryl Lila - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Zilofresh-egg-Acryl-Lila,,,Product Info Column,,"19,95",0,,,,/zielonka/kuhlschrank-geruschskiller/zilofresh-egg-acryl-lila-zielonka_15053.jpg,,,,,1,2,/zielonka/kuhlschrank-geruschskiller/zilofresh-egg-acryl-lila-zielonka_15053.jpg,,,"Zilofresh egg, Acryl Lila","Zilofresh egg, Acryl Lila.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zielonka_15051,base,Kitchen,simple,[Default Category]/Küchenwaren/Geruchsstopper/,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Zilofresh egg, Acryl Blau</h1><h3>Perfekte Frische in Ihrem Kühlschrank<h3>Neutralisiert Gerüche<br>Verhindert Geruchsübertragung auf andere Lebensmittel<br>Einfache Platzierung im Kühlschrank<br>Lebensmittelecht<br>Verbraucht sich nicht, hält ein Leben lang<br>Ohne Zusätze, daher sehr umweltfreundlich<br><h3>Anwendung<h3>Füllen Sie das Unterteil bis zur Markierung mit Wasser<br>Setzen Sie das Oberteil auf das Unterteil<br>Stellen Sie zilofresh- egg in Ihren Kühlschrank<br>Füllen Sie bei Bedarf Wasser nach<br>Entfernen Sie eventuelle Kalkablagerungen mit Essigreiniger    </h3></h3></h3></h3></div>",No,,,0,/zielonka/kuhlschrank-geruschskiller/zilofresh-egg-acryl-blau-zielonka_15051.jpg,,,,,"Zilofresh egg, Acryl Blau","Zilofresh egg, Acryl Blau","Zilofresh egg, Acryl Blau - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Zilofresh-egg-Acryl-Blau,,,Product Info Column,,"17,95",0,,,,/zielonka/kuhlschrank-geruschskiller/zilofresh-egg-acryl-blau-zielonka_15051.jpg,,,,,1,2,/zielonka/kuhlschrank-geruschskiller/zilofresh-egg-acryl-blau-zielonka_15051.jpg,,,"Zilofresh egg, Acryl Blau","Zilofresh egg, Acryl Blau.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zielonka_70006,base,Kitchen,simple,[Default Category]/Küchenwaren/Geruchsstopper/,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        Verdunster, blau    </div>",No,,,0,/zielonka/kuhlschrank-geruschskiller/verdunster-blau-01_1613.jpg,,,,,"Verdunster, blau","Verdunster, blau","Verdunster, blau - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Verdunster-blau,,,Product Info Column,,"49,95",0,,,,/zielonka/kuhlschrank-geruschskiller/verdunster-blau-01_1613.jpg,,,,,1,2,/zielonka/kuhlschrank-geruschskiller/verdunster-blau-01_1613.jpg,,,"Verdunster, blau","Verdunster, blau.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zielonka_15017,base,Kitchen,simple,[Default Category]/Küchenwaren/Geruchsstopper/,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Kühlschrank Comfort</h1>Neutralisiert Gerüche in Ihrem Kühlschrank.<br>Beseitigt Gerüche von Wurst, Käse, Soßen, frischem Fisch uvm.<br>Verhindert Geruchsübertragung auf andere Speisen <br>Verbraucht sich nicht, hält ein Leben lang<br>Ohne Zusätze, daher sehr umweltfreundlich<br><h3>Anwendung:</h3>Vor dem ersten Gebrauch mit warmen Wasser und Spülmittel reinigen<br>Tränken Sie den Schwamm mit Wasser und stecken Sie ihn in die Halterung<br>Hängen Sie den Kühlschrank Comfort in Ihren Kühlschrank<br>Überprüfen Sie ca. alle 14 Tage die Feuchtigkeit des Schwammes    </div>",No,,,0,/zielonka/kuhlschrank-geruschskiller/kuhlschrank-comfort-geruchskiller-02_239.jpg,,,,,Kühlschrank-Comfort Geruchskiller,Kühlschrank-Comfort Geruchskiller,Kühlschrank-Comfort Geruchskiller - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kuhlschrank-Comfort-Geruchskiller,,,Product Info Column,,"21,95",0,,,,/zielonka/kuhlschrank-geruschskiller/kuhlschrank-comfort-geruchskiller-02_239.jpg,,,,,1,2,/zielonka/kuhlschrank-geruschskiller/kuhlschrank-comfort-geruchskiller-02_239.jpg,,,Khlschrank-Comfort Geruchskiller,Khlschrank-Comfort Geruchskiller.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zielonka_15030,base,Kitchen,simple,[Default Category]/Küchenwaren/Geruchsstopper/,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Kühlschrank Becher Weiß</h1>Perfekte Frische in Ihrem Kühlschrank<br>Neutralisiert Gerüche<br>Verhindert Geruchsübertragung auf andere Lebensmittel<br>Einfache Platzierung im Kühlschrank<br>Lebensmittelecht<br>Verbraucht sich nicht, hält ein Leben lang<br>Ohne Zusätze, daher sehr umweltfreundlich<br><h3>Anwendung:</h3>Füllen Sie den Becher bis zur Markierung mit Wasser<br>Stellen Sie den Becher in Ihren Kühlschrank<br>Füllen Sie bei Bedarf Wasser nach<br>Entfernen Sie eventuelle Kalkablagerungen mit Essigreiniger oder dem Zielonka Pflege Set    </div>",No,,,0,/zielonka/kuhlschrank-geruschskiller/kuhlschrank-becher-weiss-01_1632.jpg,,,,,"Kühlschrank-Becher, weiss","Kühlschrank-Becher, weiss","Kühlschrank-Becher, weiss - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Kuhlschrank-Becher-weiss,,,Product Info Column,,"14,95",0,,,,/zielonka/kuhlschrank-geruschskiller/kuhlschrank-becher-weiss-01_1632.jpg,,,,,1,2,/zielonka/kuhlschrank-geruschskiller/kuhlschrank-becher-weiss-01_1632.jpg,,,"Khlschrank-Becher, weiss","Khlschrank-Becher, weiss.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zielonka_15029,base,Kitchen,simple,[Default Category]/Küchenwaren/Geruchsstopper/,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Kühlschrank Becher Mint</h1>Perfekte Frische in Ihrem Kühlschrank<br>Neutralisiert Gerüche<br>Verhindert Geruchsübertragung auf andere Lebensmittel<br>Einfache Platzierung im Kühlschrank<br>Lebensmittelecht<br>Verbraucht sich nicht, hält ein Leben lang<br>Ohne Zusätze, daher sehr umweltfreundlich<br><h3>Anwendung:</h3>Füllen Sie den Becher bis zur Markierung mit Wasser<br>Stellen Sie den Becher in Ihren Kühlschrank<br>Füllen Sie bei Bedarf Wasser nach<br>Entfernen Sie eventuelle Kalkablagerungen mit Essigreiniger oder dem Zielonka Pflege Set    </div>",No,,,0,/zielonka/kuhlschrank-geruschskiller/kuhlschrank-becher-mint-01_1641.jpg,,,,,"Kühlschrank-Becher, mint","Kühlschrank-Becher, mint","Kühlschrank-Becher, mint - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Kuhlschrank-Becher-mint,,,Product Info Column,,"14,95",0,,,,/zielonka/kuhlschrank-geruschskiller/kuhlschrank-becher-mint-01_1641.jpg,,,,,1,2,/zielonka/kuhlschrank-geruschskiller/kuhlschrank-becher-mint-01_1641.jpg,,,"Khlschrank-Becher, mint","Khlschrank-Becher, mint.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
