sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
de-wmf_0774246380,base,Kitchen,simple,[Default Category]/Küchenwaren/Topf & Pfanne,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Bratentopf Ø 24 cm Quality One</h1>Ein Bratentopf eignet sich hervorragend zum Schmoren von Fleisch, nach Zugabe von etwas Flüssigkeit z. B bei Gulasch o. ä. WMF bietet Bratentöpfe in unterschiedlichen Größen und unterschiedlichem Design - für jeden Geschmack. Sie können wählen zwischen 16 cm, 20 cm und 24 cm Durchmesser. Entscheidend ist, welche Mengen Sie zubereiten möchten und welche Größen Ihre Herdplatten haben.<br>Klassisch elegante Serie für alle, die das Kochen gerne selbst in die Hand nehmen. Die Griffe sind mit der einzigartigen patentierten Cool+ Technology ausgestattet und werden beim Kochen nicht heiß. Augenfälliges Merkmal dafür sind die signalroten Dots. Die Töpfe sind aus pflegeleichtem Cromargan®. Die Deckel aus hitzebeständigem Güteglas haben Öffnungen, durch die der Dampf kontrolliert abziehen kann. Der TransTherm®-Allherdboden ist für alle Herdarten geeignet.<br><h3>Material </h3>Cromargan®: Edelstahl Rostfrei 18/10<br>poliert<br><h3>Produkteigenschaften </h3>spülmaschinenbeständig<br>TransTherm®-Allherdboden<br>induktionsgeeignet<br>Güteglasdeckel mit Cromargan® Steckrand<br><h3>Maße </h3>Durchmesser in cm: 24<br>Volumen in l: 4.80<br>Höhe in cm: 10.00<br><h3>Eigenschaften </h3>Cool+ reduziert effektiv die Wärmeübertragung vom Topf auf den Griff.<br>Hitzebeständiger Güteglasdeckel mit Dampföffnung für kontrolliertes Abdampfen.<br>Cromargan® 18/10 – pflegeleicht und unverwüstlich.<br>TransTherm®-Allherdboden, für alle Herdarten geeignet.    </div>",No,,,0,/wmf/kochtopf/bratentopf-quality-one-24-01_2023.jpg,,,,,Bratentopf Quality One 24,Bratentopf Quality One 24,Bratentopf Quality One 24 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Bratentopf-Quality-One-24,,,Product Info Column,,"114,00",0,,,,/wmf/kochtopf/bratentopf-quality-one-24-01_2023.jpg,,,,,1,2,/wmf/kochtopf/bratentopf-quality-one-24-01_2023.jpg,,,Bratentopf Quality One 24,Bratentopf Quality One 24.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0722206030,base,Kitchen,simple,[Default Category]/Küchenwaren/Topf & Pfanne,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Bratentopf Ø 20 cm Gourmet Plus</h1>Ein Bratentopf eignet sich hervorragend zum Schmoren von Fleisch, nach Zugabe von etwas Flüssigkeit z. B bei Gulasch o. ä. WMF bietet Bratentöpfe in unterschiedlichen Größen und unterschiedlichem Design - für jeden Geschmack. Sie können wählen zwischen 16 cm, 20 cm und 24 cm Durchmesser. Entscheidend ist, welche Mengen Sie zubereiten möchten und welche Größen Ihre Herdplatten haben.<br>Stabil und unverwüstlich. Die Serie wird alle begeistern, die gerne gut kochen. Die Töpfe sind aus pflegeleichtem Cromargan® in schwerer Profiqualität mit mattierter Oberfläche. Die stabilen Hohlgriffe liegen gut in der Hand. Der schwere Aufliegedeckel verschließt dicht und lässt sich schnell zur Seite schieben. Die Innenskalierung macht das Dosieren der Füllmengen einfach. Der TransTherm®-Allherdboden für alle Herdarten verteilt die Hitze gleichmäßig und speichert sie lange.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>mattiert<br><h3>Produkteigenschaften </h3>spülmaschinenbeständig<br>Kaltgriffe aus Edelstahl<br>TransTherm®-Allherdboden<br>induktionsgeeignet<br>Aufliegedeckel<br><h3>Maße </h3>Volumen in l: 2.50<br>Durchmesser in cm: 20<br>Höhe in cm: 9.00<br><h3>Eigenschaften </h3>backofentauglich    </div>",No,,,0,/wmf/kochtopf/bratentopf-gourmet-plus-20cm-wmf_0722206030.jpg,,,,,Bratentopf Gourmet Plus 20cm,Bratentopf Gourmet Plus 20cm,Bratentopf Gourmet Plus 20cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Bratentopf-Gourmet-Plus-20cm,,,Product Info Column,,"119,00",0,,,,/wmf/kochtopf/bratentopf-gourmet-plus-20cm-wmf_0722206030.jpg,,,,,1,2,/wmf/kochtopf/bratentopf-gourmet-plus-20cm-wmf_0722206030.jpg,,,Bratentopf Gourmet Plus 20cm,Bratentopf Gourmet Plus 20cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0722246030,base,Kitchen,simple,[Default Category]/Küchenwaren/Topf & Pfanne,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Bratentopf Ø 24 cm Gourmet Plus</h1>Ein Bratentopf eignet sich hervorragend zum Schmoren von Fleisch, nach Zugabe von etwas Flüssigkeit z. B bei Gulasch o. ä. WMF bietet Bratentöpfe in unterschiedlichen Größen und unterschiedlichem Design - für jeden Geschmack. Sie können wählen zwischen 16 cm, 20 cm und 24 cm Durchmesser. Entscheidend ist, welche Mengen Sie zubereiten möchten und welche Größen Ihre Herdplatten haben.<br>Stabil und unverwüstlich. Die Serie wird alle begeistern, die gerne gut kochen. Die Töpfe sind aus pflegeleichtem Cromargan® in schwerer Profiqualität mit mattierter Oberfläche. Die stabilen Hohlgriffe liegen gut in der Hand. Der schwere Aufliegedeckel verschließt dicht und lässt sich schnell zur Seite schieben. Die Innenskalierung macht das Dosieren der Füllmengen einfach. Der TransTherm®-Allherdboden für alle Herdarten verteilt die Hitze gleichmäßig und speichert sie lange.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>mattiert<br><h3>Produkteigenschaften </h3>spülmaschinenbeständig<br>Kaltgriffe aus Edelstahl<br>TransTherm®-Allherdboden<br>induktionsgeeignet<br>Aufliegedeckel<br><h3>Maße </h3>Volumen in l: 4.10<br>Durchmesser in cm: 24<br>Höhe in cm: 11.00<br><h3>Eigenschaften </h3>backofentauglich    </div>",No,,,0,/wmf/kochtopf/bratentopf-gourmet-plus-24cm-wmf_0722246030.jpg,,,,,Bratentopf Gourmet Plus 24cm,Bratentopf Gourmet Plus 24cm,Bratentopf Gourmet Plus 24cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Bratentopf-Gourmet-Plus-24cm,,,Product Info Column,,"144,00",0,,,,/wmf/kochtopf/bratentopf-gourmet-plus-24cm-wmf_0722246030.jpg,,,,,1,2,/wmf/kochtopf/bratentopf-gourmet-plus-24cm-wmf_0722246030.jpg,,,Bratentopf Gourmet Plus 24cm,Bratentopf Gourmet Plus 24cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0712766040,base,Kitchen,simple,[Default Category]/Küchenwaren/Topf & Pfanne,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Bratentopf Ø 12 cm Mini</h1>Ein Bratentopf eignet sich hervorragend zum Schmoren von Fleisch, nach Zugabe von etwas Flüssigkeit z. B bei Gulasch o. ä. WMF bietet Bratentöpfe in unterschiedlichen Größen und unterschiedlichem Design - für jeden Geschmack. Sie können wählen zwischen 16 cm, 20 cm und 24 cm Durchmesser. Entscheidend ist, welche Mengen Sie zubereiten möchten und welche Größen Ihre Herdplatten haben.<br>Die kleinen Edelstahltöpfe mit geringem Durchmesser sind ideal für den Einpersonen-Haushalt, für kleine Portionen oder für Reste zum Aufwärmen. Die Töpfe sind aus pflegeleichtem Cromargan® und haben einen TransTherm®-Allherdboden, der für alle Herdarten geeignet ist. Gemüsedämpfer und Nudeltopf haben einen gelochten Einsatz.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br><h3>Produkteigenschaften </h3>induktionsgeeignet<br>TransTherm®-Allherdboden<br>spülmaschinenfest<br>Deckel: Cromargan®:Edelstahl Rostfrei 18/10<br><h3>Maße </h3>Höhe in cm: 10.50<br>Volumen in l: 0.70<br>Durchmesser in cm: 12    </div>",No,,,0,/wmf/kochtopf/bratentopf-mini-12cm-m-deckel-wmf_0712766040.jpg,,,,,Bratentopf MINI 12cm m. Deckel,Bratentopf MINI 12cm m. Deckel,Bratentopf MINI 12cm m. Deckel - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Bratentopf-MINI-12cm-m-Deckel,,,Product Info Column,,"19,95",0,,,,/wmf/kochtopf/bratentopf-mini-12cm-m-deckel-wmf_0712766040.jpg,,,,,1,2,/wmf/kochtopf/bratentopf-mini-12cm-m-deckel-wmf_0712766040.jpg,,,Bratentopf MINI 12cm m. Deckel,Bratentopf MINI 12cm m. Deckel.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0714766040,base,Kitchen,simple,[Default Category]/Küchenwaren/Topf & Pfanne,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Bratentopf Ø 14 cm Mini</h1>Ein Bratentopf eignet sich hervorragend zum Schmoren von Fleisch, nach Zugabe von etwas Flüssigkeit z. B bei Gulasch o. ä. WMF bietet Bratentöpfe in unterschiedlichen Größen und unterschiedlichem Design - für jeden Geschmack. Sie können wählen zwischen 16 cm, 20 cm und 24 cm Durchmesser. Entscheidend ist, welche Mengen Sie zubereiten möchten und welche Größen Ihre Herdplatten haben.<br>Die kleinen Edelstahltöpfe mit geringem Durchmesser sind ideal für den Einpersonen-Haushalt, für kleine Portionen oder für Reste zum Aufwärmen. Die Töpfe sind aus pflegeleichtem Cromargan® und haben einen TransTherm®-Allherdboden, der für alle Herdarten geeignet ist. Gemüsedämpfer und Nudeltopf haben einen gelochten Einsatz.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br><h3>Produkteigenschaften </h3>TransTherm®-Allherdboden<br>induktionsgeeignet<br>spülmaschinenfest<br>Deckel: Cromargan®:Edelstahl Rostfrei 18/10<br><h3>Maße </h3>Höhe in cm: 10.50<br>Volumen in l: 0.90<br>Durchmesser in cm: 14    </div>",No,,,0,/wmf/kochtopf/bratentopf-mini-14cm-m-deckel-01_1997.jpg,,,,,Bratentopf MINI 14cm m.Deckel,Bratentopf MINI 14cm m.Deckel,Bratentopf MINI 14cm m.Deckel - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Bratentopf-MINI-14cm-m-Deckel,,,Product Info Column,,"22,95",0,,,,/wmf/kochtopf/bratentopf-mini-14cm-m-deckel-01_1997.jpg,,,,,1,2,/wmf/kochtopf/bratentopf-mini-14cm-m-deckel-01_1997.jpg,,,Bratentopf MINI 14cm m.Deckel,Bratentopf MINI 14cm m.Deckel.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0716766040,base,Kitchen,simple,[Default Category]/Küchenwaren/Topf & Pfanne,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Bratentopf Ø 16 cm Mini</h1>Ein Bratentopf eignet sich hervorragend zum Schmoren von Fleisch, nach Zugabe von etwas Flüssigkeit z. B bei Gulasch o. ä. WMF bietet Bratentöpfe in unterschiedlichen Größen und unterschiedlichem Design - für jeden Geschmack. Sie können wählen zwischen 16 cm, 20 cm und 24 cm Durchmesser. Entscheidend ist, welche Mengen Sie zubereiten möchten und welche Größen Ihre Herdplatten haben.<br>Die kleinen Edelstahltöpfe mit geringem Durchmesser sind ideal für den Einpersonen-Haushalt, für kleine Portionen oder für Reste zum Aufwärmen. Die Töpfe sind aus pflegeleichtem Cromargan® und haben einen TransTherm®-Allherdboden, der für alle Herdarten geeignet ist. Gemüsedämpfer und Nudeltopf haben einen gelochten Einsatz.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br><h3>Produkteigenschaften </h3>TransTherm®-Allherdboden<br>induktionsgeeignet<br>spülmaschinenfest<br>Deckel: Cromargan®:Edelstahl Rostfrei 18/10<br><h3>Maße </h3>Höhe in cm: 12.50<br>Volumen in l: 1.50<br>Durchmesser in cm: 16    </div>",No,,,0,/wmf/kochtopf/bratentopf-mini-16cm-m-deckel-wmf_0716766040.jpg,,,,,Bratentopf MINI 16cm m. Deckel,Bratentopf MINI 16cm m. Deckel,Bratentopf MINI 16cm m. Deckel - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Bratentopf-MINI-16cm-m-Deckel,,,Product Info Column,,"24,95",0,,,,/wmf/kochtopf/bratentopf-mini-16cm-m-deckel-wmf_0716766040.jpg,,,,,1,2,/wmf/kochtopf/bratentopf-mini-16cm-m-deckel-wmf_0716766040.jpg,,,Bratentopf MINI 16cm m. Deckel,Bratentopf MINI 16cm m. Deckel.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1788166040,base,Kitchen,simple,[Default Category]/Küchenwaren/Topf & Pfanne,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Bratentopf Ø 16 cm Premium One</h1>Ein Bratentopf eignet sich hervorragend zum Schmoren von Fleisch, nach Zugabe von etwas Flüssigkeit z. B bei Gulasch o. ä. WMF bietet Bratentöpfe in unterschiedlichen Größen und unterschiedlichem Design - für jeden Geschmack. Sie können wählen zwischen 16 cm, 20 cm und 24 cm Durchmesser. Entscheidend ist, welche Mengen Sie zubereiten möchten und welche Größen Ihre Herdplatten haben.<br>Ab jetzt gibt es keinen Grund mehr, vom Kochen die Finger zu lassen. Premium One vereint alle Eigenschaften, die in der modernen Küche benötigt werden: aus pflegeleichtem Cromargan®, mit Innenskalierung und TransTherm®-Allherdboden für alle Herdarten. Die Griffe sind mit der patentierten Cool+ Technology ausgestattet und werden beim Kochen nicht heiß. Der praktische Aufliegedeckel hat eine Öffnung für kontrollierten Dampfaustritt. Die Fleischtöpfe sind stapelbar. Qualität made in Germany.<br><h3>Material </h3>
Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br><h3>Produkteigenschaften </h3>spülmaschinenbeständig<br>TransTherm®-Allherdboden<br>Kaltgriffe aus Edelstahl<br>induktionsgeeignet<br>Aufliegedeckel<br><h3>Maße </h3>Durchmesser in cm: 16<br>Höhe in cm: 7.50<br>Volumen in l: 1.50<br><h3>Eigenschaften </h3>Cool+ reduziert effektiv die Wärmeübertragung vom Topf auf den Griff.<br>TransTherm®-Allherdboden, für alle Herdarten geeignet.<br>Cromargan® 18/10 – pflegeleicht und unverwüstlich.    </div>",No,,,0,/wmf/kochtopf/bratentopf-premium-one-16-01_1935.jpg,,,,,Bratentopf Premium One 16,Bratentopf Premium One 16,Bratentopf Premium One 16 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Bratentopf-Premium-One-16,,,Product Info Column,,"114,00",0,,,,/wmf/kochtopf/bratentopf-premium-one-16-01_1935.jpg,,,,,1,2,/wmf/kochtopf/bratentopf-premium-one-16-01_1935.jpg,,,Bratentopf Premium One 16,Bratentopf Premium One 16.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0722166030,base,Kitchen,simple,[Default Category]/Küchenwaren/Topf & Pfanne,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Bratentopf Ø 16 cm Gourmet Plus</h1>Ein Bratentopf eignet sich hervorragend zum Schmoren von Fleisch, nach Zugabe von etwas Flüssigkeit z. B bei Gulasch o. ä. WMF bietet Bratentöpfe in unterschiedlichen Größen und unterschiedlichem Design - für jeden Geschmack. Sie können wählen zwischen 16 cm, 20 cm und 24 cm Durchmesser. Entscheidend ist, welche Mengen Sie zubereiten möchten und welche Größen Ihre Herdplatten haben.<br>Stabil und unverwüstlich. Die Serie wird alle begeistern, die gerne gut kochen. Die Töpfe sind aus pflegeleichtem Cromargan® in schwerer Profiqualität mit mattierter Oberfläche. Die stabilen Hohlgriffe liegen gut in der Hand. Der schwere Aufliegedeckel verschließt dicht und lässt sich schnell zur Seite schieben. Die Innenskalierung macht das Dosieren der Füllmengen einfach. Der TransTherm®-Allherdboden für alle Herdarten verteilt die Hitze gleichmäßig und speichert sie lange.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>mattiert<br><h3>Produkteigenschaften </h3>spülmaschinenbeständig<br>Kaltgriffe aus Edelstahl<br>TransTherm®-Allherdboden<br>induktionsgeeignet<br>Aufliegedeckel<br><h3>Maße </h3>Volumen in l: 1.40<br>Durchmesser in cm: 16<br>Höhe in cm: 8.00<br><h3>Eigenschaften </h3>backofentauglich    </div>",No,,,0,/wmf/kochtopf/bratentopf-ø-16-cm-gourmet-plus-wmf_0722166030.jpg,,,,,Bratentopf Ø 16 cm Gourmet Plus,Bratentopf Ø 16 cm Gourmet Plus,Bratentopf Ø 16 cm Gourmet Plus - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Bratentopf-Ø-16-cm-Gourmet-Plus,,,Product Info Column,,"109,00",0,,,,/wmf/kochtopf/bratentopf-ø-16-cm-gourmet-plus-wmf_0722166030.jpg,,,,,1,2,/wmf/kochtopf/bratentopf-ø-16-cm-gourmet-plus-wmf_0722166030.jpg,,,Bratentopf  16 cm Gourmet Plus,Bratentopf  16 cm Gourmet Plus.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0729066030,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Dünsteinsatz Ø 20 cm Gourmet Plus</h1>Der Dünsteinsatz eignet sich zum schonenden Garen im Wasserdampf, z. B. für Broccoli oder Kartoffeln.<br>Stabil und unverwüstlich. Die Serie wird alle begeistern, die gerne gut kochen. Die Töpfe sind aus pflegeleichtem Cromargan® in schwerer Profiqualität mit mattierter Oberfläche. Die stabilen Hohlgriffe liegen gut in der Hand. Der schwere Aufliegedeckel verschließt dicht und lässt sich schnell zur Seite schieben. Die Innenskalierung macht das Dosieren der Füllmengen einfach. Der TransTherm®-Allherdboden für alle Herdarten verteilt die Hitze gleichmäßig und speichert sie lange.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>mattiert<br><h3>Produkteigenschaften </h3>spülmaschinenbeständig<br><h3>Maße </h3>Volumen in l: 2.00<br>Durchmesser in cm: 20    </div>",No,,,0,/wmf/kochtopf/dunsteinsatz-gourmet-plus-20cm-wmf_0729066030.jpg,,,,,Dünsteinsatz Gourmet Plus 20cm,Dünsteinsatz Gourmet Plus 20cm,Dünsteinsatz Gourmet Plus 20cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Dunsteinsatz-Gourmet-Plus-20cm,,,Product Info Column,,"84,95",0,,,,/wmf/kochtopf/dunsteinsatz-gourmet-plus-20cm-wmf_0729066030.jpg,,,,,1,2,/wmf/kochtopf/dunsteinsatz-gourmet-plus-20cm-wmf_0729066030.jpg,,,Dnsteinsatz Gourmet Plus 20cm,Dnsteinsatz Gourmet Plus 20cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0769206380,base,Kitchen,simple,[Default Category]/Küchenwaren/Topf & Pfanne,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Fleischtopf Ø 20 cm Trend</h1>Im Fleischtopf können Sie große Fleischportionen oder größere Mengen anbraten und in reichlich Flüssigkeit schmoren lassen. WMF bietet Fleischtöpfe in unterschiedlichen Größen und unterschiedlichem Design - für jeden Geschmack. Sie können wählen zwischen 16 cm, 20 cm und 24 cm Topf-Durchmesser. Entscheidend ist, welche Mengen Sie im Fleischtopf zubereiten möchten und welche Größen Ihre Herdplatten haben. Der Fleischtopf ist in den 4-teiligen Kochtopf-Sets enthalten.<br>Trend ist die Kochtopf-Serie für gehobene Ansprüche. Die Griffe der Töpfe sind hohl, somit ist gewährleistet dass sie beim Kochen nicht heiß werden. Der Topf-Boden ist für alle Herdarten geeignet. Die Topf-Deckel sind aus hochwertigem Güteglas und backofenfest bis 180°C . Induktionsgeeignet.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert<br><h3>Produkteigenschaften </h3>spülmaschinenfest<br>TransTherm®-Allherdboden<br>induktionsgeeignet<br>Güteglas Steckdeckel<br><h3>Maße </h3>Volumen in l: 3.30<br>Durchmesser in cm: 20<br>Höhe in cm: 11.00    </div>",No,,,0,/wmf/kochtopf/fleichtopf-trend-20cm-m-deckel-01_2073.jpg,,,,,Fleichtopf Trend 20cm m. Deckel,Fleichtopf Trend 20cm m. Deckel,Fleichtopf Trend 20cm m. Deckel - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Fleichtopf-Trend-20cm-m-Deckel,,,Product Info Column,,"104,00",0,,,,/wmf/kochtopf/fleichtopf-trend-20cm-m-deckel-01_2073.jpg,,,,,1,2,/wmf/kochtopf/fleichtopf-trend-20cm-m-deckel-01_2073.jpg,,,Fleichtopf Trend 20cm m. Deckel,Fleichtopf Trend 20cm m. Deckel.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
