sku,_store,_attribute_set,_type,categories,name,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
Avent_SCF636/27,base,Baby,simple,[Chinese Category]/母婴/AVENT,AVENT Y形孔 奶糊奶嘴 2只装,base,,,,AVENT,,,,,Germany,,,,,,"<div class=""std"">
        <h1>AVENT Y形孔 奶糊奶嘴 2只装</h1><br>Avent新安怡粥奶嘴SCF636/27是一个柔软的硅胶奶嘴，具有防止绞痛的特殊阀门。Avent新安怡粥奶嘴的Y形开口设计使得它非常适合较浓的食物。Avent新安怡粥奶嘴SCF636/27保证不含BPA。<br>    </div><img width='100%' src='/media/wysiwyg/avent/avent_banner.jpg'>",No,,,0,,,,,AVENT Y形孔 奶糊奶嘴 2只装                  ,AVENT Y形孔 奶糊奶嘴 2只装                  ,AVENT Y形孔 奶糊奶嘴 2只装                   - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,5.99,0,新安怡（AVENT），来自英国的著名品牌，于1984年在英国诞生，经过30年的不断创新，已成长为母婴用品世界的第一品牌。拥有60%的英国本土市场份额，更成为全世界70多个国家母婴界的信赖品牌，产品出口超过60个国家，现已成为全世界最著名的母婴护理品牌，在欧美各国更是备受推崇。2006年被飞利浦收购，并入飞利浦家庭小电器部。,,,,,,,1,2,,,AVENT Y  2                  ,AVENT Y  2                  .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Avent_SCF860/23,base,Baby,simple,[Chinese Category]/母婴/AVENT,AVENT 4刀头 湿磨刀,base,,,,AVENT,,,,,Germany,,,,,,"<div class=""std"">
        <h1>AVENT 迷你搅拌机和喂养套装</h1><br>尺寸: 包装盒尺寸:250(宽)x125(高)x324.5 (深)毫米<br>无论身在何处,您随时可以用飞利浦新安怡迷你搅拌机和喂养套装 SCF860/23 为宝宝准备适合其成长阶段的健康食品。该搅拌机尤其适合搅拌水果和蒸煮过 的蔬菜,或谷物、坚果,甚至熟肉。<br>即拌即用 包括迷你搅拌机、湿磨器和存储杯组 存放在冰箱或冷冻室中<br>轻松地在家中搅拌和存储 提供适合宝宝成长的食品制作手册<br><br>不含双酚 A<br>    </div><img width='100%' src='/media/wysiwyg/avent/avent_banner.jpg'>",No,,,0,,,,,4刀头 湿磨刀,4刀头 湿磨刀,4刀头 湿磨刀 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,49.99,0,新安怡（AVENT），来自英国的著名品牌，于1984年在英国诞生，经过30年的不断创新，已成长为母婴用品世界的第一品牌。拥有60%的英国本土市场份额，更成为全世界70多个国家母婴界的信赖品牌，产品出口超过60个国家，现已成为全世界最著名的母婴护理品牌，在欧美各国更是备受推崇。2006年被飞利浦收购，并入飞利浦家庭小电器部。,,,,,,,1,2,,,4 ,4 .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Avent_SCF690/27,base,Baby,simple,[Chinese Category]/母婴/AVENT,AVENT 125 ml 宽口径PP自然原生奶瓶 - 两个装,base,,,,AVENT,,,,,Germany,,,,,,"<div class=""std"">
        <h1>AVENT 125 ml 宽口径PP自然原生奶瓶 - 两个装</h1><br>容量: 125ml<br>我们的自然原生系列玻璃奶瓶能够提供给您和宝宝更加自然原生的奶瓶喂养。奶嘴采用创新的花瓣形设计，可使宝宝以自然原生的方式进行吸吮，母乳与奶瓶的交互喂养可轻易实现。<br><h3>特点:</h3>不含双酚A的聚丙烯材料易于消毒<br>宽颈，使灌装，清洗更方便，乳房的形状和独特的舒适花瓣促进自然闭锁，并提供了灵活性，而乳头塌陷<br>先进的防绞痛系统，创新的双阀<br>符合人体工程学的外形使得它易于保存和广泛的脖子可以很容易地填补和清洁<br>洗碗机和微波炉安全<br>    </div><img width='100%' src='/media/wysiwyg/avent/avent_banner.jpg'>",No,,,0,,,,,AVENT 125 ml 宽口径PP自然原生奶瓶 - 两个装      ,AVENT 125 ml 宽口径PP自然原生奶瓶 - 两个装      ,AVENT 125 ml 宽口径PP自然原生奶瓶 - 两个装       - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,13.99,0,新安怡（AVENT），来自英国的著名品牌，于1984年在英国诞生，经过30年的不断创新，已成长为母婴用品世界的第一品牌。拥有60%的英国本土市场份额，更成为全世界70多个国家母婴界的信赖品牌，产品出口超过60个国家，现已成为全世界最著名的母婴护理品牌，在欧美各国更是备受推崇。2006年被飞利浦收购，并入飞利浦家庭小电器部。,,,,,,,1,2,,,AVENT 125 ml PP -       ,AVENT 125 ml PP -       .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Avent_SCF693/17,base,Baby,simple,[Chinese Category]/母婴/AVENT,AVENT 260 ml 宽口径PP自然原生奶瓶,base,,,,AVENT,,,,,Germany,,,,,,"<div class=""std"">
        <h1>AVENT 260 ml 宽口径PP自然原生奶瓶 </h1><br>容量: 260ml<br>我们的自然原生系列玻璃奶瓶能够提供给您和宝宝更加自然原生的奶瓶喂养。奶嘴采用创新的花瓣形设计，可使宝宝以自然原生的方式进行吸吮，母乳与奶瓶的交互喂养可轻易实现。<br><h3>特点:</h3>不含双酚A的聚丙烯材料易于消毒<br>宽颈，使灌装，清洗更方便，乳房的形状和独特的舒适花瓣促进自然闭锁，并提供了灵活性，而乳头塌陷<br>先进的防绞痛系统，创新的双阀<br>符合人体工程学的外形使得它易于保存和广泛的脖子可以很容易地填补和清洁<br>洗碗机和微波炉安全<br>    </div><img width='100%' src='/media/wysiwyg/avent/avent_banner.jpg'>",No,,,0,,,,,AVENT 260 ml 宽口径PP自然原生奶瓶            ,AVENT 260 ml 宽口径PP自然原生奶瓶            ,AVENT 260 ml 宽口径PP自然原生奶瓶             - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,8.99,0,新安怡（AVENT），来自英国的著名品牌，于1984年在英国诞生，经过30年的不断创新，已成长为母婴用品世界的第一品牌。拥有60%的英国本土市场份额，更成为全世界70多个国家母婴界的信赖品牌，产品出口超过60个国家，现已成为全世界最著名的母婴护理品牌，在欧美各国更是备受推崇。2006年被飞利浦收购，并入飞利浦家庭小电器部。,,,,,,,1,2,,,AVENT 260 ml PP            ,AVENT 260 ml PP            .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Avent_SCF178/23,base,Baby,simple,[Chinese Category]/母婴/AVENT,AVENT Freeflow 0-6 个月 六孔安抚奶嘴,base,,,,AVENT,,,,,Germany,,,,,,"<div class=""std"">
        <h1>AVENT Freeflow 0-6 个月 六孔安抚奶嘴</h1><br>飞利浦新安怡拇指型透气及对称形奶嘴有利于宝宝上腭、牙齿、牙床的自然正常发育。所有飞利浦新安怡奶嘴均由硅胶制成,没有气味且口感舒适。<br>包装内物品: 硅胶奶嘴 : 2 件; 卡入式卫生盖:2件<br>阶段:0至6个月<br><h3>特点:</h3>具有畸齿矫正功能的奶嘴: 飞利浦新安怡扁平的水滴形对称奶嘴可充分贴合宝宝上颚、牙齿和牙床的自然发育,即使奶嘴在嘴里上下颠倒竖着。<br>为用户着想的硅胶奶嘴: 飞利浦新安怡硅胶奶嘴没有气味,口感舒适,因此您的宝宝更容易接受。硅胶光滑透明、易于清洁并且不会粘连。硅胶奶嘴结实、持久耐用并且不会随着时间推移而变形或变色。<br>安全拉环: 方便随时拆卸飞利浦新安怡安抚奶嘴<br>卡入式卫生盖: 使消毒后的奶嘴保持卫生<br>可消毒, 可放心用洗碗机清洗    </div><img width='100%' src='/media/wysiwyg/avent/avent_banner.jpg'>",No,,,0,,,,,AVENT Freeflow 0-6 个月 六孔安抚奶嘴        ,AVENT Freeflow 0-6 个月 六孔安抚奶嘴        ,AVENT Freeflow 0-6 个月 六孔安抚奶嘴         - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,6.99,0,新安怡（AVENT），来自英国的著名品牌，于1984年在英国诞生，经过30年的不断创新，已成长为母婴用品世界的第一品牌。拥有60%的英国本土市场份额，更成为全世界70多个国家母婴界的信赖品牌，产品出口超过60个国家，现已成为全世界最著名的母婴护理品牌，在欧美各国更是备受推崇。2006年被飞利浦收购，并入飞利浦家庭小电器部。,,,,,,,1,2,,,AVENT Freeflow 0-6          ,AVENT Freeflow 0-6          .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Avent_SCF178/24,base,Baby,simple,[Chinese Category]/母婴/AVENT,AVENT Freeflow 6-18 个月 六孔安抚奶嘴,base,,,,AVENT,,,,,Germany,,,,,,"<div class=""std"">
        <h1>AVENT Freeflow 6-18 个月 六孔安抚奶嘴</h1><br>飞利浦新安怡拇指型透气及对称形奶嘴有利于宝宝上腭、牙齿、牙床的自然正常发育。所有飞利浦新安怡奶嘴均由硅胶制成,没有气味且口感舒适。<br>包装内物品: 硅胶奶嘴 : 2 件; 卡入式卫生盖:2件<br>阶段:6-18个月<br><h3>特点:</h3>具有畸齿矫正功能的奶嘴: 飞利浦新安怡扁平的水滴形对称奶嘴可充分贴合宝宝上颚、牙齿和牙床的自然发育,即使奶嘴在嘴里上下颠倒竖着。<br>为用户着想的硅胶奶嘴: 飞利浦新安怡硅胶奶嘴没有气味,口感舒适,因此您的宝宝更容易接受。硅胶光滑透明、易于清洁并且不会粘连。硅胶奶嘴结实、持久耐用并且不会随着时间推移而变形或变色。<br>安全拉环: 方便随时拆卸飞利浦新安怡安抚奶嘴<br>卡入式卫生盖: 使消毒后的奶嘴保持卫生<br>可消毒, 可放心用洗碗机清洗    </div><img width='100%' src='/media/wysiwyg/avent/avent_banner.jpg'>",No,,,0,,,,,AVENT Freeflow 6-18 个月 六孔安抚奶嘴       ,AVENT Freeflow 6-18 个月 六孔安抚奶嘴       ,AVENT Freeflow 6-18 个月 六孔安抚奶嘴        - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,6.99,0,新安怡（AVENT），来自英国的著名品牌，于1984年在英国诞生，经过30年的不断创新，已成长为母婴用品世界的第一品牌。拥有60%的英国本土市场份额，更成为全世界70多个国家母婴界的信赖品牌，产品出口超过60个国家，现已成为全世界最著名的母婴护理品牌，在欧美各国更是备受推崇。2006年被飞利浦收购，并入飞利浦家庭小电器部。,,,,,,,1,2,,,AVENT Freeflow 6-18         ,AVENT Freeflow 6-18         .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Avent_SCF180/23,base,Baby,simple,[Chinese Category]/母婴/AVENT,AVENT Freeflow Trend 0-6 个月 六孔安抚奶嘴,base,,,,AVENT,,,,,Germany,,,,,,"<div class=""std"">
        <h1>AVENT Freeflow Trend 0-6 个月 六孔安抚奶嘴</h1><br>飞利浦新安怡拇指型透气及对称形奶嘴有利于宝宝上腭、牙齿、牙床的自然正常发育。所有飞利浦新安怡奶嘴均由硅胶制成,没有气味且口感舒适。<br>包装内物品: 硅胶奶嘴 : 2 件; 卡入式卫生盖:2件<br>阶段:0至6个月<br><h3>特点:</h3>具有畸齿矫正功能的奶嘴: 飞利浦新安怡扁平的水滴形对称奶嘴可充分贴合宝宝上颚、牙齿和牙床的自然发育,即使奶嘴在嘴里上下颠倒竖着。<br>为用户着想的硅胶奶嘴: 飞利浦新安怡硅胶奶嘴没有气味,口感舒适,因此您的宝宝更容易接受。硅胶光滑透明、易于清洁并且不会粘连。硅胶奶嘴结实、持久耐用并且不会随着时间推移而变形或变色。<br>安全拉环: 方便随时拆卸飞利浦新安怡安抚奶嘴<br>卡入式卫生盖: 使消毒后的奶嘴保持卫生<br>可消毒, 可放心用洗碗机清洗    </div><img width='100%' src='/media/wysiwyg/avent/avent_banner.jpg'>",No,,,0,,,,,AVENT Freeflow Trend 0-6 个月 六孔安抚奶嘴  ,AVENT Freeflow Trend 0-6 个月 六孔安抚奶嘴  ,AVENT Freeflow Trend 0-6 个月 六孔安抚奶嘴   - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,6.99,0,新安怡（AVENT），来自英国的著名品牌，于1984年在英国诞生，经过30年的不断创新，已成长为母婴用品世界的第一品牌。拥有60%的英国本土市场份额，更成为全世界70多个国家母婴界的信赖品牌，产品出口超过60个国家，现已成为全世界最著名的母婴护理品牌，在欧美各国更是备受推崇。2006年被飞利浦收购，并入飞利浦家庭小电器部。,,,,,,,1,2,,,AVENT Freeflow Trend 0-6    ,AVENT Freeflow Trend 0-6    .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Avent_SCF180/24,base,Baby,simple,[Chinese Category]/母婴/AVENT,AVENT Freeflow Trend 6-18 个月 六孔安抚奶嘴,base,,,,AVENT,,,,,Germany,,,,,,"<div class=""std"">
        <h1>AVENT Freeflow Trend 6-18 个月 六孔安抚奶嘴</h1><br>飞利浦新安怡拇指型透气及对称形奶嘴有利于宝宝上腭、牙齿、牙床的自然正常发育。所有飞利浦新安怡奶嘴均由硅胶制成,没有气味且口感舒适。<br>包装内物品: 硅胶奶嘴 : 2 件; 卡入式卫生盖:2件<br>阶段:6-18个月<br><h3>特点:</h3>具有畸齿矫正功能的奶嘴: 飞利浦新安怡扁平的水滴形对称奶嘴可充分贴合宝宝上颚、牙齿和牙床的自然发育,即使奶嘴在嘴里上下颠倒竖着。<br>为用户着想的硅胶奶嘴: 飞利浦新安怡硅胶奶嘴没有气味,口感舒适,因此您的宝宝更容易接受。硅胶光滑透明、易于清洁并且不会粘连。硅胶奶嘴结实、持久耐用并且不会随着时间推移而变形或变色。<br>安全拉环: 方便随时拆卸飞利浦新安怡安抚奶嘴<br>卡入式卫生盖: 使消毒后的奶嘴保持卫生<br>可消毒, 可放心用洗碗机清洗    </div><img width='100%' src='/media/wysiwyg/avent/avent_banner.jpg'>",No,,,0,,,,,AVENT Freeflow Trend 6-18 个月 六孔安抚奶嘴 ,AVENT Freeflow Trend 6-18 个月 六孔安抚奶嘴 ,AVENT Freeflow Trend 6-18 个月 六孔安抚奶嘴  - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,6.99,0,新安怡（AVENT），来自英国的著名品牌，于1984年在英国诞生，经过30年的不断创新，已成长为母婴用品世界的第一品牌。拥有60%的英国本土市场份额，更成为全世界70多个国家母婴界的信赖品牌，产品出口超过60个国家，现已成为全世界最著名的母婴护理品牌，在欧美各国更是备受推崇。2006年被飞利浦收购，并入飞利浦家庭小电器部。,,,,,,,1,2,,,AVENT Freeflow Trend 6-18   ,AVENT Freeflow Trend 6-18   .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Avent_SCD610/00,base,Baby,simple,[Chinese Category]/母婴/AVENT,AVENT Premium 无线液晶婴儿监护器监视器,base,,,,AVENT,,,,,Germany,,,,,,"<div class=""std"">
        <h1>AVENT Premium 无线液晶婴儿监护器监视器</h1><br><h3>特点:</h3>全天候监护，包含红外夜视功能，在500英尺（150米）范围内100%独立连接。以实际环境测试结果为准（墙壁阻隔等诸多不确定因素）<br>2.4寸的大屏幕彩色显示器可以提供高清的宝宝图片<br>当监护器监测到宝宝房里有动静的时候，监护器会自动激活开启视频功能<br>无线的接收器可以随身携挂，更加方便<br>监护器里内置了摇篮曲和小夜灯，可以让宝宝睡个舒服的安稳觉<br>内置麦克风，能听到宝宝的声音，内置红外线摄像头，黑暗中也能清楚看到宝宝的状态<br>监视器的亮度可以调节<br>可以调节宝宝房间摄像头的焦距<br>    </div><img width='100%' src='/media/wysiwyg/avent/avent_banner.jpg'>",No,,,0,,,,,AVENT Premium 无线液晶婴儿监护器监视器          ,AVENT Premium 无线液晶婴儿监护器监视器          ,AVENT Premium 无线液晶婴儿监护器监视器           - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,199.99,0,新安怡（AVENT），来自英国的著名品牌，于1984年在英国诞生，经过30年的不断创新，已成长为母婴用品世界的第一品牌。拥有60%的英国本土市场份额，更成为全世界70多个国家母婴界的信赖品牌，产品出口超过60个国家，现已成为全世界最著名的母婴护理品牌，在欧美各国更是备受推崇。2006年被飞利浦收购，并入飞利浦家庭小电器部。,,,,,,,1,2,,,AVENT Premium           ,AVENT Premium           .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Avent_SCF720/10,base,Baby,simple,[Chinese Category]/母婴/AVENT,AVENT VIA 幼儿食物储存杯 密封防渗漏,base,,,,AVENT,,,,,Germany,,,,,,"<div class=""std"">
        <h1>AVENT VIA 幼儿食物储存杯 密封防渗漏 </h1><br>尺寸: 预消毒的VIA杯(180毫升/6安士):10件 • 储存杯(240毫升/8安士):10件<br>阶段:0-6个月,6至12个月<br>母乳储存杯盖 : 20 件,哺育指南 : 1 件,喂养汤匙 : 1 件<br><h3>特点:</h3>防渗漏 旋紧杯盖,方便安全存储和携带<br>可用微波炉加热<br>可存储在冰箱和冷冻室内<br>随附食品制作手册: 携手儿童营养方面的注册饮食学家和营养专家Judy More 共同研制食谱。<br>可放心用洗碗机清洗<br>易于整理: 坚固的可叠放的飞利浦新安怡杯子,具有可写表面,可帮助您记录日期和内容    </div><img width='100%' src='/media/wysiwyg/avent/avent_banner.jpg'>",No,,,0,,,,,AVENT VIA 幼儿食物储存杯 密封防渗漏             ,AVENT VIA 幼儿食物储存杯 密封防渗漏             ,AVENT VIA 幼儿食物储存杯 密封防渗漏              - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,27.99,0,新安怡（AVENT），来自英国的著名品牌，于1984年在英国诞生，经过30年的不断创新，已成长为母婴用品世界的第一品牌。拥有60%的英国本土市场份额，更成为全世界70多个国家母婴界的信赖品牌，产品出口超过60个国家，现已成为全世界最著名的母婴护理品牌，在欧美各国更是备受推崇。2006年被飞利浦收购，并入飞利浦家庭小电器部。,,,,,,,1,2,,,AVENT VIA               ,AVENT VIA               .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
