sku,_store,_attribute_set,_type,categories,name,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
WMF_0617726040,base,Kitchen,simple,[Chinese Category]/厨房用具/咖啡器皿/,"德国 WMF 玻璃凉水壶凉水瓶果汁壶 1,5L",base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 玻璃凉水壶凉水瓶果汁壶 1,5L 黑色瓶盖</h1><br>尺寸:11,3 x 11,3 x 32,7 cm<br><h3>特点:</h3>专利的防侧漏瓶口,避免滴到桌子上,瓶身独具现代典雅的设计感,简单设计凸现尊贵.适合装水,果汁,牛奶等冷饮,瓶盖设计为防尘设计.任何角度均可倒水.倒水时,水自动流出的同时,把茶叶或冰块等其他物体阻隔在内.此产品不适用于洗碗机    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-coffee.jpg'>",No,,,0,,,,,"WMF 玻璃凉水壶凉水瓶果汁壶 1,5L                ","WMF 玻璃凉水壶凉水瓶果汁壶 1,5L                ","WMF 玻璃凉水壶凉水瓶果汁壶 1,5L                 - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,,,Product Info Column,,44.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,"WMF  1,5L                ","WMF  1,5L                .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0950472040,base,Kitchen,simple,[Chinese Category]/厨房用具/咖啡器皿/,德国 WMF 2er GP 玻璃杯两件套,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 2er GP 玻璃杯两件套</h1><br>设计师:Katja Falkenburger &amp; Bettina Haller<br>尺寸: 高 13 cm, 265 ml<br>材质:WMF Aquadurit®-Glas<br>                                                                                                                                                                                                                                                                                        </div><img width='100%' src='/media/wysiwyg/wmf/wmf-coffee.jpg'>",No,,,0,,,,,2er GP 玻璃杯两件套,2er GP 玻璃杯两件套,2er GP 玻璃杯两件套 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,14.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,2er GP ,2er GP .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0631016030,base,Kitchen,simple,[Chinese Category]/厨房用具/咖啡器皿/,德国 WMF Espresso-咖啡机 KULT COFFEE 6 杯量,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF Espresso-咖啡机 KULT COFFEE 6 杯量</h1><br>尺寸: 10.5 cm<br>设计师:Metz &amp; Kindler Produktdesign<br>材质：Cromargan Edelstahl Rostfrei 18/10 不锈钢 ，德国品质，经久耐用，为您提供高品质的生活。<br>使用说明：打开壶盖，在滤芯中倒入1勺咖啡粉，再放入滤芯并拧紧滤芯，打开开关。当水沸腾后，能听到水蒸气的声音。直到水蒸气声音完全停止，关掉开关，咖啡完成。                                                                                                                                                                 </div><img width='100%' src='/media/wysiwyg/wmf/wmf-coffee.jpg'>",No,,,0,,,,,Espresso-咖啡机 KULT COFFEE 6 杯量,Espresso-咖啡机 KULT COFFEE 6 杯量,Espresso-咖啡机 KULT COFFEE 6 杯量 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,109.00,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,Espresso- KULT COFFEE 6 ,Espresso- KULT COFFEE 6 .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0686246040,base,Kitchen,simple,[Chinese Category]/厨房用具/咖啡器皿/,德国 WMF Café au Lait 咖啡杯 含 勺,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF Café au Lait 咖啡杯 含 勺</h1><br>尺寸: 高 7.5cm, 225ml<br>设计师:Katja Falkenburger和Bettina Haller<br>要享受一杯完美的咖啡，不仅仅是味道，拥有一个造型美观的咖啡杯也是至关重要的。 这就是我们针对每一款特种咖啡推出Barista咖啡杯系列的原因，它能够让你品出咖啡的另类感觉。<br>Barista咖啡杯系列的特别之处在于遵循特定规则，并在此基础上发展成独创概念。 人们长久以来对酒杯的共同认识也适用于咖啡。 在Barista系列中，对于每一款特种咖啡你都能找到与其相匹配的产品，让你品出咖啡的另类感觉。 在咖啡杯的打造上，要遵循的特定规则包括三方面： 尺寸、材料厚度和形状。<br>                                                            </div><img width='100%' src='/media/wysiwyg/wmf/wmf-coffee.jpg'>",No,,,0,,,,,WMF Café au Lait 咖啡杯 含 勺            ,WMF Café au Lait 咖啡杯 含 勺            ,WMF Café au Lait 咖啡杯 含 勺             - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,19.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF Caf au Lait               ,WMF Caf au Lait               .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0686236040,base,Kitchen,simple,[Chinese Category]/厨房用具/咖啡器皿/,德国 WMF Café Crème 咖啡杯 含 勺,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF Café Crème 咖啡杯 含 勺</h1><br>尺寸: 高 8cm, 150ml<br>设计师:Katja Falkenburger和Bettina Haller<br>要享受一杯完美的咖啡，不仅仅是味道，拥有一个造型美观的咖啡杯也是至关重要的。 这就是我们针对每一款特种咖啡推出Barista咖啡杯系列的原因，它能够让你品出咖啡的另类感觉。<br>Barista咖啡杯系列的特别之处在于遵循特定规则，并在此基础上发展成独创概念。 人们长久以来对酒杯的共同认识也适用于咖啡。 在Barista系列中，对于每一款特种咖啡你都能找到与其相匹配的产品，让你品出咖啡的另类感觉。 在咖啡杯的打造上，要遵循的特定规则包括三方面： 尺寸、材料厚度和形状。<br>                                                                </div><img width='100%' src='/media/wysiwyg/wmf/wmf-coffee.jpg'>",No,,,0,,,,,WMF Café Crème 咖啡杯 含 勺              ,WMF Café Crème 咖啡杯 含 勺              ,WMF Café Crème 咖啡杯 含 勺               - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,17.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF Caf Crme                 ,WMF Caf Crme                 .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0686226040,base,Kitchen,simple,[Chinese Category]/厨房用具/咖啡器皿/,德国 WMF Cappuccino 咖啡杯 含 勺,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF Cappuccino 咖啡杯 含 勺</h1><br>尺寸: 高 6cm, 150ml<br>设计师:Katja Falkenburger和Bettina Haller<br>要享受一杯完美的咖啡，不仅仅是味道，拥有一个造型美观的咖啡杯也是至关重要的。 这就是我们针对每一款特种咖啡推出Barista咖啡杯系列的原因，它能够让你品出咖啡的另类感觉。<br>Barista咖啡杯系列的特别之处在于遵循特定规则，并在此基础上发展成独创概念。 人们长久以来对酒杯的共同认识也适用于咖啡。 在Barista系列中，对于每一款特种咖啡你都能找到与其相匹配的产品，让你品出咖啡的另类感觉。 在咖啡杯的打造上，要遵循的特定规则包括三方面： 尺寸、材料厚度和形状。<br>                                                                </div><img width='100%' src='/media/wysiwyg/wmf/wmf-coffee.jpg'>",No,,,0,,,,,WMF Cappuccino 咖啡杯 含 勺              ,WMF Cappuccino 咖啡杯 含 勺              ,WMF Cappuccino 咖啡杯 含 勺               - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,17.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF Cappuccino                 ,WMF Cappuccino                 .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0686396040,base,Kitchen,simple,[Chinese Category]/厨房用具/咖啡器皿/,"德国 WMF Cappuccino 雕花模板 套装 ""Big bear"" Ba",base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF Cappuccino 雕花模板 套装 ""Big bear"" Barista</h1><br>用Cromargan protect® 材料制成的餐具极其耐磨。 在经过深入研究之后，WMF对Cromargan® 进行了优化，这样的话与普通不锈钢相比这种材料更耐划痕。 高频率的使用和频繁用洗碗机进行清洁不会损伤Cromargan protect®材料。 经抛光处理的表面依旧闪亮，无光表面依然保持着柔光效果。 即使在使用多年之后，这款餐具看起来依然如新 — 几乎与刚购买之时一样好。<br>Cromargan protect® — 一项杰出的创新技术，已在国际上申请专利，仅有WMF能提供。经过简短测试之后，普通的不锈钢上出现清晰的痕迹和深刮痕。 而Cromargan protect®的表面仍然完美无缺，即使长时间的测试也是如此。<br><h3>Cromargan Protect的优势    </h3></div><img width='100%' src='/media/wysiwyg/wmf/wmf-coffee.jpg'>",No,,,0,,,,,"WMF Cappuccino 雕花模板 套装 ""Big bear"" Ba","WMF Cappuccino 雕花模板 套装 ""Big bear"" Ba","WMF Cappuccino 雕花模板 套装 ""Big bear"" Ba - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,,,Product Info Column,,9.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,"WMF Cappuccino   ""Big bear"" Ba","WMF Cappuccino   ""Big bear"" Ba.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0686376040,base,Kitchen,simple,[Chinese Category]/厨房用具/咖啡器皿/,"德国 WMF Cappuccino 雕花模板 套装 ""Monkeyside""",base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF Cappuccino 雕花模板 套装 ""Monkeyside"" Barista</h1><br>用Cromargan protect® 材料制成的餐具极其耐磨。 在经过深入研究之后，WMF对Cromargan® 进行了优化，这样的话与普通不锈钢相比这种材料更耐划痕。 高频率的使用和频繁用洗碗机进行清洁不会损伤Cromargan protect®材料。 经抛光处理的表面依旧闪亮，无光表面依然保持着柔光效果。 即使在使用多年之后，这款餐具看起来依然如新 — 几乎与刚购买之时一样好。<br>Cromargan protect® — 一项杰出的创新技术，已在国际上申请专利，仅有WMF能提供。经过简短测试之后，普通的不锈钢上出现清晰的痕迹和深刮痕。 而Cromargan protect®的表面仍然完美无缺，即使长时间的测试也是如此。<br><h3>Cromargan Protect的    </h3></div><img width='100%' src='/media/wysiwyg/wmf/wmf-coffee.jpg'>",No,,,0,,,,,"WMF Cappuccino 雕花模板 套装 ""Monkeyside"" ","WMF Cappuccino 雕花模板 套装 ""Monkeyside"" ","WMF Cappuccino 雕花模板 套装 ""Monkeyside""  - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,,,Product Info Column,,9.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,"WMF Cappuccino   ""Monkeyside"" ","WMF Cappuccino   ""Monkeyside"" .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0686406040,base,Kitchen,simple,[Chinese Category]/厨房用具/咖啡器皿/,"德国 WMF Cappuccino 雕花模板 套装 ""Sweetheart""",base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF Cappuccino 雕花模板 套装 ""Sweetheart"" Barista</h1><br>用Cromargan protect® 材料制成的餐具极其耐磨。 在经过深入研究之后，WMF对Cromargan® 进行了优化，这样的话与普通不锈钢相比这种材料更耐划痕。 高频率的使用和频繁用洗碗机进行清洁不会损伤Cromargan protect®材料。 经抛光处理的表面依旧闪亮，无光表面依然保持着柔光效果。 即使在使用多年之后，这款餐具看起来依然如新 — 几乎与刚购买之时一样好。<br>Cromargan protect® — 一项杰出的创新技术，已在国际上申请专利，仅有WMF能提供。经过简短测试之后，普通的不锈钢上出现清晰的痕迹和深刮痕。 而Cromargan protect®的表面仍然完美无缺，即使长时间的测试也是如此。<br><h3>Cromargan Protect的    </h3></div><img width='100%' src='/media/wysiwyg/wmf/wmf-coffee.jpg'>",No,,,0,,,,,"WMF Cappuccino 雕花模板 套装 ""Sweetheart"" ","WMF Cappuccino 雕花模板 套装 ""Sweetheart"" ","WMF Cappuccino 雕花模板 套装 ""Sweetheart""  - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,,,Product Info Column,,9.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,"WMF Cappuccino   ""Sweetheart"" ","WMF Cappuccino   ""Sweetheart"" .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0686386040,base,Kitchen,simple,[Chinese Category]/厨房用具/咖啡器皿/,"德国 WMF Cappuccino 雕花模板 套装 ""Wake up"" Bar",base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF Cappuccino 雕花模板 套装 ""Wake up"" Barista</h1><br>用Cromargan protect® 材料制成的餐具极其耐磨。 在经过深入研究之后，WMF对Cromargan® 进行了优化，这样的话与普通不锈钢相比这种材料更耐划痕。 高频率的使用和频繁用洗碗机进行清洁不会损伤Cromargan protect®材料。 经抛光处理的表面依旧闪亮，无光表面依然保持着柔光效果。 即使在使用多年之后，这款餐具看起来依然如新 — 几乎与刚购买之时一样好。<br>Cromargan protect® — 一项杰出的创新技术，已在国际上申请专利，仅有WMF能提供。经过简短测试之后，普通的不锈钢上出现清晰的痕迹和深刮痕。 而Cromargan protect®的表面仍然完美无缺，即使长时间的测试也是如此。<br><h3>Cromargan Protect的优势:    </h3></div><img width='100%' src='/media/wysiwyg/wmf/wmf-coffee.jpg'>",No,,,0,,,,,"WMF Cappuccino 雕花模板 套装 ""Wake up"" Bar","WMF Cappuccino 雕花模板 套装 ""Wake up"" Bar","WMF Cappuccino 雕花模板 套装 ""Wake up"" Bar - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,,,Product Info Column,,9.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,"WMF Cappuccino   ""Wake up"" Bar","WMF Cappuccino   ""Wake up"" Bar.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
