sku,_store,_attribute_set,_type,categories,name,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
WMF_0793146040,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,"德国 WMF 高压锅2件套 PERFECT PLUS 8,5L 含蒸屉",base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 高压锅2件套 PERFECT PLUS 8,5L 含蒸屉</h1><br>尺寸:8,5L 22cm<br><h3>特点:</h3>快速烹调保存维生素<br>与普通压力锅相比，可以节省高达70%的时间<br>五大独有安全系统<br>通过一体式旋钮可实现操作的便捷<br>两种由程序设定的压力选择<br>蒸汽自动释放功能<br>带拆卸式手柄，易于清洗<br>内置刻度确保准确度量<br>手柄和侧手柄经防火处理<br>TransTherm® 通用型锅底，适合于各种类型的炉灶<br>三层锅底导热快且均匀<br>绝对安全保障，多道泄压设计，从未发生爆炸事故<br>高度密封设计，加压迅速煮食快速                                                                                 </div><img width='100%' src='/media/wysiwyg/wmf/wmf-schnelltopf.jpg'>",No,,,0,,,,,"WMF 高压锅2件套 PERFECT PLUS 8,5L 含蒸屉    ","WMF 高压锅2件套 PERFECT PLUS 8,5L 含蒸屉    ","WMF 高压锅2件套 PERFECT PLUS 8,5L 含蒸屉     - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,,,Product Info Column,,219.00,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,"WMF 2 PERFECT PLUS 8,5L     ","WMF 2 PERFECT PLUS 8,5L     .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0796279990,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,德国 WMF 高压锅2件套 Perfect Pro,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF WMF 高压锅2件套 Perfect Pro</h1><br>尺寸:4.5L 22cm + 3.0L 22cm<br>设计师: Metz &amp; Kindler<br>WMF Pressure Cooker® 压力锅使你可在高温下烹调食物，并遵循物理法则 。 在高压状态下，仅在超过100º C 的条件下水才开始沸腾。 为了构建压力环境，通过插销节和辅助配件将WMF Pressure Cooker® 压力锅盖紧。 锅盖上带有的密封圈和手柄上带有的紧固锁可确保压力锅良好的气密性。 选择自动加热功能时，在温度升高的同时，空气从锅内溢出，直至阀门关闭（此时可听见一个明显的声响）。 现在，压力已形成，烹饪指示器上升。<br>可选择两种不同的烹饪设定：<br>第一种是橘色环升至110° C，用于烹调精细的蔬菜、鱼肉、家禽肉，第二种是橘色环升至119° C，用于烹调粗纤维食物和肉类 。 只要橘色环到达所需的位置温度，炉灶上的能量向下传输，烹饪计时开始。 烹饪结束后，仅能在无压力的情况下将压力锅打开。 为确保这一点，设计了数个安全保障功能，如剩余压力安全指示器。<br>所有压力锅都是用含内部刻度的Cromargan 18/10不锈钢制成的。 TransTherm通用型锅底适用于所有类型的炉灶，包括电磁炉。<br>The Perfect Pro是该产品系列的新成员。 动态的设计和独一无二的黑色手柄令人饶有兴味。 所有功能按键都位于可拆卸式手柄上。 中心操作按键是一个一体式旋钮 该按键可用于关闭锅盖，选择所需烹饪级别，并且将其按下即可打开压力锅。 打开压力锅之时，蒸汽自动缓和释放功能可确保绝对的安全性。 WMF设计出了一种独一无二的的清洁解决方案。 可将手柄完全卸下，并可置于水龙头下冲洗。<br><h3>特点:</h3>通过一体式旋钮可实现操作的便捷性<br>两种由程序设定的压力选择<br>蒸汽自动释放功能<br>带拆卸式手柄，易于清洗<br>内置刻度确保准确度量<br>手柄和侧手柄经防火处理<br>TransTherm® 通用型锅底，适合于各种类型的炉灶<br>Cromargan®： 18/10 不锈钢    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-schnelltopf.jpg'>",No,,,0,,,,,WMF 高压锅2件套 Perfect Pro,WMF 高压锅2件套 Perfect Pro,WMF 高压锅2件套 Perfect Pro - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,199.00,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF 2 Perfect Pro,WMF 2 Perfect Pro.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0796129990,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,"德国 WMF 高压锅 Perfect Ultra 4,5L 22cm",base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 高压锅 Perfect Ultra </h1><br>尺寸:4,5L 22cm<br>设计师: Metz &amp; Kindler<br>WMF最新款高压锅 ，Perfect  Ultra 系列，带计时器，可调节档位使用更方便<br><h3>特点:</h3>快速烹调保存维生素<br>与普通压力锅相比，可以节省高达70%的时间<br>五大独有安全系统<br>通过一体式旋钮可实现操作的便捷<br>两种由程序设定的压力选择<br>蒸汽自动释放功能<br>带拆卸式手柄，易于清洗<br>内置刻度确保准确度量<br>手柄和侧手柄经防火处理<br>TransTherm® 通用型锅底，适合于各种类型的炉灶<br>三层锅底导热快且均匀<br>绝对安全保障，多道泄压设计，从未发生爆炸事故<br>高度密封设计，加压迅速煮食快速    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-schnelltopf.jpg'>",No,,,0,,,,,"WMF 高压锅 Perfect Ultra 4,5L 22cm     ","WMF 高压锅 Perfect Ultra 4,5L 22cm     ","WMF 高压锅 Perfect Ultra 4,5L 22cm      - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,,,Product Info Column,,219.00,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,"WMF  Perfect Ultra 4,5L 22cm     ","WMF  Perfect Ultra 4,5L 22cm     .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0793939990,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,德国 WMF 高压锅2件套 PERFECT PLUS STAPEL,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 高压锅2件套 PERFECT PLUS STAPEL</h1><br>尺寸:4.5L 22cm + 3.0L 22cm<br>设计师: Metz &amp; Kindler<br><h3>特点:</h3>快速烹调保存维生素<br>与普通压力锅相比，可以节省高达70%的时间<br>五大独有安全系统<br>通过一体式旋钮可实现操作的便捷<br>两种由程序设定的压力选择<br>蒸汽自动释放功能<br>带拆卸式手柄，易于清洗<br>内置刻度确保准确度量<br>手柄和侧手柄经防火处理<br>TransTherm® 通用型锅底，适合于各种类型的炉灶<br>三层锅底导热快且均匀<br>绝对安全保障，多道泄压设计，从未发生爆炸事故<br>高度密封设计，加压迅速煮食快速                                              </div><img width='100%' src='/media/wysiwyg/wmf/wmf-schnelltopf.jpg'>",No,,,0,,,,,WMF 高压锅2件套 PERFECT PLUS STAPEL      ,WMF 高压锅2件套 PERFECT PLUS STAPEL      ,WMF 高压锅2件套 PERFECT PLUS STAPEL       - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,209.00,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF 2 PERFECT PLUS STAPEL      ,WMF 2 PERFECT PLUS STAPEL      .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0793129990,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,"德国 WMF 高压锅 PERFECT PLUS 4,5L 22cm",base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 高压锅 PERFECT PLUS</h1><br>尺寸:4,5L 22cm<br><h3>特点:</h3>18/10医用不锈钢<br>TransTherm®-多用途锅底<br>全不锈钢亮光设计 美观耐用<br>独立手柄,弹开式设计,容易清洗<br>彩色蒸调指示器,容易识别残余压力<br>    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-schnelltopf.jpg'>",No,,,0,,,,,"WMF 高压锅 PERFECT PLUS 4,5L 22cm      ","WMF 高压锅 PERFECT PLUS 4,5L 22cm      ","WMF 高压锅 PERFECT PLUS 4,5L 22cm       - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,,,Product Info Column,,169.00,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,"WMF  PERFECT PLUS 4,5L 22cm      ","WMF  PERFECT PLUS 4,5L 22cm      .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0793099990,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,"德国 WMF 高压锅 Perfect Plus 2,5L 18cm",base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 高压锅 Perfect Plus</h1><br>尺寸:2,5L 18cm<br><h3>特点:</h3>18/10医用不锈钢<br>TransTherm®-多用途锅底<br>全不锈钢亮光设计 美观耐用<br>独立手柄,弹开式设计,容易清洗<br>彩色蒸调指示器,容易识别残余压力<br>    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-schnelltopf.jpg'>",No,,,0,,,,,"WMF 高压锅 Perfect Plus 2,5L 18cm      ","WMF 高压锅 Perfect Plus 2,5L 18cm      ","WMF 高压锅 Perfect Plus 2,5L 18cm       - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,,,Product Info Column,,149.00,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,"WMF  Perfect Plus 2,5L 18cm      ","WMF  Perfect Plus 2,5L 18cm      .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0792796100,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,德国 WMF 蒸用三脚支架 18cm,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 蒸用三脚支架 18cm</h1><br>尺寸: 18cm<br>WMF原装 适用于所有18cm口径以上的高压锅和汤锅炖锅<br>18/10不锈钢，食用安全放心。    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-schnelltopf.jpg'>",No,,,0,,,,,WMF 蒸用三脚支架 18cm                     ,WMF 蒸用三脚支架 18cm                     ,WMF 蒸用三脚支架 18cm                      - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,4.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF  18cm                     ,WMF  18cm                     .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0792776000,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,德国 WMF 高压锅 蒸屉 不带孔 18cm,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 高压锅 蒸屉 不带孔 18cm</h1><br>尺寸: 18cm<br>WMF原装 适用于所有18cm口径的高压锅<br>18/10不锈钢，食用安全放心。    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-schnelltopf.jpg'>",No,,,0,,,,,WMF 高压锅 蒸屉 不带孔 18cm                 ,WMF 高压锅 蒸屉 不带孔 18cm                 ,WMF 高压锅 蒸屉 不带孔 18cm                  - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,13.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF    18cm                 ,WMF    18cm                 .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0792659990,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,德国 WMF 高压锅2件套 Perfect RDS 22cm,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 高压锅2件套 Perfect RDS 22cm</h1><br>尺寸: 4.5L+3.0L 22cm<h3>特点:</h3>快速烹调保存维生素<br>与普通压力锅相比，可以节省高达70%的时间<br>五大独有安全系统<br>通过一体式旋钮可实现操作的便捷<br>两种由程序设定的压力选择<br>蒸汽自动释放功能<br>带拆卸式手柄，易于清洗<br>内置刻度确保准确度量<br>手柄和侧手柄经防火处理<br>TransTherm® 通用型锅底，适合于各种类型的炉灶<br>三层锅底导热快且均匀<br>绝对安全保障，多道泄压设计，从未发生爆炸事故<br>高度密封设计，加压迅速煮食快速                                                                                      </div><img width='100%' src='/media/wysiwyg/wmf/wmf-schnelltopf.jpg'>",No,,,0,,,,,WMF 高压锅2件套 Perfect RDS 22cm         ,WMF 高压锅2件套 Perfect RDS 22cm         ,WMF 高压锅2件套 Perfect RDS 22cm          - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,199.00,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF 2 Perfect RDS 22cm         ,WMF 2 Perfect RDS 22cm         .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0792629990,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,德国 WMF 高压锅 Perfect RDS 4.5L 22cm 含胶圈,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 高压锅 Perfect RDS 4,5L 22cm </h1><br>尺寸: 4.5L 22cm<h3>特点:</h3>快速烹调保存维生素<br>与普通压力锅相比，可以节省高达70%的时间<br>五大独有安全系统<br>通过一体式旋钮可实现操作的便捷<br>两种由程序设定的压力选择<br>蒸汽自动释放功能<br>带拆卸式手柄，易于清洗<br>内置刻度确保准确度量<br>手柄和侧手柄经防火处理<br>TransTherm® 通用型锅底，适合于各种类型的炉灶<br>三层锅底导热快且均匀<br>绝对安全保障，多道泄压设计，从未发生爆炸事故<br>高度密封设计，加压迅速煮食快速                                                                                        </div><img width='100%' src='/media/wysiwyg/wmf/wmf-schnelltopf.jpg'>",No,,,0,,,,,WMF 高压锅 Perfect RDS 4.5L 22cm 含胶圈   ,WMF 高压锅 Perfect RDS 4.5L 22cm 含胶圈   ,WMF 高压锅 Perfect RDS 4.5L 22cm 含胶圈    - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,149.00,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF  Perfect RDS 4.5L 22cm    ,WMF  Perfect RDS 4.5L 22cm    .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
