sku,_store,_attribute_set,_type,categories,name,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
WMF_0644416030,base,Kitchen,simple,[Chinese Category]/厨房用具/餐桌用具/,德国 WMF 多功能切丝器,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 多功能切丝器</h1><br>尺寸:24,5 x 10 x 7,5 cm ; 281 g<br>Cromargan®18/10不锈钢<br>摩擦板可替换，医用不锈钢材质，安全卫士，可放入洗碗机中清洗。<br>可用于黄瓜，奶酪，蔬菜的切丝、家中料理必备。                                                                                                                                                                                                                                                                            </div><img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,,,,,WMF 多功能切丝器                          ,WMF 多功能切丝器                          ,WMF 多功能切丝器                           - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,29.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF                           ,WMF                           .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0617856030,base,Kitchen,simple,[Chinese Category]/厨房用具/餐桌用具/,德国 WMF 冰桶  loft Bar,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 冰桶  loft Bar</h1><br>材质：18/10医用不锈钢<br>尺寸: 20,2 x 17,6 x 17,6 cm<br>用Cromargan protect® 材料制成的餐具极其耐磨。 在经过深入研究之后，WMF对Cromargan® 进行了优化，这样的话与普通不锈钢相比这种材料更耐划痕。 高频率的使用和频繁用洗碗机进行清洁不会损伤Cromargan protect®材料。 经抛光处理的表面依旧闪亮，无光表面依然保持着柔光效果。 即使在使用多年之后，这款餐具看起来依然如新 — 几乎与刚购买之时一样好。<br>Cromargan protect® — 一项杰出的创新技术，已在国际上申请专利，仅有WMF能提供。经过简短测试之后，普通的不锈钢上出现清晰的痕迹和深刮痕。 而Cromargan protect®的表面仍然完美无缺，即使长时间的测试也是如此。<br><h3>Cromargan Protect的优势:</h3>耐划痕<br>极其耐磨<br>经抛光处理的表面依旧闪亮，无光表面依然保持着柔光效果。<br>防锈，可用洗碗机清洗<br>已在国际上申请专利 - 仅有WMF能提供<br>确保WMF Cromargan® 的所有性能<br>           </div><img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,,,,,WMF 冰桶  loft Bar      ,WMF 冰桶  loft Bar      ,WMF 冰桶  loft Bar       - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,69.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF   loft Bar      ,WMF   loft Bar      .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0617716040,base,Kitchen,simple,[Chinese Category]/厨房用具/餐桌用具/,"德国 WMF 水瓶 BASIC 0,75L",base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 玻璃凉水壶凉水瓶果汁壶 0,75 l 黑色瓶盖</h1><br>尺寸:10 x 10 x 32,7 cm<br><h3>特点:</h3>专利的防侧漏瓶口,避免滴到桌子上,瓶身独具现代典雅的设计感,简单设计凸现尊贵.适合装水,果汁,牛奶等冷饮,瓶盖设计为防尘设计.任何角度均可倒水.倒水时,水自动流出的同时,把茶叶或冰块等其他物体阻隔在内.此产品不适用于洗碗机    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,,,,,"水瓶 BASIC 0,75L","水瓶 BASIC 0,75L","水瓶 BASIC 0,75L - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,,,Product Info Column,,34.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,," BASIC 0,75L"," BASIC 0,75L.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0654866020,base,Kitchen,simple,[Chinese Category]/厨房用具/餐桌用具/,德国 WMF 保鲜盒 TOP SERVE 15cm 含网格,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 保鲜盒 TOP SERVE 15cm 含网格</h1><br>尺寸: 直径 15cm <br>玻璃盒身；18/10医用不锈钢盖；硅胶密封<br>网格防止食品接触的玻璃地板上凝结，保持食物新鲜更开胃。<br>可放入洗碗机中清洗。<br>紧密型盒盖设计，干净卫生。                                                                                                                                                                                                                                                                      </div><img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,,,,,WMF 保鲜盒 TOP SERVE 15cm 含网格          ,WMF 保鲜盒 TOP SERVE 15cm 含网格          ,WMF 保鲜盒 TOP SERVE 15cm 含网格           - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,34.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF  TOP SERVE 15cm           ,WMF  TOP SERVE 15cm           .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0654686040,base,Kitchen,simple,[Chinese Category]/厨房用具/餐桌用具/,德国 WMF 胡椒研磨器 H 16cm Cromargan/Acrylglas,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 胡椒研磨器 H 16cm Cromargan/Acrylglas</h1><br>尺寸: 高16 cm<br>材质：18/10不锈钢,医用玻璃<br>用Cromargan protect® 材料制成的餐具极其耐磨。 在经过深入研究之后，WMF对Cromargan® 进行了优化，这样的话与普通不锈钢相比这种材料更耐划痕。 高频率的使用和频繁用洗碗机进行清洁不会损伤Cromargan protect®材料。 经抛光处理的表面依旧闪亮，无光表面依然保持着柔光效果。 即使在使用多年之后，这款餐具看起来依然如新 — 几乎与刚购买之时一样好。<br>Cromargan protect® — 一项杰出的创新技术，已在国际上申请专利，仅有WMF能提供。经过简短测试之后，普通的不锈钢上出现清晰的痕迹和深刮痕。 而Cromargan protect®的表面仍然完美无缺，即使长时间的测试也是    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,,,,,WMF 胡椒研磨器 H 16cm Cromargan/Acrylglas,WMF 胡椒研磨器 H 16cm Cromargan/Acrylglas,WMF 胡椒研磨器 H 16cm Cromargan/Acrylglas - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,44.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF  H 16cm Cromargan/Acrylglas,WMF  H 16cm Cromargan/Acrylglas.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0608696030,base,Kitchen,simple,[Chinese Category]/厨房用具/餐桌用具/,德国 WMF 室温温度计 含湿度计,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 室温温度计 含湿度计</h1><br>尺寸：Ø 11 cm<br>特点：表盘上绿色区域代表最适宜储存红酒温度和湿度；<br>适用于室内，带湿度计，也可用于酒窖酒柜；<br>可放置(带支架)，也可悬挂(带钩)。<br>WMF有多款温度计，但只有这款是室内用的，可放置也可吊挂。精美的做工，大方的外观，能让您的房间锦上添花。温度计湿度计很重要哦，对于储存酒类、花草等房间必不可少。                                                                                                                                                                                                            </div><img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,,,,,室温温度计 含湿度计,室温温度计 含湿度计,室温温度计 含湿度计 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,29.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,, , .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0641056040,base,Kitchen,simple,[Chinese Category]/厨房用具/餐桌用具/,德国 WMF 红酒封瓶倒酒器,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 红酒封瓶倒酒器</h1><br>尺寸: 长 8 cm <br>材质：18/10不锈钢<br>用Cromargan protect® 材料制成的餐具极其耐磨。 在经过深入研究之后，WMF对Cromargan® 进行了优化，这样的话与普通不锈钢相比这种材料更耐划痕。 高频率的使用和频繁用洗碗机进行清洁不会损伤Cromargan protect®材料。 经抛光处理的表面依旧闪亮，无光表面依然保持着柔光效果。 即使在使用多年之后，这款餐具看起来依然如新 — 几乎与刚购买之时一样好。<br>Cromargan protect® — 一项杰出的创新技术，已在国际上申请专利，仅有WMF能提供。经过简短测试之后，普通的不锈钢上出现清晰的痕迹和深刮痕。 而Cromargan protect®的表面仍然完美无缺，即使长时间的测试也是如此。<br><h3>Cromargan Protec    </h3></div><img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,,,,,WMF 红酒封瓶倒酒器                         ,WMF 红酒封瓶倒酒器                         ,WMF 红酒封瓶倒酒器                          - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,19.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF                          ,WMF                          .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0636346040,base,Kitchen,simple,[Chinese Category]/厨房用具/餐桌用具/,德国 WMF 茶叶罐 中号,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 茶叶罐 中号 </h1><br>尺寸:高 12.9 cm,直径 9.2cm<br>材质：18/10不锈钢<br>用Cromargan protect® 材料制成的餐具极其耐磨。 在经过深入研究之后，WMF对Cromargan® 进行了优化，这样的话与普通不锈钢相比这种材料更耐划痕。 高频率的使用和频繁用洗碗机进行清洁不会损伤Cromargan protect®材料。 经抛光处理的表面依旧闪亮，无光表面依然保持着柔光效果。 即使在使用多年之后，这款餐具看起来依然如新 — 几乎与刚购买之时一样好。<br>Cromargan protect® — 一项杰出的创新技术，已在国际上申请专利，仅有WMF能提供。经过简短测试之后，普通的不锈钢上出现清晰的痕迹和深刮痕。 而Cromargan protect®的表面仍然完美无缺，即使长时间的测试也是如此。<br><h3>Cromar    </h3></div><img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,,,,,WMF 茶叶罐 中号                          ,WMF 茶叶罐 中号                          ,WMF 茶叶罐 中号                           - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,29.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF                            ,WMF                            .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0630276040,base,Kitchen,simple,[Chinese Category]/厨房用具/餐桌用具/,德国 WMF 果酱罐 Farm Erdbeere,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 果酱罐 Farm Erdbeere</h1><br>尺寸:直径 8.8cm 高度 16cm<br>材质：罐身－玻璃; 罐盖－18/10不锈钢　亮光<br>支架处卡通图案设计巧妙，属性明确，一目了然。<br>无需拧罐盖，只需轻轻推动手提支架即可掀开罐盖。<br>我们饮食习惯已经发生了变化。 如今，我们在家中也能品尝来自世界各地的菜肴，而餐桌礼仪也愈来愈趋向舒适性。 也把更多注意力投向打造一个夺人眼球的餐桌。 甚至于在就餐之前，也要尽量营造出氛围，并调节自己的心情以期有一个愉快的用餐体验。 WMF餐具和餐桌配件可以打造出适合的用餐环境，并反映出个人的生活方式。                                                                                                               </div><img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,,,,,果酱罐 Farm Erdbeere,果酱罐 Farm Erdbeere,果酱罐 Farm Erdbeere - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,24.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,, Farm Erdbeere, Farm Erdbeere.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0670826040,base,Kitchen,simple,[Chinese Category]/厨房用具/餐桌用具/,"德国 WMF 餐刀座, 2个装 GP",base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 餐刀座, 2个装 GP</h1><br>尺寸: 长 7cm<br>我们饮食习惯已经发生了变化。 如今，我们在家中也能品尝来自世界各地的菜肴，而餐桌礼仪也愈来愈趋向舒适性。 也把更多注意力投向打造一个夺人眼球的餐桌。 甚至于在就餐之前，也要尽量营造出氛围，并调节自己的心情以期有一个愉快的用餐体验。 WMF餐具和餐桌配件可以打造出适合的用餐环境，并反映出个人的生活方式。<br>用Cromargan protect® 材料制成的餐具极其耐磨。 在经过深入研究之后，WMF对Cromargan® 进行了优化，这样的话与普通不锈钢相比这种材料更耐划痕。 高频率的使用和频繁用洗碗机进行清洁不会损伤Cromargan protect®材料。 经抛光处理的表面依旧闪亮，无光表面依然保持着柔光效果。 即使在使用多年之后，这款餐具看起来依然如新 — 几乎与刚购买之时一样好。<br>Croma    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,,,,,"WMF 餐刀座, 2个装 GP                     ","WMF 餐刀座, 2个装 GP                     ","WMF 餐刀座, 2个装 GP                      - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,,,Product Info Column,,15.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,"WMF , 2 GP                     ","WMF , 2 GP                     .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
