sku,_store,_attribute_set,_type,categories,name,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
NUK_10171027,base,Baby,simple,[Chinese Category]/母婴/NUK,NUK TRENDLINE LA 安抚奶嘴 无BPA 乳胶 1段 0-6m 红鸭蓝熊,base,,,,NUK,,,,,Germany,,,,,,"<div class=""std"">
        <h1>NUK TRENDLINE LA 安抚奶嘴 无BPA 乳胶 1段 0-6m 红鸭蓝熊</h1><br>适用于: 0-6个月<br><h3>特点:</h3>配有“NUK AIR SYSTEM自动进气系统”，当宝宝吸吮时，奶嘴内的空气可以流出。如此一来，安抚奶嘴的形状便能与宝宝的口腔完全吻合；<br>其设计理念是基于母乳哺育有助于强化、加宽下齿颚部以利乳齿充分发育，纠正宝宝吸吮手指的坏习惯，也可避免造成牙颔畸形；<br>不含BPA，安全可靠<br>NUK GENIUS系列奶嘴不仅仅是新款安抚奶嘴。 在和德国著名牙医博士Hubertus共同努力下，成功的制造了在医学理论上和实践应用上最可靠最先进的适合宝宝牙齿和口腔发育的奶嘴形状。在此领域里毋庸置疑的站在了领先位置。比一般的安抚奶嘴设计更好，可以减少对颌骨和牙齿的压力。设计更接近母亲的乳头，这样让宝宝更加舒适和习惯。特殊形式有效促进下巴，腭，舌，嘴唇和牙齿的互动，为优化呼吸，对宝宝食物摄入和后来语言发展都有帮助。通过NUK阀门空调系统调节，更加有力于呼吸和感觉更加柔软。有一个流通渠道，里面有真空净尘配备板块：这样做可以避免这口水向下的积累。    </div><img width='100%' src='/media/wysiwyg/nuk/Nuk_Bottle.jpg'>",No,,,0,,,,,NUK TRENDLINE LA 安抚奶嘴 无BPA 乳胶 1段 0-6m 红鸭蓝熊,NUK TRENDLINE LA 安抚奶嘴 无BPA 乳胶 1段 0-6m 红鸭蓝熊,NUK TRENDLINE LA 安抚奶嘴 无BPA 乳胶 1段 0-6m 红鸭蓝熊 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,5.95,0,NUK是德国MAPA公司生产的世界高质量的婴儿用品的著名商标，在世界婴儿用品市场上享有很高的声誉。,,,,,,,1,2,,,NUK TRENDLINE LA  BPA  1 0-6m ,NUK TRENDLINE LA  BPA  1 0-6m .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
NUK_10177046,base,Baby,simple,[Chinese Category]/母婴/NUK,NUK Trendline Sesamstraße Schnuller GR3,base,,,,NUK,,,,,Germany,,,,,,"<div class=""std"">
        description    </div><img width='100%' src='/media/wysiwyg/nuk/Nuk_Bottle.jpg'>",No,,,0,,,,,Trendline Sesamstraße Schnuller GR3,Trendline Sesamstraße Schnuller GR3,Trendline Sesamstraße Schnuller GR3 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,5.99,0,NUK是德国MAPA公司生产的世界高质量的婴儿用品的著名商标，在世界婴儿用品市场上享有很高的声誉。,,,,,,,1,2,,,Trendline Sesamstrae Schnuller GR3,Trendline Sesamstrae Schnuller GR3.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
NUK_10176102,base,Baby,simple,[Chinese Category]/母婴/NUK,NUK Trendline Sesamstraße Schnuller GR2,base,,,,NUK,,,,,Germany,,,,,,"<div class=""std"">
        description    </div><img width='100%' src='/media/wysiwyg/nuk/Nuk_Bottle.jpg'>",No,,,0,,,,,Trendline Sesamstraße Schnuller GR2,Trendline Sesamstraße Schnuller GR2,Trendline Sesamstraße Schnuller GR2 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,5.99,0,NUK是德国MAPA公司生产的世界高质量的婴儿用品的著名商标，在世界婴儿用品市场上享有很高的声誉。,,,,,,,1,2,,,Trendline Sesamstrae Schnuller GR2,Trendline Sesamstrae Schnuller GR2.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
NUK_10255261,base,Baby,simple,[Chinese Category]/母婴/NUK,NUK Sesamstraße Flexi Cup 300ml mit Trinktülle,base,,,,NUK,,,,,Germany,,,,,,"<div class=""std"">
        description    </div><img width='100%' src='/media/wysiwyg/nuk/Nuk_Bottle.jpg'>",No,,,0,,,,,Sesamstraße Flexi Cup 300ml mit Trinktülle,Sesamstraße Flexi Cup 300ml mit Trinktülle,Sesamstraße Flexi Cup 300ml mit Trinktülle - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,8.99,0,NUK是德国MAPA公司生产的世界高质量的婴儿用品的著名商标，在世界婴儿用品市场上享有很高的声誉。,,,,,,,1,2,,,Sesamstrae Flexi Cup 300ml mit Trinktlle,Sesamstrae Flexi Cup 300ml mit Trinktlle.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
NUK_10255070,base,Baby,simple,[Chinese Category]/母婴/NUK,NUK 饮水杯吸管杯奶瓶奶嘴拔口配件 36m+ 灰,base,,,,NUK,,,,,Germany,,,,,,"<div class=""std"">
        <h1>NUK 运动水壶配件 防漏 提拉嘴 36m+</h1><br>颜色：粉1 灰黑2 天蓝1<br>适用年龄：3岁以上<br><h3>特点:</h3>产品不含双酚A，使用更安全。<br>特别的拔口设计，宝宝用嘴轻轻一咬，即可饮水，使用简单方便。<br>贴心护齿设计，柔软水嘴加有护齿胶，保护牙齿更安全。<br>宽口的设计更方便灌装和清洁。<br>超强防漏，是上幼儿园以及旅行外出最好的选择。<br>符合人体工程学设计的瓶身外形，宝宝的小手更容易牢牢握住。<br>300ML容量，适合宝宝饮水需求。<br>便携挂扣，携带方便。<br>兼容所有NUK首选产品的配件。                                                                                                         </div><img width='100%' src='/media/wysiwyg/nuk/Nuk_Bottle.jpg'>",No,,,0,,,,,NUK 饮水杯吸管杯奶瓶奶嘴拔口配件 36m+ 灰 ,NUK 饮水杯吸管杯奶瓶奶嘴拔口配件 36m+ 灰 ,NUK 饮水杯吸管杯奶瓶奶嘴拔口配件 36m+ 灰  - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,3.62,0,NUK是德国MAPA公司生产的世界高质量的婴儿用品的著名商标，在世界婴儿用品市场上享有很高的声誉。,,,,,,,1,2,,,NUK  36m+  ,NUK  36m+  .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
NUK_10252081,base,Baby,simple,[Chinese Category]/母婴/NUK,NUK 超级 干爽 舒适 透气 防溢 乳垫 一次性 60片,base,,,,NUK,,,,,Germany,,,,,,"<div class=""std"">
        <h1>NUK 超级 干爽 舒适 透气 防溢 乳垫 一次性 60片</h1><br>NUK 超干爽防溢乳垫可以很好的防止乳汁太多溢出而在衣服上留下奶渍或者造成不雅观；干爽内衬，有效隔离潮湿，保持干爽舒适，额外吸收内核，迅速吸收并锁住水分，自始至终提供有效保护。<br><h3>特点:</h3>采用高分子吸水材料制成，垫于胸罩与乳房之间，可吸收溢出的奶水，保持衣服干爽和乳头的清洁，特别适合奶水多的母亲使用。<br>模拟母亲乳房的圆弧外形，非常贴身舒服。<br>超强快速吸收能力和超大吸收容量，让您保持衣服的干爽感觉。<br>超薄型乳垫，厚度仅1.8mm，妈妈使用更舒适。    </div><img width='100%' src='/media/wysiwyg/nuk/Nuk_Bottle.jpg'>",No,,,0,,,,,NUK 超级 干爽 舒适 透气 防溢 乳垫 一次性 60片,NUK 超级 干爽 舒适 透气 防溢 乳垫 一次性 60片,NUK 超级 干爽 舒适 透气 防溢 乳垫 一次性 60片 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,9.86,0,NUK是德国MAPA公司生产的世界高质量的婴儿用品的著名商标，在世界婴儿用品市场上享有很高的声誉。,,,,,,,1,2,,,NUK        60,NUK        60.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
NUK_10252080,base,Baby,simple,[Chinese Category]/母婴/NUK,NUK 绵柔干爽瞬吸 防溢乳垫 可洗放漏垫 4片,base,,,,NUK,,,,,Germany,,,,,,"<div class=""std"">
        <h1>NUK 绵柔干爽瞬吸 防溢乳垫 可洗放漏垫 4片 </h1><br>材料柔软，吸水力强，并有透气功能使您感到最大的舒适<br>外层阻止水份渗漏，中间层吸收水份，柔软棉质的内层贴紧皮肤使你感到舒服<br>    </div><img width='100%' src='/media/wysiwyg/nuk/Nuk_Bottle.jpg'>",No,,,0,,,,,NUK 绵柔干爽瞬吸 防溢乳垫 可洗放漏垫 4片 ,NUK 绵柔干爽瞬吸 防溢乳垫 可洗放漏垫 4片 ,NUK 绵柔干爽瞬吸 防溢乳垫 可洗放漏垫 4片  - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,7.41,0,NUK是德国MAPA公司生产的世界高质量的婴儿用品的著名商标，在世界婴儿用品市场上享有很高的声誉。,,,,,,,1,2,,,NUK    4 ,NUK    4 .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
NUK_10212017,base,Baby,simple,[Chinese Category]/母婴/NUK,NUK 玻璃瓶 300ml 含奶嘴,base,,,,NUK,,,,,Germany,,,,,,"<div class=""std"">
        <h1>NUK 玻璃瓶 300ml 含1段奶嘴</h1><br>1号奶嘴适合0到6个月的宝宝,口径为型号<br>容量: 300 ml<br><h3>特点:</h3>特殊玻璃材质制成,耐用<br>宽口设计,易于清洗,罐装.<br>最接近母乳喂养时乳头形状的奶嘴,让宝宝的上下颚及颌能充分的强化及健康发育<br>配有独特的 NUK Air System 自动进气系统 设计,可减少宝宝吸入过多的空气造成不适    </div><img width='100%' src='/media/wysiwyg/nuk/Nuk_Bottle.jpg'>",No,,,0,,,,,NUK 玻璃瓶 300ml 含奶嘴,NUK 玻璃瓶 300ml 含奶嘴,NUK 玻璃瓶 300ml 含奶嘴 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,8.99,0,NUK是德国MAPA公司生产的世界高质量的婴儿用品的著名商标，在世界婴儿用品市场上享有很高的声誉。,,,,,,,1,2,,,NUK  300ml ,NUK  300ml .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
NUK_10211010,base,Baby,simple,[Chinese Category]/母婴/NUK,NUK 玻璃瓶 120ml 含奶嘴,base,,,,NUK,,,,,Germany,,,,,,"<div class=""std"">
        <h1>NUK 玻璃 120ml 宽口防呛防胀气奶瓶 含1段奶嘴</h1><br>1号奶嘴适合0到6个月的宝宝,口径为型号<br>容量: 120 ml<br><h3>特点:</h3>特殊玻璃材质制成,耐用<br>宽口设计,易于清洗,罐装.<br>最接近母乳喂养时乳头形状的奶嘴,让宝宝的上下颚及颌能充分的强化及健康发育<br>配有独特的 NUK Air System 自动进气系统 设计,可减少宝宝吸入过多的空气造成不适    </div><img width='100%' src='/media/wysiwyg/nuk/Nuk_Bottle.jpg'>",No,,,0,,,,,NUK 玻璃瓶 120ml 含奶嘴,NUK 玻璃瓶 120ml 含奶嘴,NUK 玻璃瓶 120ml 含奶嘴 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,7.99,0,NUK是德国MAPA公司生产的世界高质量的婴儿用品的著名商标，在世界婴儿用品市场上享有很高的声誉。,,,,,,,1,2,,,NUK  120ml ,NUK  120ml .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
NUK_10252090,base,Baby,simple,[Chinese Category]/母婴/NUK,NUK 手动可调节吸奶器 0+ 无bpa,base,,,,NUK,,,,,Germany,,,,,,"<div class=""std"">
        <h1>NUK 手动可调节吸奶器 0+ 无bpa</h1><br><h3>特点:</h3>1.不需要电源,携带方便。<br>2.吸奶器上方有个吸力调节器,妈妈可以自行调节吸力强弱,以模仿宝宝自然吮吸频率。<br>3.吸奶器皆附上NUK奶水储存瓶,妈妈吸出奶水后,可以将储奶的奶水储存瓶直接装上<br>4.NUK宽口奶嘴，即可直接喂哺宝宝；或是将奶水直接放在储存瓶,NUK奶水 储存瓶可以冷藏和冷冻母乳,瓶身有空白栏位,可标示挤奶日期和时间。<br>5.超柔软带颗粒的硅胶垫-可拿下清洗，接触面大，非常贴合乳房并带来轻柔按摩，可减少疼痛，符合人体工程学设计的手柄-为方便单手操作。<br>6.兼容性-与所有NUKFirst Choice系列的宽颈PC/PP瓶相配<br>7.配件完善-自带NUKFirst Choice系列的宽颈 PC/PP 瓶，硅胶奶嘴（1号，0-6个月的宝宝），保护    </div><img width='100%' src='/media/wysiwyg/nuk/Nuk_Bottle.jpg'>",No,,,0,,,,,NUK 手动可调节吸奶器 0+ 无bpa,NUK 手动可调节吸奶器 0+ 无bpa,NUK 手动可调节吸奶器 0+ 无bpa - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,39.99,0,NUK是德国MAPA公司生产的世界高质量的婴儿用品的著名商标，在世界婴儿用品市场上享有很高的声誉。,,,,,,,1,2,,,NUK  0+ bpa,NUK  0+ bpa.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
