sku,_store,_attribute_set,_type,categories,name,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
WMF_0644406040,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具/,德国 WMF 多功能切丝器,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 多功能切丝器</h1><br>尺寸:2cm x 18cm。内含4个刀片<br>Cromargan®18/10不锈钢<br>摩擦板可替换，医用不锈钢材质，安全卫士，可放入洗碗机中清洗。<br>可用于黄瓜，奶酪，蔬菜的切丝、家中料理必备。    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,,,,,WMF 多功能切丝器                          ,WMF 多功能切丝器                          ,WMF 多功能切丝器                           - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,29.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF                           ,WMF                           .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1870039990,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具/,德国 WMF 果蔬刀 8cm 红色,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 果蔬刀 8cm 红色 </h1><br>尺寸: 19,6 x 2,2 x 0,8 cm<br>通常情况下是无法一眼就区分出好刀和差刀的。 然而，一把好刀在品质上还是具备了一些鲜明的特征，并可确保其在日常使用中的功能性。<br><h3>特点:</h3>所选用的钢材的质量很可能是最重要的选择标准。 WMF所有家用刀所用的刀片都是用优质坚硬的特殊刀片钢制成的，即所谓的15% 铬-钼-钒钢、 这一材料可确保刀片的锋利度和弹性，耐腐蚀性和长边保留性持久。 这种特殊刀片钢合金永久固定在每一把刀具上。<br>锻造衬垫（刀片与刀柄结合部）主要起到保护手指的作用。 可防止手指划过手柄与刀片接触，从而确保了烹饪过程的安全性和简易性，因为手可将刀具牢牢抓住。<br>光滑处理： 刀片、衬垫和刀柄之间不应有明显的分界。 出于卫生方面的考虑，这一点非常重要。<br>优质刀具的平衡性很好，可舒适地握在手中。 符合人体工程学设计的手柄可自然贴合你的手形。<br>刀具的平衡性，即刀片和刀柄之间的平衡，令刀具在使用上变得更加容易。<br>一把好刀不仅仅需要具备锋利性，而且必须持久锋利。 所有WMF刀具均经过精心打磨处理，并采用激光技术进行核查。<br>WMF刀具防锈，耐酸性物质。 这种特性来源于所用钢材的优质性和完美的表面精加工处理。 首先，要经过几道磨削工艺。 然后对刀片进行精密的打磨和抛光处理。 存在一个非常简单的规则。 完工的刀片表面约精细，刀具的耐腐蚀性就越强。 <br>一般说来，WMF厨具是可用洗碗机清洗的。 然而，我们建议你仍采用手动清洗的方法，以保护优质的刀片不受机械损伤。    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,,,,,WMF 果蔬刀 8cm 红色                 ,WMF 果蔬刀 8cm 红色                 ,WMF 果蔬刀 8cm 红色                  - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,4.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF  8cm                  ,WMF  8cm                  .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1874426030,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具/,德国 WMF PROFI PLUS系列 不锈钢打蛋器 搅拌器  21cm,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF PROFI PLUS系列 不锈钢打蛋器 搅拌器  21cm</h1><br>尺寸:27CM<br>材质为18/10医用不锈钢。清洗方便，可用于洗碗机中！    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,,,,,WMF PROFI PLUS系列 不锈钢打蛋器 搅拌器  21cm   ,WMF PROFI PLUS系列 不锈钢打蛋器 搅拌器  21cm   ,WMF PROFI PLUS系列 不锈钢打蛋器 搅拌器  21cm    - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,14.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF PROFI PLUS    21cm   ,WMF PROFI PLUS    21cm   .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1872916030,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具/,德国 WMF 压蒜器 PROFI PLUS,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 压蒜器 PROFI PLUS</h1><br>尺寸：长 17,5cm<br><h3>特点:</h3>采用WMF独创的CROMARGAN18/10医用不锈钢料制成.此钢材是18%铬10%镍72%钢的合成材料.铬使钢材具有防绣保护层,镍则保护钢材不受酸性腐蚀.<br>压出的蒜泥不像捣碎的那样绒，是呈微小颗粒，未改变组织结构却更好发挥了蒜的味道。<br>精致造型，不止为追求感官享受，同时为高尚品味生活而不懈追求；<br>高品质不锈钢，不留异味，易清洗<br>人体工学原理设计，杠杆原理，省力好用；<br>底部添加的挂环，方便悬挂，保持压蒜器干燥卫生；    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,,,,,WMF 压蒜器 PROFI PLUS                  ,WMF 压蒜器 PROFI PLUS                  ,WMF 压蒜器 PROFI PLUS                   - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,39.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF  PROFI PLUS                  ,WMF  PROFI PLUS                  .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1871636030,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具/,德国 WMF 压蒜器 PROFI PLUS,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 压蒜器 PROFI PLUS</h1><br>尺寸：长 17.5cm<br><h3>特点:</h3>采用WMF独创的CROMARGAN18/10医用不锈钢料制成.此钢材是18%铬10%镍72%钢的合成材料.铬使钢材具有防绣保护层,镍则保护钢材不受酸性腐蚀.<br>压出的蒜泥不像捣碎的那样绒，是呈微小颗粒，未改变组织结构却更好发挥了蒜的味道。<br>精致造型，不止为追求感官享受，同时为高尚品味生活而不懈追求；<br>高品质不锈钢，不留异味，易清洗<br>人体工学原理设计，杠杆原理，省力好用；<br>底部添加的挂环，方便悬挂，保持压蒜器干燥卫生；    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,,,,,WMF 压蒜器 PROFI PLUS                  ,WMF 压蒜器 PROFI PLUS                  ,WMF 压蒜器 PROFI PLUS                   - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,29.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF  PROFI PLUS                  ,WMF  PROFI PLUS                  .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1871066030,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具/,德国 WMF 大肉叉 PROFI PLUS,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 大肉叉 PROFI PLUS</h1><br>尺寸:长 32 cm<br>肉叉在厨房料理中是不可缺少的。当你翻动大型肉类时，锋利的肉叉能避免您烫着手，轻松翻动，保证食材完整性。    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,,,,,WMF 大肉叉 PROFI PLUS                  ,WMF 大肉叉 PROFI PLUS                  ,WMF 大肉叉 PROFI PLUS                   - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,19.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF  PROFI PLUS                  ,WMF  PROFI PLUS                  .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0799766040,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具/,德国 WMF 计时器 Premium One造型,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 计时器 Premium One造型</h1><br>尺寸：9 x 6,5 x 5 cm ; 77 g<br>机械计时器<br>最长计时60分钟<h3>使用心得:先转到60分钟的地方，作用是给计时器上一圈发条哈！这样铃声就会非常清脆响亮啦！若没有按该使用方法操作，定时5分钟的地方声音很轻哦，因为转到5分钟这一点点小发条太短啦，当然声音会很轻啦！</h3>    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,,,,,WMF 计时器 Premium One造型               ,WMF 计时器 Premium One造型               ,WMF 计时器 Premium One造型                - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,9.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF  Premium One               ,WMF  Premium One               .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0799756040,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具/,德国 WMF 计时器 PERFECT PLUS,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 计时器 PERFECT PLUS造型</h1><br>机械计时器<br>最长计时60分钟<h3>使用心得:先转到60分钟的地方，作用是给计时器上一圈发条哈！这样铃声就会非常清脆响亮啦！若没有按该使用方法操作，定时5分钟的地方声音很轻哦，因为转到5分钟这一点点小发条太短啦，当然声音会很轻啦！</h3>    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,,,,,计时器 PERFECT PLUS,计时器 PERFECT PLUS,计时器 PERFECT PLUS - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,9.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,, PERFECT PLUS, PERFECT PLUS.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0682256030,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具/,德国 WMF 柠檬榨汁器 CLEVER & MORE,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 柠檬榨汁器 CLEVER &amp; MORE</h1><br>用Cromargan protect® 材料制成的餐具极其耐磨。 在经过深入研究之后，WMF对Cromargan® 进行了优化，这样的话与普通不锈钢相比这种材料更耐划痕。 高频率的使用和频繁用洗碗机进行清洁不会损伤Cromargan protect®材料。 经抛光处理的表面依旧闪亮，无光表面依然保持着柔光效果。 即使在使用多年之后，这款餐具看起来依然如新 — 几乎与刚购买之时一样好。<br>Cromargan protect® — 一项杰出的创新技术，已在国际上申请专利，仅有WMF能提供。经过简短测试之后，普通的不锈钢上出现清晰的痕迹和深刮痕。 而Cromargan protect®的表面仍然完美无缺，即使长时间的测试也是如此。<br><h3>Cromargan Protect的优势:</h3>耐划痕<br>极其耐    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,,,,,WMF 柠檬榨汁器 CLEVER & MORE             ,WMF 柠檬榨汁器 CLEVER & MORE             ,WMF 柠檬榨汁器 CLEVER & MORE              - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,9.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF  CLEVER & MORE             ,WMF  CLEVER & MORE             .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0654996020,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具/,德国 WMF 保鲜盒 TOP SERVE 13cm 高 10CM 含网格,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 保鲜盒 TOP SERVE 13cm 高 10CM 含网格/h1&gt;<br>尺寸: 直径 13cm,高 10cm <br>玻璃盒身；18/10医用不锈钢盖；硅胶密封<br>网格防止食品接触的玻璃地板上凝结，保持食物新鲜更开胃。<br>可放入洗碗机中清洗。<br>紧密型盒盖设计，干净卫生。                                                                                                                                                                                                                                                         </h1></div><img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,,,,,WMF 保鲜盒 TOP SERVE 13cm 高 10CM 含网格   ,WMF 保鲜盒 TOP SERVE 13cm 高 10CM 含网格   ,WMF 保鲜盒 TOP SERVE 13cm 高 10CM 含网格    - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,34.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF  TOP SERVE 13cm  10CM    ,WMF  TOP SERVE 13cm  10CM    .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
