sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
Zwilling_33011-201-0,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>双立人 Profection系列 厨房刀</h1><br>尺寸:200 mm<br><h3>Profection系列刀具特点：</h3>Twin Profection 系列为双立人德国厂新推出的系列，其参照经典1731款，许多设计进行了借鉴，鉴于1371限量版本的价格高昂（同款刀具￥3000），新推出的这个系列获得了很大的好评。其手感舒适，使用感受超好。从价格来说，也非常实惠，是一款性价比很高的高端刀具。<br>1.刀体：刀面经专利摄氏零下200度冰煅工艺处理，令刀具抗腐蚀，韧性十足，刀锋更持久锋利<br>2.刀刃：多达八道工序的手工刃口精磨，刀锋如镜<br>3.刀背：45度刀背磨抛，照顾你使用的细微感受<br>4.手柄：无拼缝聚丙烯材质手柄，卫生安全，握感舒适<br>更佳平衡感，更卫生，带来专业厨师体验<br>    </div><img width='80%' src='/media/wysiwyg/zwilling/zwilling-ny-fifth-ave-1907.jpg'>",No,,,0,,,,,厨房刀,厨房刀,厨房刀 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,双立人 Zwilling 厨房刀,,,Product Info Column,,99.95,0,双立人品牌是Peter·Henckels（彼得·亨克斯先生）以双子座作为最初的构想，在德国美丽的莱茵河畔小镇索林根创立的品牌。同时也揭开了这一人类现存最古老商标之一不老传说的序幕。他的后代约翰·阿布雷汉姆·亨克斯将公司名称改成Zwilling J.A.Henckel.US。 双立人拥有超过2000种的不锈钢刀剪餐具、锅具、厨房炊具和个人护理用品，开创了摩登厨房理念，让烹饪成为一种享受，带给人们看得见的完美品质和生活情趣。,,,,,,,1,2,,,,.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zwilling_37809-000-0,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>双立人 油刷 烧烤刷, 硅树酯</h1><br>尺寸:全长225mm<br><h3>Prof系列特点:</h3>采用优质不锈钢精工制造，坚韧、耐腐蚀、结合精湛的抛光工艺，光洁亮丽，在突出实用的同时也尽显高雅，美观大方<br>1.人体工程学原理设计，亚光金属表面，手感舒适不易打滑<br>2.点焊手柄，不易传热，优质不锈钢，一体成型,易清洗，卫生健康<br>3.经久耐用，全钢的材质，更显高贵<br>    </div><img width='80%' src='/media/wysiwyg/zwilling/zwilling-ny-fifth-ave-1907.jpg'>",No,,,0,,,,,"双立人 Prof 油刷 烧烤刷, 硅树酯                ","双立人 Prof 油刷 烧烤刷, 硅树酯                ","双立人 Prof 油刷 烧烤刷, 硅树酯                 - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,"Zwilling 双立人 Prof 油刷 烧烤刷, 硅树酯",,,Product Info Column,,18.95,0,双立人品牌是Peter·Henckels（彼得·亨克斯先生）以双子座作为最初的构想，在德国美丽的莱茵河畔小镇索林根创立的品牌。同时也揭开了这一人类现存最古老商标之一不老传说的序幕。他的后代约翰·阿布雷汉姆·亨克斯将公司名称改成Zwilling J.A.Henckel.US。 双立人拥有超过2000种的不锈钢刀剪餐具、锅具、厨房炊具和个人护理用品，开创了摩登厨房理念，让烹饪成为一种享受，带给人们看得见的完美品质和生活情趣。,,,,,,,1,2,,," Prof  ,                 "," Prof  ,                 .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zwilling_37807-000-0,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>双立人 Prof 开罐器 </h1><br>尺寸:18,5 cm<br><h3>Prof系列特点:</h3>采用优质不锈钢精工制造，坚韧、耐腐蚀、结合精湛的抛光工艺，光洁亮丽，在突出实用的同时也尽显高雅，美观大方<br>1.人体工程学原理设计，亚光金属表面，手感舒适不易打滑<br>2.点焊手柄，不易传热，优质不锈钢，一体成型,易清洗，卫生健康<br>3.经久耐用，全钢的材质，更显高贵<br>    </div><img width='80%' src='/media/wysiwyg/zwilling/zwilling-ny-fifth-ave-1907.jpg'>",No,,,0,,,,,双立人 Prof 开罐器                        ,双立人 Prof 开罐器                        ,双立人 Prof 开罐器                         - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Zwilling 双立人 Prof 开罐器,,,Product Info Column,,34.95,0,双立人品牌是Peter·Henckels（彼得·亨克斯先生）以双子座作为最初的构想，在德国美丽的莱茵河畔小镇索林根创立的品牌。同时也揭开了这一人类现存最古老商标之一不老传说的序幕。他的后代约翰·阿布雷汉姆·亨克斯将公司名称改成Zwilling J.A.Henckel.US。 双立人拥有超过2000种的不锈钢刀剪餐具、锅具、厨房炊具和个人护理用品，开创了摩登厨房理念，让烹饪成为一种享受，带给人们看得见的完美品质和生活情趣。,,,,,,,1,2,,, Prof                         , Prof                         .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zwilling_38419-181-0,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>双立人 Pro 中式 厨房刀</h1><br>尺寸:180 mm<br><h3>Pro系列特点:</h3>德国不锈钢，刀面经专利的冰煅工艺处理，另刀具抗腐蚀、韧性十足、刀刃更持久锋利。<br>多达八道工序的手工刃口精磨，刀锋如镜。<br>45度刀背磨抛，照顾你使用的细微感受。<br>指撑设计，更加平衡感，更卫生，带来专业厨师体验。    </div><img width='80%' src='/media/wysiwyg/zwilling/zwilling-ny-fifth-ave-1907.jpg'>",No,,,0,,,,,双立人 Pro 中式 厨房刀                      ,双立人 Pro 中式 厨房刀                      ,双立人 Pro 中式 厨房刀                       - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Zwilling 双立人 Pro 中式 厨房刀,,,Product Info Column,,119.00,0,双立人品牌是Peter·Henckels（彼得·亨克斯先生）以双子座作为最初的构想，在德国美丽的莱茵河畔小镇索林根创立的品牌。同时也揭开了这一人类现存最古老商标之一不老传说的序幕。他的后代约翰·阿布雷汉姆·亨克斯将公司名称改成Zwilling J.A.Henckel.US。 双立人拥有超过2000种的不锈钢刀剪餐具、锅具、厨房炊具和个人护理用品，开创了摩登厨房理念，让烹饪成为一种享受，带给人们看得见的完美品质和生活情趣。,,,,,,,1,2,,, Pro                        , Pro                        .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zwilling_30774-002-0,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具/德国刀具套装,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>双立人 Pollux系列套刀 含刀架 5件套</h1><br>尺 寸: 磁性刀架底座部分尺寸约为17cm*37cm，面板部分约为38cm*22cm<br><h3>Pollux系列刀具特点：</h3>1.刀体：刀面经FRIODUR专利摄氏零下200度冰煅工艺处理，抗腐蚀，韧性十足，刀锋更持久锋利;<br>采用双立人特殊配方不锈钢冲压件,碳和铬的比例达到最佳平衡,兼具硬度和锐利;<br>2.刀刃：多达八道工序的手工刃口精磨，刀锋如镜<br>3.刀背：45度刀背磨抛，照顾你使用的细微感受<br>4.手柄：无拼缝聚丙烯材质手柄，卫生安全，握感舒适,美观牢固;<br>指撑，更佳平衡感，更卫生，带来专业厨师体验<br>    </div><img width='80%' src='/media/wysiwyg/zwilling/zwilling-ny-fifth-ave-1907.jpg'>",No,,,0,,,,,双立人 Pollux系列套刀 含刀架 5件套              ,双立人 Pollux系列套刀 含刀架 5件套              ,双立人 Pollux系列套刀 含刀架 5件套               - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Zwilling 双立人 Pollux系列套刀 含刀架 5件套,,,Product Info Column,,156.00,0,双立人品牌是Peter·Henckels（彼得·亨克斯先生）以双子座作为最初的构想，在德国美丽的莱茵河畔小镇索林根创立的品牌。同时也揭开了这一人类现存最古老商标之一不老传说的序幕。他的后代约翰·阿布雷汉姆·亨克斯将公司名称改成Zwilling J.A.Henckel.US。 双立人拥有超过2000种的不锈钢刀剪餐具、锅具、厨房炊具和个人护理用品，开创了摩登厨房理念，让烹饪成为一种享受，带给人们看得见的完美品质和生活情趣。,,,,,,,1,2,,, Pollux  5              , Pollux  5              .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zwilling_30781-000-0,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具/德国刀具套装,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>双立人 Pollux系列 套刀 含刀架 5件套</h1><br>内置：30795-180菜刀一把，30721-200厨刀一把，30720-080蔬菜小刀一把，32576-230磨刀棒一把，原木架一个。<br><h3>Pollux系列刀具特点：</h3>1.刀体：刀面经FRIODUR专利摄氏零下200度冰煅工艺处理，抗腐蚀，韧性十足，刀锋更持久锋利;<br>采用双立人特殊配方不锈钢冲压件,碳和铬的比例达到最佳平衡,兼具硬度和锐利;<br>2.刀刃：多达八道工序的手工刃口精磨，刀锋如镜<br>3.刀背：45度刀背磨抛，照顾你使用的细微感受<br>4.手柄：无拼缝聚丙烯材质手柄，卫生安全，握感舒适,美观牢固;<br>指撑，更佳平衡感，更卫生，带来专业厨师体验<br>    </div><img width='80%' src='/media/wysiwyg/zwilling/zwilling-ny-fifth-ave-1907.jpg'>",No,,,0,,,,,双立人 Pollux系列套刀 含刀架 5件套              ,双立人 Pollux系列套刀 含刀架 5件套              ,双立人 Pollux系列套刀 含刀架 5件套               - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Zwilling 双立人 Pollux系列套刀 含刀架 5件套,,,Product Info Column,,139.00,0,双立人品牌是Peter·Henckels（彼得·亨克斯先生）以双子座作为最初的构想，在德国美丽的莱茵河畔小镇索林根创立的品牌。同时也揭开了这一人类现存最古老商标之一不老传说的序幕。他的后代约翰·阿布雷汉姆·亨克斯将公司名称改成Zwilling J.A.Henckel.US。 双立人拥有超过2000种的不锈钢刀剪餐具、锅具、厨房炊具和个人护理用品，开创了摩登厨房理念，让烹饪成为一种享受，带给人们看得见的完美品质和生活情趣。,,,,,,,1,2,,, Pollux  5              , Pollux  5              .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zwilling_32576-261-0,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具/德国刀具套装,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>双立人 Pollux系列 磨刀棒</h1><br>尺寸: 26 cm<br>用法：左手拿磨刀棒，右手拿刀，刀子从上往下，将刀刃与磨刀棒按20度角度，在磨刀棒上轻轻摩擦3-4遍即可，两面都要磨的。使用简单、效果明显.    </div><img width='80%' src='/media/wysiwyg/zwilling/zwilling-ny-fifth-ave-1907.jpg'>",No,,,0,,,,,双立人 Pollux系列 磨刀棒                    ,双立人 Pollux系列 磨刀棒                    ,双立人 Pollux系列 磨刀棒                     - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Zwilling 双立人 Pollux系列 磨刀棒,,,Product Info Column,,27.95,0,双立人品牌是Peter·Henckels（彼得·亨克斯先生）以双子座作为最初的构想，在德国美丽的莱茵河畔小镇索林根创立的品牌。同时也揭开了这一人类现存最古老商标之一不老传说的序幕。他的后代约翰·阿布雷汉姆·亨克斯将公司名称改成Zwilling J.A.Henckel.US。 双立人拥有超过2000种的不锈钢刀剪餐具、锅具、厨房炊具和个人护理用品，开创了摩登厨房理念，让烹饪成为一种享受，带给人们看得见的完美品质和生活情趣。,,,,,,,1,2,,, Pollux                     , Pollux                     .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zwilling_30721-201-0,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>双立人 Pollux系列 厨房刀</h1><br>尺寸:24,5 x 7 x 3 cm<br><h3>Pollux系列刀具特点：</h3>1.刀体：刀面经FRIODUR专利摄氏零下200度冰煅工艺处理，抗腐蚀，韧性十足，刀锋更持久锋利;<br>采用双立人特殊配方不锈钢冲压件,碳和铬的比例达到最佳平衡,兼具硬度和锐利;<br>2.刀刃：多达八道工序的手工刃口精磨，刀锋如镜<br>3.刀背：45度刀背磨抛，照顾你使用的细微感受<br>4.手柄：无拼缝聚丙烯材质手柄，卫生安全，握感舒适,美观牢固;<br>指撑，更佳平衡感，更卫生，带来专业厨师体验<br>    </div><img width='80%' src='/media/wysiwyg/zwilling/zwilling-ny-fifth-ave-1907.jpg'>",No,,,0,,,,,双立人 Pollux系列 厨房刀                    ,双立人 Pollux系列 厨房刀                    ,双立人 Pollux系列 厨房刀                     - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Zwilling 双立人 Pollux系列 厨房刀,,,Product Info Column,,56.95,0,双立人品牌是Peter·Henckels（彼得·亨克斯先生）以双子座作为最初的构想，在德国美丽的莱茵河畔小镇索林根创立的品牌。同时也揭开了这一人类现存最古老商标之一不老传说的序幕。他的后代约翰·阿布雷汉姆·亨克斯将公司名称改成Zwilling J.A.Henckel.US。 双立人拥有超过2000种的不锈钢刀剪餐具、锅具、厨房炊具和个人护理用品，开创了摩登厨房理念，让烹饪成为一种享受，带给人们看得见的完美品质和生活情趣。,,,,,,,1,2,,, Pollux                     , Pollux                     .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zwilling_32331-007-0,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>双立人 Point系列 菜刀+磨刀器 2件套</h1><br><h3>Point系列刀具特点：</h3>1.刀体：刀面经FRIODUR专利摄氏零下200度冰煅工艺处理，抗腐蚀，韧性十足，刀锋更持久锋利;<br>2.刀刃：多达八道工序的手工刃口精磨，刀锋如镜<br>3.刀背：45度刀背磨抛，照顾你使用的细微感受<br>4.手柄：崭新人体工程手柄,PPR聚丙烯材料,握感舒适,使用自然得心应手,更镶入了红色的双立人标志.    </div><img width='80%' src='/media/wysiwyg/zwilling/zwilling-ny-fifth-ave-1907.jpg'>",No,,,0,,,,,双立人 Point系列 菜刀+磨刀器 2件套              ,双立人 Point系列 菜刀+磨刀器 2件套              ,双立人 Point系列 菜刀+磨刀器 2件套               - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Zwilling 双立人 Point系列 菜刀+磨刀器 2件套,,,Product Info Column,,39.50,0,双立人品牌是Peter·Henckels（彼得·亨克斯先生）以双子座作为最初的构想，在德国美丽的莱茵河畔小镇索林根创立的品牌。同时也揭开了这一人类现存最古老商标之一不老传说的序幕。他的后代约翰·阿布雷汉姆·亨克斯将公司名称改成Zwilling J.A.Henckel.US。 双立人拥有超过2000种的不锈钢刀剪餐具、锅具、厨房炊具和个人护理用品，开创了摩登厨房理念，让烹饪成为一种享受，带给人们看得见的完美品质和生活情趣。,,,,,,,1,2,,, Point + 2              , Point + 2              .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zwilling_32329-181-0,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>双立人 Point系列 中式厨房刀</h1><br>尺寸:180 mm<br><h3>Point系列刀具特点：</h3>1.刀体：刀面经FRIODUR专利摄氏零下200度冰煅工艺处理，抗腐蚀，韧性十足，刀锋更持久锋利;<br>2.刀刃：多达八道工序的手工刃口精磨，刀锋如镜<br>3.刀背：45度刀背磨抛，照顾你使用的细微感受<br>4.手柄：崭新人体工程手柄,PPR聚丙烯材料,握感舒适,使用自然得心应手,更镶入了红色的双立人标志.    </div><img width='80%' src='/media/wysiwyg/zwilling/zwilling-ny-fifth-ave-1907.jpg'>",No,,,0,,,,,双立人 Point系列 中式厨房刀                   ,双立人 Point系列 中式厨房刀                   ,双立人 Point系列 中式厨房刀                    - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Zwilling 双立人 Point系列 中式厨房刀,,,Product Info Column,,41.95,0,双立人品牌是Peter·Henckels（彼得·亨克斯先生）以双子座作为最初的构想，在德国美丽的莱茵河畔小镇索林根创立的品牌。同时也揭开了这一人类现存最古老商标之一不老传说的序幕。他的后代约翰·阿布雷汉姆·亨克斯将公司名称改成Zwilling J.A.Henckel.US。 双立人拥有超过2000种的不锈钢刀剪餐具、锅具、厨房炊具和个人护理用品，开创了摩登厨房理念，让烹饪成为一种享受，带给人们看得见的完美品质和生活情趣。,,,,,,,1,2,,, Point                    , Point                    .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
