sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
de-wmf_0641017920,base,Kitchen,simple,[Default Category]/Küchenwaren/Bar & Wein/,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Weinflaschenverschluss Vino</h1>Nicht nur ein dekorativer Blickfang ist dieser Weinflaschenverschluss, sondern er verschließt angebrochene Flaschen sicher und sauber.<br>Wein genießen ist ein Ritual, das mit dem Öffnen der Flasche beginnt. Die Serie Vino bietet professionelle Accessoires, die durch Design und Funktionalität überzeugen.<br><h3>Material </h3>Metallguss verchromt<br>Naturgummi<br><h3>Maße </h3>Höhe in cm: 6.00    </div>",No,,,0,/wmf/bar-wein/weinflaschenverschluss-vino-wmf_0641017920.jpg,,,,,Weinflaschenverschluss VINO,Weinflaschenverschluss VINO,Weinflaschenverschluss VINO - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Weinflaschenverschluss-VINO,,,Product Info Column,,"17,95",0,,,,/wmf/bar-wein/weinflaschenverschluss-vino-wmf_0641017920.jpg,,,,,1,2,/wmf/bar-wein/weinflaschenverschluss-vino-wmf_0641017920.jpg,,,Weinflaschenverschluss VINO,Weinflaschenverschluss VINO.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1289656046,base,Kitchen,simple,[Default Category]/Küchenwaren/Bar & Wein/,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wmf/bar-wein/latte-macchiato-longdrinkloffel-set-6-type-wmf_1289656046.jpg,,,,,Latte Macchiato-/Longdrinklöffel Set 6 TYPE,Latte Macchiato-/Longdrinklöffel Set 6 TYPE,Latte Macchiato-/Longdrinklöffel Set 6 TYPE - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Latte-Macchiato-Longdrinkloffel-Set-6-TYPE,,,Product Info Column,,"29,95",0,,,,/wmf/bar-wein/latte-macchiato-longdrinkloffel-set-6-type-wmf_1289656046.jpg,,,,,1,2,/wmf/bar-wein/latte-macchiato-longdrinkloffel-set-6-type-wmf_1289656046.jpg,,,Latte Macchiato-/Longdrinklffel Set 6 TYPE,Latte Macchiato-/Longdrinklffel Set 6 TYPE.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0641026030,base,Kitchen,simple,[Default Category]/Küchenwaren/Bar & Wein/,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Weinflaschenverschluss Clever &amp; More</h1>Clever: Einfaches Aufsetzen, klickt ein, luftdicht verschlossen. Durch leichten Druck auf oberen Knopf wieder leicht zu öffnen.<br>Viele praktische Produkte des täglichen Bedarfs mit cleverer und innovativer Funktion! Ebenso passende und formschöne Trinkgläser. Alle Artikel sind in einem zeitlos modernen Design!<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>matt<br><h3>Maße </h3>Höhe in cm: 4.70    </div>",No,,,0,/wmf/bar-wein/weinflaschenverschlus-clever-more-mat-wmf_0641026030.jpg,,,,,Weinflaschenverschlus clever  More mat,Weinflaschenverschlus clever  More mat,Weinflaschenverschlus clever  More mat - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Weinflaschenverschlus-clever-More-mat,,,Product Info Column,,"9,95",0,,,,/wmf/bar-wein/weinflaschenverschlus-clever-more-mat-wmf_0641026030.jpg,,,,,1,2,/wmf/bar-wein/weinflaschenverschlus-clever-more-mat-wmf_0641026030.jpg,,,Weinflaschenverschlus clever  More mat,Weinflaschenverschlus clever  More mat.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0640727920,base,Kitchen,simple,[Default Category]/Küchenwaren/Bar & Wein/,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Weinflaschenverschluss Vino</h1>Nicht nur ein dekorativer Blickfang ist dieser Weinflaschenverschluss, sondern er verschließt angebrochene Flaschen sicher und sauber.<br>Wein genießen ist ein Ritual, das mit dem Öffnen der Flasche beginnt. Die Serie Vino bietet professionelle Accessoires, die durch Design und Funktionalität überzeugen.<br><h3>Material </h3>Metallguss verchromt<br>Silikon    </div>",No,,,0,/wmf/bar-wein/weinflaschenverschluss-vino-01_2021.jpg,,,,,Weinflaschenverschluss VINO,Weinflaschenverschluss VINO,Weinflaschenverschluss VINO - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Weinflaschenverschluss-VINO,,,Product Info Column,,"9,95",0,,,,/wmf/bar-wein/weinflaschenverschluss-vino-01_2021.jpg,,,,,1,2,/wmf/bar-wein/weinflaschenverschluss-vino-01_2021.jpg,,,Weinflaschenverschluss VINO,Weinflaschenverschluss VINO.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0640717920,base,Kitchen,simple,[Default Category]/Küchenwaren/Bar & Wein/,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Weinpumpe mit 2 Verschlüssen Vino</h1>Individuelle Weinaccessoires, die Wein trinken erst zum Genuss machen. Zum Beispiel Weinpumpe hält angebrochene Flaschen länger frisch.<br>Wein genießen ist ein Ritual, das mit dem Öffnen der Flasche beginnt. Die Serie Vino bietet professionelle Accessoires, die durch Design und Funktionalität überzeugen.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>Metallguss verchromt<br>TPE (Thermoplastische Elastomere)<br><h3>Maße </h3>Höhe in cm: 15.80    </div>",No,,,0,/wmf/bar-wein/weinpumpe-mit-2-verschlussen-vino-wmf_0640717920.jpg,,,,,Weinpumpe mit 2 Verschlüssen VINO,Weinpumpe mit 2 Verschlüssen VINO,Weinpumpe mit 2 Verschlüssen VINO - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Weinpumpe-mit-2-Verschlussen-VINO,,,Product Info Column,,"29,95",0,,,,/wmf/bar-wein/weinpumpe-mit-2-verschlussen-vino-wmf_0640717920.jpg,,,,,1,2,/wmf/bar-wein/weinpumpe-mit-2-verschlussen-vino-wmf_0640717920.jpg,,,Weinpumpe mit 2 Verschlssen VINO,Weinpumpe mit 2 Verschlssen VINO.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0640656030,base,Kitchen,simple,[Default Category]/Küchenwaren/Bar & Wein/,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Kapselheber loft Bar</h1>Der Kapselheber liegt gut in der Hand und öffnet problemlos alle Kronkorken.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>matt<br><h3>Maße</h3> Länge in cm:  14.5    </div>",No,,,0,/wmf/bar-wein/kapselheber-loft-bar-14cm-01_2022.jpg,,,,,Kapselheber loft Bar 14cm,Kapselheber loft Bar 14cm,Kapselheber loft Bar 14cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kapselheber-loft-Bar-14cm,,,Product Info Column,,"12,95",0,,,,/wmf/bar-wein/kapselheber-loft-bar-14cm-01_2022.jpg,,,,,1,2,/wmf/bar-wein/kapselheber-loft-bar-14cm-01_2022.jpg,,,Kapselheber loft Bar 14cm,Kapselheber loft Bar 14cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0617926040,base,Kitchen,simple,[Default Category]/Küchenwaren/Bar & Wein/,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Ice Crusher loft Bar</h1>Eingearbeitete Edelstahlmesser crashen das Eis durch drehen der Kurbel. Das Unterteil besteht aus hochwertigem transparentem Kunststoff.<br><h3>Material </h3>Metallguss verchromt<br>verchromt<br>Kunststoff<br><h3>Maße </h3>Höhe in cm: 23.00<br>Durchmesser in cm: 14,5    </div>",No,,,0,/wmf/bar-wein/ice-crusher-loft-bar-wmf_0617926040.jpg,,,,,Ice-Crusher loft Bar,Ice-Crusher loft Bar,Ice-Crusher loft Bar - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Ice-Crusher-loft-Bar,,,Product Info Column,,"79,95",0,,,,/wmf/bar-wein/ice-crusher-loft-bar-wmf_0617926040.jpg,,,,,1,2,/wmf/bar-wein/ice-crusher-loft-bar-wmf_0617926040.jpg,,,Ice-Crusher loft Bar,Ice-Crusher loft Bar.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0613556030,base,Kitchen,simple,[Default Category]/Küchenwaren/Bar & Wein/,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Cocktailshaker loft Bar</h1>Der Boston Shaker ist das Instrument der professionellen Barkeeper. Die Zutaten kommen in den Glasbecher. Der Cromargan® Becher wird aufgestülpt. Nach dem Shaken wird aus dem Meteallteil mit Hilfe eines Barsiebs abgeseiht. Das Rührglas ist mit einer übersichtlichen Skalierung versehen. Eine neuartig aktuelle Barserie mit innovativen und professionellen Barwerkzeugen, aber auch passenden<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>matt<br><h3>Maße </h3>Höhe in cm: 28.00<br>Volumen in l: 0.60    </div>",No,,,0,/wmf/bar-wein/boston-shaker-2tlg-loft-wmf_0613556030--1.jpg,,,,,Boston Shaker 2tlg. Loft,Boston Shaker 2tlg. Loft,Boston Shaker 2tlg. Loft - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Boston-Shaker-2tlg-Loft,,,Product Info Column,,"39,95",0,,,,/wmf/bar-wein/boston-shaker-2tlg-loft-wmf_0613556030--1.jpg,,,,,1,2,/wmf/bar-wein/boston-shaker-2tlg-loft-wmf_0613556030--1.jpg,,,Boston Shaker 2tlg. Loft,Boston Shaker 2tlg. Loft.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0603519990,base,Kitchen,simple,[Default Category]/Küchenwaren/Bar & Wein/,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Flachmann Manhattan 20cl</h1>Alle ""Bargeräte"" der Kollektion Manhattan überzeugen selbst professionelle Barkeeper durch ihre Funktionalität und ihre hohe Verarbeitungs- und Materialqualität. Die Entwürfe der Designergruppe Akantus stehen außer- dem für eine anspruchsvolle Formensprache und sachliche Ästhetik dieser Produkte.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>matt<br><h3>Maße </h3>Breite in cm: 10.00<br>Höhe in cm: 13.00<br>Volumen in ml :200.00    </div>",No,,,0,/wmf/bar-wein/flachmann-manhatten-20cl-wmf_0603519990--2.jpg,,,,,Flachmann Manhatten 20cl,Flachmann Manhatten 20cl,Flachmann Manhatten 20cl - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Flachmann-Manhatten-20cl,,,Product Info Column,,"27,95",0,,,,/wmf/bar-wein/flachmann-manhatten-20cl-wmf_0603519990--2.jpg,,,,,1,2,/wmf/bar-wein/flachmann-manhatten-20cl-wmf_0603519990--2.jpg,,,Flachmann Manhatten 20cl,Flachmann Manhatten 20cl.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0603489990,base,Kitchen,simple,[Default Category]/Küchenwaren/Bar & Wein/,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Flachmann Manhattan 12cl</h1>Alle ""Bargeräte"" der Kollektion Manhattan überzeugen selbst professionelle Barkeeper durch ihre Funktionalität und ihre hohe Verarbeitungs- und Materialqualität. Die Entwürfe der Designergruppe Akantus stehen außer- dem für eine anspruchsvolle Formensprache und sachliche Ästhetik dieser Produkte.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>matt<br><h3>Maße </h3>Breite in cm: 7.00<br>Höhe in cm: 12.00<br>Volumen in ml :120.00    </div>",No,,,0,/wmf/bar-wein/flachmann-manhatten-12cl-wmf_0603489990--1.jpg,,,,,Flachmann Manhatten 12cl,Flachmann Manhatten 12cl,Flachmann Manhatten 12cl - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Flachmann-Manhatten-12cl,,,Product Info Column,,"22,95",0,,,,/wmf/bar-wein/flachmann-manhatten-12cl-wmf_0603489990--1.jpg,,,,,1,2,/wmf/bar-wein/flachmann-manhatten-12cl-wmf_0603489990--1.jpg,,,Flachmann Manhatten 12cl,Flachmann Manhatten 12cl.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
