sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
Alfi_1560215100,base,Alfi Drinkbottle,simple,[Chinese Category]/休闲旅游/保温壶,base,,,,ALFI,,,,,Germany,,,,,,"<div class=""std"">
        <h1>保温壶 Achat 1,0L  液态铜</h1><br>尺寸:1L，底面直径16cm，高度28.2cm<br>这款古堡保温壶演绎着神秘的古堡风情，把保温壶放在茶几上，坐在客厅里就能游走于神秘的古堡之间……这款保温壶由著名设计师Tassilo Von Grolman精心打造，获多项设计大奖，设计师也凭借此产品，获”Busse终身设计奖”。它的优秀之处不只是外形，还有强化玻璃内胆和出色的保温、保冷效果，内外兼修，可以满足你不同的需求。<br><h3>Achat特性:</h3>设计师：Tassilo von Grolman<br>瓶身铝制镀铬.<br>独特的浇注技术，舒适实用的壶嘴, 金属镀铬.<br>符合人体工程学的金属手柄，镀铬.<br>特别设计的铰链合页瓶盖，倒水时可单手操作。<br>易于清洗的真空硬质玻璃内胆.<br>保温时长：保热12小时，保冰24小时    </div><img width='100%' src='https://img.alicdn.com/imgextra/i3/2663345110/TB2aqV_kXXXXXcBXpXXXXXXXXXX_!!2663345110.jpg'><img width='100%' src='https://img.alicdn.com/imgextra/i2/2663345110/TB2AmKMkXXXXXbwXXXXXXXXXXXX_!!2663345110.jpg'>",No,,,0,/alfi/Isolierkanne/01_1570.jpg,,,,,"Alfi 保温壶 Achat 1,0L  液态铜            ","Alfi 保温壶 Achat 1,0L  液态铜            ","Alfi 保温壶 Achat 1,0L  液态铜             - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Alfi-保温壶-Achat-1-0L-液态铜-,,,Product Info Column,,99.95,0,"百年来每一只ALFI的产品都是拥有市场上的高品质的保证,资深熟练的工程设计师针对每道工序反复检验,确保产品100%符合保准,加上独特的抽真空双层玻璃内胆设计,经过1400摄氏度煅烧而成,保温保冷效力可以长时间维持. 采用高品质的材料及无毒可回收的环保材料是ALFI对消费者及环境的承诺.",,,/alfi/Isolierkanne/01_1570.jpg,,,,,1,2,/alfi/Isolierkanne/01_1570.jpg,,,"Alfi  Achat 1,0L              ","Alfi  Achat 1,0L              .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Alfi_0572000100,base,Alfi Drinkbottle,simple,[Chinese Category]/休闲旅游/保温壶,base,,,,ALFI,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Alfi 保温壶 Juwel, 镀铬黄铜</h1><br>尺寸:体积1,0 Liter, L长 130mm, B宽 180mm, H高 240mm<br><h3>Juwel特性:</h3>设计师: Martin Hauenstein<br>方便的开口设计<br>时尚的外形设计<br>符合人体工学的手柄 （手柄为人造材料）<br>保温功能 12小时保温(正常室温下97度的水  12小时可达60度以上)<br>易于清洗的真空硬质玻璃内胆.<br>外壳为塑料材质<br>独特的浇注技术，舒适实用的壶嘴, 金属镀铬.<br>实用方便的单手操作，无需拧开瓶盖，只需拎起壶来轻轻一摁即可出水。<br>                                                                                        </div><img width='100%' src='https://img.alicdn.com/imgextra/i3/2663345110/TB2aqV_kXXXXXcBXpXXXXXXXXXX_!!2663345110.jpg'><img width='100%' src='https://img.alicdn.com/imgextra/i2/2663345110/TB2AmKMkXXXXXbwXXXXXXXXXXXX_!!2663345110.jpg'>",No,,,0,/alfi/Isolierkanne/01_1038.jpg,,,,,"保温壶 Juwel, 镀铬黄铜","保温壶 Juwel, 镀铬黄铜","保温壶 Juwel, 镀铬黄铜 - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,保温壶-Juwel-镀铬黄铜,,,Product Info Column,,154.50,0,"百年来每一只ALFI的产品都是拥有市场上的高品质的保证,资深熟练的工程设计师针对每道工序反复检验,确保产品100%符合保准,加上独特的抽真空双层玻璃内胆设计,经过1400摄氏度煅烧而成,保温保冷效力可以长时间维持. 采用高品质的材料及无毒可回收的环保材料是ALFI对消费者及环境的承诺.",,,/alfi/Isolierkanne/01_1038.jpg,,,,,1,2,/alfi/Isolierkanne/01_1038.jpg,,," Juwel, "," Juwel, .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Alfi_0572000075,base,Alfi Drinkbottle,simple,[Chinese Category]/休闲旅游/保温壶,base,,,,ALFI,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Alfi 保温壶 Juwel, 镀铬黄铜 0,75l</h1><br>尺寸:体积0,75 Liter,<br><h3>Juwel特性:</h3>设计师: Martin Hauenstein<br>方便的开口设计<br>时尚的外形设计<br>符合人体工学的手柄 （手柄为人造材料）<br>保温功能 12小时保温(正常室温下97度的水  12小时可达60度以上)<br>易于清洗的真空硬质玻璃内胆.<br>外壳为塑料材质<br>独特的浇注技术，舒适实用的壶嘴, 金属镀铬.<br>实用方便的单手操作，无需拧开瓶盖，只需拎起壶来轻轻一摁即可出水。<br>                                                                                                              </div><img width='100%' src='https://img.alicdn.com/imgextra/i3/2663345110/TB2aqV_kXXXXXcBXpXXXXXXXXXX_!!2663345110.jpg'><img width='100%' src='https://img.alicdn.com/imgextra/i2/2663345110/TB2AmKMkXXXXXbwXXXXXXXXXXXX_!!2663345110.jpg'>",No,,,0,/alfi/Isolierkanne/01_1066.jpg,,,,,"保温壶 Juwel, 镀铬黄铜","保温壶 Juwel, 镀铬黄铜","保温壶 Juwel, 镀铬黄铜 - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,保温壶-Juwel-镀铬黄铜,,,Product Info Column,,149.30,0,"百年来每一只ALFI的产品都是拥有市场上的高品质的保证,资深熟练的工程设计师针对每道工序反复检验,确保产品100%符合保准,加上独特的抽真空双层玻璃内胆设计,经过1400摄氏度煅烧而成,保温保冷效力可以长时间维持. 采用高品质的材料及无毒可回收的环保材料是ALFI对消费者及环境的承诺.",,,/alfi/Isolierkanne/01_1066.jpg,,,,,1,2,/alfi/Isolierkanne/01_1066.jpg,,," Juwel, "," Juwel, .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Alfi_3521215100,base,Alfi Drinkbottle,simple,[Chinese Category]/休闲旅游/保温壶,base,,,,ALFI,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Alfi 保温壶 Gusto, 液态铜 1,0l</h1><br>尺寸:1L，底面直径12.3cm，高度22cm<br><h3>Gusto特性:</h3>德国制造！<br>Alfi专利技术！br /&gt;保温时长：保热12小时，保冰24小时<br>符合人体工学，可单手操作！<br>时尚的外形设计<br>可用于洗碗机！<br>双层不锈钢瓶身，真空保温！<br>防震抗摔！<br>舒适实用的壶嘴，金属镀铬！                                                                                                                                                                                            </div><img width='100%' src='https://img.alicdn.com/imgextra/i3/2663345110/TB2aqV_kXXXXXcBXpXXXXXXXXXX_!!2663345110.jpg'><img width='100%' src='https://img.alicdn.com/imgextra/i2/2663345110/TB2AmKMkXXXXXbwXXXXXXXXXXXX_!!2663345110.jpg'>",No,,,0,/alfi/Isolierkanne/alfi_3521215100-1.jpg,,,,,"保温壶 Gusto, 液态铜 1,0l","保温壶 Gusto, 液态铜 1,0l","保温壶 Gusto, 液态铜 1,0l - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,保温壶-Gusto-液态铜-1-0l,,,Product Info Column,,49.95,0,"百年来每一只ALFI的产品都是拥有市场上的高品质的保证,资深熟练的工程设计师针对每道工序反复检验,确保产品100%符合保准,加上独特的抽真空双层玻璃内胆设计,经过1400摄氏度煅烧而成,保温保冷效力可以长时间维持. 采用高品质的材料及无毒可回收的环保材料是ALFI对消费者及环境的承诺.",,,/alfi/Isolierkanne/alfi_3521215100-1.jpg,,,,,1,2,/alfi/Isolierkanne/alfi_3521215100-1.jpg,,," Gusto,  1,0l"," Gusto,  1,0l.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Alfi_3521217100,base,Alfi Drinkbottle,simple,[Chinese Category]/休闲旅游/保温壶,base,,,,ALFI,,,,,Germany,,,,,,"<div class=""std"">
        <h1>保温壶 Gusto, 液态铂 1,0l</h1><br>尺寸:1L，底面直径12.3cm，高度22cm<br><h3>Gusto特性:</h3>德国制造！<br>Alfi专利技术！br /&gt;保温时长：保热12小时，保冰24小时<br>符合人体工学，可单手操作！<br>时尚的外形设计<br>可用于洗碗机！<br>双层不锈钢瓶身，真空保温！<br>防震抗摔！<br>舒适实用的壶嘴，金属镀铬！    </div><img width='100%' src='https://img.alicdn.com/imgextra/i3/2663345110/TB2aqV_kXXXXXcBXpXXXXXXXXXX_!!2663345110.jpg'><img width='100%' src='https://img.alicdn.com/imgextra/i2/2663345110/TB2AmKMkXXXXXbwXXXXXXXXXXXX_!!2663345110.jpg'>",No,,,0,/alfi/Isolierkanne/alfi_3521217100.jpg,,,,,"保温壶 Gusto, 液态铂 1,0l","保温壶 Gusto, 液态铂 1,0l","保温壶 Gusto, 液态铂 1,0l - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,保温壶-Gusto-液态铂-1-0l,,,Product Info Column,,49.95,0,"百年来每一只ALFI的产品都是拥有市场上的高品质的保证,资深熟练的工程设计师针对每道工序反复检验,确保产品100%符合保准,加上独特的抽真空双层玻璃内胆设计,经过1400摄氏度煅烧而成,保温保冷效力可以长时间维持. 采用高品质的材料及无毒可回收的环保材料是ALFI对消费者及环境的承诺.",,,/alfi/Isolierkanne/alfi_3521217100.jpg,,,,,1,2,/alfi/Isolierkanne/alfi_3521217100.jpg,,," Gusto,  1,0l"," Gusto,  1,0l.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Alfi_3521201100,base,Alfi Drinkbottle,simple,[Chinese Category]/休闲旅游/保温壶,base,,,,ALFI,,,,,Germany,,,,,,"<div class=""std"">
        <h1>保温壶 Gusto,鲜橙色 1,0L</h1><br>尺寸:1L，底面直径12.3cm，高度22cm<br><h3>Gusto特性:</h3>德国制造！<br>Alfi专利技术！br /&gt;保温时长：保热12小时，保冰24小时<br>符合人体工学，可单手操作！<br>时尚的外形设计<br>可用于洗碗机！<br>双层不锈钢瓶身，真空保温！<br>防震抗摔！<br>舒适实用的壶嘴，金属镀铬！    </div><img width='100%' src='https://img.alicdn.com/imgextra/i3/2663345110/TB2aqV_kXXXXXcBXpXXXXXXXXXX_!!2663345110.jpg'><img width='100%' src='https://img.alicdn.com/imgextra/i2/2663345110/TB2AmKMkXXXXXbwXXXXXXXXXXXX_!!2663345110.jpg'>",No,,,0,/alfi/Isolierkanne/01_949.jpg,,,,,"保温壶 Gusto, fresh 橙色 1,0L","保温壶 Gusto, fresh 橙色 1,0L","保温壶 Gusto, fresh 橙色 1,0L - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,保温壶-Gusto-fresh-橙色-1-0L,,,Product Info Column,,49.95,0,"百年来每一只ALFI的产品都是拥有市场上的高品质的保证,资深熟练的工程设计师针对每道工序反复检验,确保产品100%符合保准,加上独特的抽真空双层玻璃内胆设计,经过1400摄氏度煅烧而成,保温保冷效力可以长时间维持. 采用高品质的材料及无毒可回收的环保材料是ALFI对消费者及环境的承诺.",,,/alfi/Isolierkanne/01_949.jpg,,,,,1,2,/alfi/Isolierkanne/01_949.jpg,,," Gusto, fresh  1,0L"," Gusto, fresh  1,0L.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Alfi_3527205150,base,Alfi Drinkbottle,simple,[Chinese Category]/休闲旅游/保温壶,base,,,,ALFI,,,,,Germany,,,,,,"<div class=""std"">
        <h1>保温壶 Gusto TT 1,5L 经典款</h1><br>尺寸:1,5L<br><h3>Gusto TT特性:</h3>不锈钢亚光<br>设计师: Martin Hauenstein<br>高品质不锈钢<br>洗碗机可用，方便清洗<br>双层不锈钢内胆<br>时尚的外形设计<br>单手柄设计<br>手柄人造材料镀鉻<br>最佳的隔热功能12-24小时保温 （热水12小时，可达60度以上，冷水24小时保温）    </div><img width='100%' src='https://img.alicdn.com/imgextra/i3/2663345110/TB2aqV_kXXXXXcBXpXXXXXXXXXX_!!2663345110.jpg'><img width='100%' src='https://img.alicdn.com/imgextra/i2/2663345110/TB2AmKMkXXXXXbwXXXXXXXXXXXX_!!2663345110.jpg'>",No,,,0,/alfi/Isolierkanne/01_1064.jpg,,,,,"保温壶 Gusto TT 1,5L","保温壶 Gusto TT 1,5L","保温壶 Gusto TT 1,5L - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,保温壶-Gusto-TT-1-5L,,,Product Info Column,,69.95,0,"百年来每一只ALFI的产品都是拥有市场上的高品质的保证,资深熟练的工程设计师针对每道工序反复检验,确保产品100%符合保准,加上独特的抽真空双层玻璃内胆设计,经过1400摄氏度煅烧而成,保温保冷效力可以长时间维持. 采用高品质的材料及无毒可回收的环保材料是ALFI对消费者及环境的承诺.",,,/alfi/Isolierkanne/01_1064.jpg,,,,,1,2,/alfi/Isolierkanne/01_1064.jpg,,," Gusto TT 1,5L"," Gusto TT 1,5L.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Alfi_3527205100,base,Alfi Drinkbottle,simple,[Chinese Category]/休闲旅游/保温壶,base,,,,ALFI,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Alfi 保温壶 Gusto TT 1,0L 经典款</h1><br>尺寸:1L长*宽*高 110*220*160<br><h3>Gusto TT特性:</h3>不锈钢亚光<br>设计师: Martin Hauenstein<br>高品质不锈钢<br>洗碗机可用，方便清洗<br>双层不锈钢内胆<br>时尚的外形设计<br>单手柄设计<br>手柄人造材料镀鉻<br>最佳的隔热功能12-24小时保温 （热水12小时，可达60度以上，冷水24小时保温）                                                                                                                                                                 </div><img width='100%' src='https://img.alicdn.com/imgextra/i3/2663345110/TB2aqV_kXXXXXcBXpXXXXXXXXXX_!!2663345110.jpg'><img width='100%' src='https://img.alicdn.com/imgextra/i2/2663345110/TB2AmKMkXXXXXbwXXXXXXXXXXXX_!!2663345110.jpg'>",No,,,0,/alfi/Isolierkanne/01_959.jpg,,,,,"保温壶 Gusto TT 1,0L","保温壶 Gusto TT 1,0L","保温壶 Gusto TT 1,0L - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,保温壶-Gusto-TT-1-0L,,,Product Info Column,,64.95,0,"百年来每一只ALFI的产品都是拥有市场上的高品质的保证,资深熟练的工程设计师针对每道工序反复检验,确保产品100%符合保准,加上独特的抽真空双层玻璃内胆设计,经过1400摄氏度煅烧而成,保温保冷效力可以长时间维持. 采用高品质的材料及无毒可回收的环保材料是ALFI对消费者及环境的承诺.",,,/alfi/Isolierkanne/01_959.jpg,,,,,1,2,/alfi/Isolierkanne/01_959.jpg,,," Gusto TT 1,0L"," Gusto TT 1,0L.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Alfi_3527205060,base,Alfi Drinkbottle,simple,[Chinese Category]/休闲旅游/保温壶,base,,,,ALFI,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Alfi 保温壶 Gusto TT 0,6L 经典款</h1><br>尺寸:0,6L<br><h3>Gusto TT特性:</h3>不锈钢亚光<br>设计师: Martin Hauenstein<br>高品质不锈钢<br>洗碗机可用，方便清洗<br>双层不锈钢内胆<br>时尚的外形设计<br>单手柄设计<br>手柄人造材料镀鉻<br>最佳的隔热功能12-24小时保温 （热水12小时，可达60度以上，冷水24小时保温）                                                                                                                                                                                </div><img width='100%' src='https://img.alicdn.com/imgextra/i3/2663345110/TB2aqV_kXXXXXcBXpXXXXXXXXXX_!!2663345110.jpg'><img width='100%' src='https://img.alicdn.com/imgextra/i2/2663345110/TB2AmKMkXXXXXbwXXXXXXXXXXXX_!!2663345110.jpg'>",No,,,0,/alfi/Isolierkanne/01_1008.jpg,,,,,"保温壶 Gusto TT 0,6L","保温壶 Gusto TT 0,6L","保温壶 Gusto TT 0,6L - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,保温壶-Gusto-TT-0-6L,,,Product Info Column,,59.95,0,"百年来每一只ALFI的产品都是拥有市场上的高品质的保证,资深熟练的工程设计师针对每道工序反复检验,确保产品100%符合保准,加上独特的抽真空双层玻璃内胆设计,经过1400摄氏度煅烧而成,保温保冷效力可以长时间维持. 采用高品质的材料及无毒可回收的环保材料是ALFI对消费者及环境的承诺.",,,/alfi/Isolierkanne/01_1008.jpg,,,,,1,2,/alfi/Isolierkanne/01_1008.jpg,,," Gusto TT 0,6L"," Gusto TT 0,6L.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Alfi_0930216100,base,Alfi Drinkbottle,simple,[Chinese Category]/休闲旅游/保温壶,base,,,,ALFI,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Alfi 保温壶 Dan, 液态黄铜 1,0l</h1><br>尺寸:1,0升, 175x175x230 mm<br><h3>Dan特性:</h3>Made in Germany! 德国制造!<br>设计师: Ole Palsby<br>瓶身为精品不锈钢,多层喷漆.<br>便捷旋转开口<br>加大的开口设计，更易于茶漏、冰块的使用，也便于清洗；<br>无滴漏设计，操作更安全，并确保壶体、桌面干净卫生。 <br>符合人体工学的金属手柄，金属镀铬.<br>易于清洗的真空硬质玻璃内胆.<br>5年质保.<br>保温时长：12~24小时                                                                                                                     </div><img width='100%' src='https://img.alicdn.com/imgextra/i3/2663345110/TB2aqV_kXXXXXcBXpXXXXXXXXXX_!!2663345110.jpg'><img width='100%' src='https://img.alicdn.com/imgextra/i2/2663345110/TB2AmKMkXXXXXbwXXXXXXXXXXXX_!!2663345110.jpg'>",No,,,0,/alfi/Isolierkanne/alfi_0930216100-1.jpg,,,,,"保温壶 Dan, 液态黄铜 1,0l","保温壶 Dan, 液态黄铜 1,0l","保温壶 Dan, 液态黄铜 1,0l - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,保温壶-Dan-液态黄铜-1-0l,,,Product Info Column,,99.95,0,"百年来每一只ALFI的产品都是拥有市场上的高品质的保证,资深熟练的工程设计师针对每道工序反复检验,确保产品100%符合保准,加上独特的抽真空双层玻璃内胆设计,经过1400摄氏度煅烧而成,保温保冷效力可以长时间维持. 采用高品质的材料及无毒可回收的环保材料是ALFI对消费者及环境的承诺.",,,/alfi/Isolierkanne/alfi_0930216100-1.jpg,,,,,1,2,/alfi/Isolierkanne/alfi_0930216100-1.jpg,,," Dan,  1,0l"," Dan,  1,0l.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
