sku,_store,_attribute_set,_type,categories,name,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
WMF_0712786041,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,德国 WMF 奶锅 MINI 12cm,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 奶锅 MINI 12cm</h1><br>尺寸: 直径 12cm,<br>异国原料和国际性配方使得国内菜肴的种类越来越丰富。 烹饪是全球性的活动。 对""新款食物""的需求是永远无法得到满足的。 对食物营养的日益重视和期望值的提高不仅体现在原料上，还包括对""工具""的要求。 任何热爱烹饪的人士都盼望能拥有一套优质的锅具。<br>优质的锅是很稳固的且相对较重. 在使用时，锅底与炉灶平齐，握着手柄时手感舒适，且在烹饪过程中不会发烫。 锅盖密闭性强，可防止能量损失。<br>WMF锅具由Cromargan® 不锈钢制成。 这种优质的不锈钢易于保养，无色无味，即使在使用频率很高的情况下也能持久使用。<br>TransTherm® 通用型锅底的中心部分为铝制材料，可迅速吸收热量并使其均匀分布。 它适合于采用各种现代能源的各类炉灶，包括电磁炉。 WMF炉具的锅底在制造时采用曲面处理，这    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,,,,,WMF 奶锅 MINI 12cm                    ,WMF 奶锅 MINI 12cm                    ,WMF 奶锅 MINI 12cm                     - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,17.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF  MINI 12cm                    ,WMF  MINI 12cm                    .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0716786040,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,德国 WMF Stielkasserolle MINI 16cm m. Deckel,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 奶锅 MINI 16cm 含锅盖</h1><br>尺寸: 直径 16cm, 高 11.5cm, 1.2升<br>异国原料和国际性配方使得国内菜肴的种类越来越丰富。 烹饪是全球性的活动。 对""新款食物""的需求是永远无法得到满足的。 对食物营养的日益重视和期望值的提高不仅体现在原料上，还包括对""工具""的要求。 任何热爱烹饪的人士都盼望能拥有一套优质的锅具。<br>优质的锅是很稳固的且相对较重. 在使用时，锅底与炉灶平齐，握着手柄时手感舒适，且在烹饪过程中不会发烫。 锅盖密闭性强，可防止能量损失。<br>WMF锅具由Cromargan® 不锈钢制成。 这种优质的不锈钢易于保养，无色无味，即使在使用频率很高的情况下也能持久使用。<br>TransTherm® 通用型锅底的中心部分为铝制材料，可迅速吸收热量并使其均匀分布。 它适合于采用各种现代能源的各类炉灶，包括电磁炉。 W    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,,,,,Stielkasserolle MINI 16cm m. Deckel,Stielkasserolle MINI 16cm m. Deckel,Stielkasserolle MINI 16cm m. Deckel - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,24.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,Stielkasserolle MINI 16cm m. Deckel,Stielkasserolle MINI 16cm m. Deckel.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0718806041,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,德国 WMF Stiel平底锅 MINI 18cm,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF Stiel平底锅 MINI 18cm</h1><br>尺寸: 直径 18cm, 高 4cm, 0.9升<br>异国原料和国际性配方使得国内菜肴的种类越来越丰富。 烹饪是全球性的活动。 对""新款食物""的需求是永远无法得到满足的。 对食物营养的日益重视和期望值的提高不仅体现在原料上，还包括对""工具""的要求。 任何热爱烹饪的人士都盼望能拥有一套优质的锅具。<br>优质的锅是很稳固的且相对较重. 在使用时，锅底与炉灶平齐，握着手柄时手感舒适，且在烹饪过程中不会发烫。 锅盖密闭性强，可防止能量损失。<br>WMF锅具由Cromargan® 不锈钢制成。 这种优质的不锈钢易于保养，无色无味，即使在使用频率很高的情况下也能持久使用。<br>TransTherm® 通用型锅底的中心部分为铝制材料，可迅速吸收热量并使其均匀分布。 它适合于采用各种现代能源的各类炉灶，包括电磁炉。 WM    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,,,,,WMF Stiel平底锅 MINI 18cm              ,WMF Stiel平底锅 MINI 18cm              ,WMF Stiel平底锅 MINI 18cm               - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,24.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF Stiel MINI 18cm              ,WMF Stiel MINI 18cm              .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0792566040,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,德国 WMF 中式炒锅 Macao 4tlg. 含蒸屉,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 中式炒锅 Macao 4tlg. 含蒸屉</h1><br>尺寸：直径36cm<br>该中华炒锅包括不锈钢锅身、蒸屉、滤油架，玻璃盖子4件套。<br>此款锅应用福腾宝独有的不锈钢18/10，锅身为抛光设计，光洁亮丽。制热快、均匀，耐高温。物理不粘锅，煮食更健康。<br>适用于所有加热方式    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,,,,,WMF 中式炒锅 Macao 4tlg. 含蒸屉            ,WMF 中式炒锅 Macao 4tlg. 含蒸屉            ,WMF 中式炒锅 Macao 4tlg. 含蒸屉             - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,149.00,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF  Macao 4tlg.             ,WMF  Macao 4tlg.             .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0736156040,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,德国 WMF 奶锅 Diadem Plus 14cm,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 奶锅 Diadem Plus 14cm</h1><br>尺寸:高 12 cm,直径 14 cm, 容积 1.8升<br>异国原料和国际性配方使得国内菜肴的种类越来越丰富。 烹饪是全球性的活动。 对""新款食物""的需求是永远无法得到满足的。 对食物营养的日益重视和期望值的提高不仅体现在原料上，还包括对""工具""的要求。 任何热爱烹饪的人士都盼望能拥有一套优质的锅具。<br>优质的锅是很稳固的且相对较重. 在使用时，锅底与炉灶平齐，握着手柄时手感舒适，且在烹饪过程中不会发烫。 锅盖密闭性强，可防止能量损失。<br>WMF锅具由Cromargan® 不锈钢制成。 这种优质的不锈钢易于保养，无色无味，即使在使用频率很高的情况下也能持久使用。<br>TransTherm® 通用型锅底的中心部分为铝制材料，可迅速吸收热量并使其均匀分布。 它适合于采用各种现代能源的各类炉灶，包括电磁    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,,,,,WMF 奶锅 Diadem Plus 14cm             ,WMF 奶锅 Diadem Plus 14cm             ,WMF 奶锅 Diadem Plus 14cm              - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,54.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF  Diadem Plus 14cm             ,WMF  Diadem Plus 14cm             .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0726166030,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,德国 WMF 奶锅 Gourmet Plus 16cm 含锅盖,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 奶锅 Gourmet Plus 16cm 含锅盖</h1><br>尺寸: 16 cm, 容积 1.4升<br>异国原料和国际性配方使得国内菜肴的种类越来越丰富。 烹饪是全球性的活动。 对""新款食物""的需求是永远无法得到满足的。 对食物营养的日益重视和期望值的提高不仅体现在原料上，还包括对""工具""的要求。 任何热爱烹饪的人士都盼望能拥有一套优质的锅具。<br>优质的锅是很稳固的且相对较重. 在使用时，锅底与炉灶平齐，握着手柄时手感舒适，且在烹饪过程中不会发烫。 锅盖密闭性强，可防止能量损失。<br>WMF锅具由Cromargan® 不锈钢制成。 这种优质的不锈钢易于保养，无色无味，即使在使用频率很高的情况下也能持久使用。<br>TransTherm® 通用型锅底的中心部分为铝制材料，可迅速吸收热量并使其均匀分布。 它适合于采用各种现代能源的各类炉灶，包括电磁炉。 WM    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,,,,,WMF 奶锅 Gourmet Plus 16cm 含锅盖        ,WMF 奶锅 Gourmet Plus 16cm 含锅盖        ,WMF 奶锅 Gourmet Plus 16cm 含锅盖         - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,99.00,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF  Gourmet Plus 16cm         ,WMF  Gourmet Plus 16cm         .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0726206030,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,德国 WMF 奶锅 Gourmet Plus 20cm 含锅盖,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 奶锅 Gourmet Plus 20cm 含锅盖</h1><br>尺寸: 20 cm, 容积 2.5升<br>异国原料和国际性配方使得国内菜肴的种类越来越丰富。 烹饪是全球性的活动。 对""新款食物""的需求是永远无法得到满足的。 对食物营养的日益重视和期望值的提高不仅体现在原料上，还包括对""工具""的要求。 任何热爱烹饪的人士都盼望能拥有一套优质的锅具。<br>优质的锅是很稳固的且相对较重. 在使用时，锅底与炉灶平齐，握着手柄时手感舒适，且在烹饪过程中不会发烫。 锅盖密闭性强，可防止能量损失。<br>WMF锅具由Cromargan® 不锈钢制成。 这种优质的不锈钢易于保养，无色无味，即使在使用频率很高的情况下也能持久使用。<br>TransTherm® 通用型锅底的中心部分为铝制材料，可迅速吸收热量并使其均匀分布。 它适合于采用各种现代能源的各类炉灶，包括电磁炉。 WM    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,,,,,WMF 奶锅 Gourmet Plus 20cm 含锅盖        ,WMF 奶锅 Gourmet Plus 20cm 含锅盖        ,WMF 奶锅 Gourmet Plus 20cm 含锅盖         - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,109.00,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF  Gourmet Plus 20cm         ,WMF  Gourmet Plus 20cm         .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0712766040,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,德国 WMF 汤锅 MINI 12cm  含锅盖,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 汤锅 MINI 12cm  含锅盖</h1><br>尺寸: 直径 12cm, 高 10.5cm, 0.7升<br>异国原料和国际性配方使得国内菜肴的种类越来越丰富。 烹饪是全球性的活动。 对""新款食物""的需求是永远无法得到满足的。 对食物营养的日益重视和期望值的提高不仅体现在原料上，还包括对""工具""的要求。 任何热爱烹饪的人士都盼望能拥有一套优质的锅具。<br>优质的锅是很稳固的且相对较重. 在使用时，锅底与炉灶平齐，握着手柄时手感舒适，且在烹饪过程中不会发烫。 锅盖密闭性强，可防止能量损失。<br>WMF锅具由Cromargan® 不锈钢制成。 这种优质的不锈钢易于保养，无色无味，即使在使用频率很高的情况下也能持久使用。<br>TransTherm® 通用型锅底的中心部分为铝制材料，可迅速吸收热量并使其均匀分布。 它适合于采用各种现代能源的各类炉灶，包括电磁炉。     </div><img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,,,,,WMF 汤锅 MINI 12cm  含锅盖               ,WMF 汤锅 MINI 12cm  含锅盖               ,WMF 汤锅 MINI 12cm  含锅盖                - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,19.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF  MINI 12cm                 ,WMF  MINI 12cm                 .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0714766040,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,德国 WMF 汤锅 MINI 14cm 含锅盖,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 汤锅 MINI 14cm 含锅盖</h1><br>尺寸: 直径 14cm, 高 10.5cm, 0.9升<br>异国原料和国际性配方使得国内菜肴的种类越来越丰富。 烹饪是全球性的活动。 对""新款食物""的需求是永远无法得到满足的。 对食物营养的日益重视和期望值的提高不仅体现在原料上，还包括对""工具""的要求。 任何热爱烹饪的人士都盼望能拥有一套优质的锅具。<br>优质的锅是很稳固的且相对较重. 在使用时，锅底与炉灶平齐，握着手柄时手感舒适，且在烹饪过程中不会发烫。 锅盖密闭性强，可防止能量损失。<br>WMF锅具由Cromargan® 不锈钢制成。 这种优质的不锈钢易于保养，无色无味，即使在使用频率很高的情况下也能持久使用。<br>TransTherm® 通用型锅底的中心部分为铝制材料，可迅速吸收热量并使其均匀分布。 它适合于采用各种现代能源的各类炉灶，包括电磁炉。 W    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,,,,,WMF 汤锅 MINI 14cm 含锅盖                ,WMF 汤锅 MINI 14cm 含锅盖                ,WMF 汤锅 MINI 14cm 含锅盖                 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,22.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF  MINI 14cm                 ,WMF  MINI 14cm                 .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0716766040,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,德国 WMF 汤锅 MINI 16cm 含锅盖,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 汤锅 MINI 16cm 含锅盖</h1><br>尺寸: 直径 16cm, 高 12.5cm, 1.5升<br>异国原料和国际性配方使得国内菜肴的种类越来越丰富。 烹饪是全球性的活动。 对""新款食物""的需求是永远无法得到满足的。 对食物营养的日益重视和期望值的提高不仅体现在原料上，还包括对""工具""的要求。 任何热爱烹饪的人士都盼望能拥有一套优质的锅具。<br>优质的锅是很稳固的且相对较重. 在使用时，锅底与炉灶平齐，握着手柄时手感舒适，且在烹饪过程中不会发烫。 锅盖密闭性强，可防止能量损失。<br>WMF锅具由Cromargan® 不锈钢制成。 这种优质的不锈钢易于保养，无色无味，即使在使用频率很高的情况下也能持久使用。<br>TransTherm® 通用型锅底的中心部分为铝制材料，可迅速吸收热量并使其均匀分布。 它适合于采用各种现代能源的各类炉灶，包括电磁炉。 W    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-kochgeschirr.jpg'>",No,,,0,,,,,WMF 汤锅 MINI 16cm 含锅盖                ,WMF 汤锅 MINI 16cm 含锅盖                ,WMF 汤锅 MINI 16cm 含锅盖                 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,24.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF  MINI 16cm                 ,WMF  MINI 16cm                 .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
