sku,_store,_attribute_set,_type,categories,name,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
WMF_0641017920,base,Kitchen,simple,[Chinese Category]/厨房用具/红酒器皿/,德国 WMF 红酒瓶塞 VINO,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 红酒瓶塞 VINO</h1><br>品尝葡萄酒就如同进行一场仪式，来不得半点马虎，哪怕是开酒这一环节。 Vino系列为你提供专业的配件，无论在设计上还是其体现出的功能性都令人印象深刻。<br>材质：18/10不锈钢（食品级不锈钢）<br>厨房、酒吧的好帮手，品酒爱好者的必备<br>适用于保存没喝完的酒，避免接触空气挥发变质<br>采用食品级不锈钢                                                                                                                                                                                                                          </div><img width='100%' src='/media/wysiwyg/wmf/wmf-weinlove.jpg'>",No,,,0,,,,,WMF 红酒瓶塞 VINO                       ,WMF 红酒瓶塞 VINO                       ,WMF 红酒瓶塞 VINO                        - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,17.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF  VINO                       ,WMF  VINO                       .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1289656046,base,Kitchen,simple,[Chinese Category]/厨房用具/红酒器皿/,德国 WMF 拿铁Longdrink长勺 6件套,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 拿铁Longdrink长勺 6件套</h1><br>设计师:Köhler &amp; Wilms<br>尺寸: 22,4 x 18,6 x 2,8 cm<br>用Cromargan protect® 材料制成的餐具极其耐磨。 在经过深入研究之后，WMF对Cromargan® 进行了优化，这样的话与普通不锈钢相比这种材料更耐划痕。 高频率的使用和频繁用洗碗机进行清洁不会损伤Cromargan protect®材料。 经抛光处理的表面依旧闪亮，无光表面依然保持着柔光效果。 即使在使用多年之后，这款餐具看起来依然如新 — 几乎与刚购买之时一样好。<br>Cromargan protect® — 一项杰出的创新技术，已在国际上申请专利，仅有WMF能提供。经过简短测试之后，普通的不锈钢上出现清晰的痕迹和深刮痕。 而Cromargan protect®的表面仍然完美无缺，即使长时间的测试也是如此。<br><h3>Cromargan Protect的优势:</h3>耐划痕<br>极其耐磨<br>经抛光处理的表面依旧闪亮，无光表面依然保持着柔光效果。<br>防锈，可用洗碗机清洗<br>已在国际上申请专利 - 仅有WMF能提供<br>确保WMF Cromargan® 的所有性能<br>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  </div><img width='100%' src='/media/wysiwyg/wmf/wmf-weinlove.jpg'>",No,,,0,,,,,WMF 拿铁Longdrink长勺 6件套,WMF 拿铁Longdrink长勺 6件套,WMF 拿铁Longdrink长勺 6件套 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,29.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF Longdrink 6,WMF Longdrink 6.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0641026030,base,Kitchen,simple,[Chinese Category]/厨房用具/红酒器皿/,德国 WMF 亚光葡萄酒瓶塞,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 亚光葡萄酒瓶塞 </h1><br><h3>特点:</h3>只需置于酒瓶上，轻轻一按，即可将红酒密封! 需再次使用时，也只要轻轻一按，瓶塞就打开了。<br>高级医疗18/10不锈钢材质，对身体无害，酒塞经过亚光处理，更显高档。<br>高：4.7cm。     </div><img width='100%' src='/media/wysiwyg/wmf/wmf-weinlove.jpg'>",No,,,0,,,,,WMF 亚光葡萄酒瓶塞                         ,WMF 亚光葡萄酒瓶塞                         ,WMF 亚光葡萄酒瓶塞                          - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,9.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF                          ,WMF                          .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0640727920,base,Kitchen,simple,[Chinese Category]/厨房用具/红酒器皿/,德国 WMF 红酒瓶塞 VINO,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 红酒瓶塞 VINO</h1><br>尺寸: 长：5.8CM<br>材质：18/10不锈钢（食品级不锈钢）<br>厨房、酒吧的好帮手，品酒爱好者的必备<br>适用于保存没喝完的酒，避免接触空气挥发变质<br>采用食品级不锈钢    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-weinlove.jpg'>",No,,,0,,,,,WMF 红酒瓶塞 VINO                       ,WMF 红酒瓶塞 VINO                       ,WMF 红酒瓶塞 VINO                        - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,9.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF  VINO                       ,WMF  VINO                       .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0640717920,base,Kitchen,simple,[Chinese Category]/厨房用具/红酒器皿/,德国 WMF 两档葡萄酒泵 VINO,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 两档葡萄酒泵 VINO</h1><br>尺寸: 长15.8CM<br>含: 1x酒泵，2x密封塞<br>设计师: Studio Wagner<br>葡萄酒真空泵让已开瓶的葡萄酒依然保持原有的品质    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-weinlove.jpg'>",No,,,0,,,,,WMF 两档葡萄酒泵 VINO                     ,WMF 两档葡萄酒泵 VINO                     ,WMF 两档葡萄酒泵 VINO                      - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,29.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF  VINO                     ,WMF  VINO                     .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0640656030,base,Kitchen,simple,[Chinese Category]/厨房用具/红酒器皿/,德国 WMF 开瓶器 loft Bar 14cm,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 开瓶器 loft Bar 14cm</h1><br>尺寸: 长 14.5cm<br>材质：18/10不锈钢<br>用Cromargan protect® 材料制成的餐具极其耐磨。 在经过深入研究之后，WMF对Cromargan® 进行了优化，这样的话与普通不锈钢相比这种材料更耐划痕。 高频率的使用和频繁用洗碗机进行清洁不会损伤Cromargan protect®材料。 经抛光处理的表面依旧闪亮，无光表面依然保持着柔光效果。 即使在使用多年之后，这款餐具看起来依然如新 — 几乎与刚购买之时一样好。<br>Cromargan protect® — 一项杰出的创新技术，已在国际上申请专利，仅有WMF能提供。经过简短测试之后，普通的不锈钢上出现清晰的痕迹和深刮痕。 而Cromargan protect®的表面仍然完美无缺，即使长时间的测试也是如此。<br><h3>Croma    </h3></div><img width='100%' src='/media/wysiwyg/wmf/wmf-weinlove.jpg'>",No,,,0,,,,,WMF 开瓶器 loft Bar 14cm               ,WMF 开瓶器 loft Bar 14cm               ,WMF 开瓶器 loft Bar 14cm                - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,12.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF  loft Bar 14cm               ,WMF  loft Bar 14cm               .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0617926040,base,Kitchen,simple,[Chinese Category]/厨房用具/红酒器皿/,德国 WMF 碎冰机 loft Bar,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF 碎冰机 loft Bar</h1><br>尺寸: 高23cm, 直径 14.5cm<br>设计师: Heinrich Fiedeler Industrial Design<br>精致造型，不止为追求感官享受，同时为高尚品味生活而不懈追求。<br>用Cromargan protect® 材料制成的餐具极其耐磨。 在经过深入研究之后，WMF对Cromargan® 进行了优化，这样的话与普通不锈钢相比这种材料更耐划痕。 高频率的使用和频繁用洗碗机进行清洁不会损伤Cromargan protect®材料。 经抛光处理的表面依旧闪亮，无光表面依然保持着柔光效果。 即使在使用多年之后，这款餐具看起来依然如新 — 几乎与刚购买之时一样好。<br>Cromargan protect® — 一项杰出的创新技术，已在国际上申请专利，仅有WMF能提供。经过简短测试之后，普通的不锈钢上出现    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-weinlove.jpg'>",No,,,0,,,,,碎冰机 loft Bar,碎冰机 loft Bar,碎冰机 loft Bar - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,79.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,, loft Bar, loft Bar.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0613556030,base,Kitchen,simple,[Chinese Category]/厨房用具/红酒器皿/,德国 WMF Boston 鸡尾酒调酒器 2件套 Loft,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF Boston 鸡尾酒调酒器 2件套 Loft</h1><br>内含: 带计量功能玻璃杯,不锈钢调酒杯 <br>设计师: Heinrich Fiedeler &amp; Michael Raasch<br>用Cromargan protect® 材料制成的餐具极其耐磨。 在经过深入研究之后，WMF对Cromargan® 进行了优化，这样的话与普通不锈钢相比这种材料更耐划痕。 高频率的使用和频繁用洗碗机进行清洁不会损伤Cromargan protect®材料。 经抛光处理的表面依旧闪亮，无光表面依然保持着柔光效果。 即使在使用多年之后，这款餐具看起来依然如新 — 几乎与刚购买之时一样好。<br>Cromargan protect® — 一项杰出的创新技术，已在国际上申请专利，仅有WMF能提供。经过简短测试之后，普通的不锈钢上出现清晰的痕迹和深刮痕。 而Cromargan prote    </div><img width='100%' src='/media/wysiwyg/wmf/wmf-weinlove.jpg'>",No,,,0,,,,,WMF Boston 鸡尾酒调酒器 2件套 Loft          ,WMF Boston 鸡尾酒调酒器 2件套 Loft          ,WMF Boston 鸡尾酒调酒器 2件套 Loft           - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,39.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF Boston  2 Loft          ,WMF Boston  2 Loft          .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0603519990,base,Kitchen,simple,[Chinese Category]/厨房用具/红酒器皿/,德国 WMF Flachmann 曼哈顿 20cl 酒壶,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF Flachmann 曼哈顿 20cl 酒壶</h1><br>尺寸:宽  10厘米；高  13厘米；容积： 200毫升<br>凭借高品质的做工及材质，我们的产品及其所带来的用户感受，也能够使最专业的调酒师们心悦臣服。 除此之外，产品的设计团队Akantus用近乎苛刻的职业素养，为用户们诠释了完美的细节体现及产品美学。<br>外表光感柔和，内在坚硬抗腐，代表当今最尖端的不锈钢标准。                                                                                                                                                                                                              </div><img width='100%' src='/media/wysiwyg/wmf/wmf-weinlove.jpg'>",No,,,0,,,,,WMF Flachmann 曼哈顿 20cl 酒壶           ,WMF Flachmann 曼哈顿 20cl 酒壶           ,WMF Flachmann 曼哈顿 20cl 酒壶            - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,27.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,WMF Flachmann  20cl            ,WMF Flachmann  20cl            .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0603489990,base,Kitchen,simple,[Chinese Category]/厨房用具/红酒器皿/,德国 WMF Flachmann Manhatten 12cl 酒壶,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF Flachmann 曼哈顿 12cl 酒壶</h1><br>尺寸:宽  7厘米；高  12厘米；容积： 120毫升<br>凭借高品质的做工及材质，我们的产品及其所带来的用户感受，也能够使最专业的调酒师们心悦臣服。 除此之外，产品的设计团队Akantus用近乎苛刻的职业素养，为用户们诠释了完美的细节体现及产品美学。<br>外表光感柔和，内在坚硬抗腐，代表当今最尖端的不锈钢标准。                                                                                                                                                                                                               </div><img width='100%' src='/media/wysiwyg/wmf/wmf-weinlove.jpg'>",No,,,0,,,,,Flachmann Manhatten 12cl 酒壶,Flachmann Manhatten 12cl 酒壶,Flachmann Manhatten 12cl 酒壶 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,22.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,,,,,1,2,,,Flachmann Manhatten 12cl ,Flachmann Manhatten 12cl .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
