sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
de-wmf_0644406040,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Reibe Gourmet</h1>Diese massiven Reibe aus Cromargan, Edelstahl Rostfrei 18/10 hat einen stabilen Rohrgriff. Der Edelstahl macht die Reibe äußerst formstabil, geruchs- und geschmacksneutral und sie kann komplett in der Spülmaschine hygienisch gereinigt werden. Sehr praktisch und vielseitig sind die vier Einsätze für Gurken, Käse, Rohkost und Gemüse.<br>Der richtige Küchenhelfer erleichtert nicht nur die Vorbereitung von Speisen. Gute Reiben und Küchenhobel erhalten den Nährwert und natürliche Aromastoffe. Das WMF Sortiment enthält tolle Reiben zum bequemen Hobeln von Obst und Gemüse.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br><h3>Maße </h3>Länge x Breite in cm: 12 x 18    </div>",No,,,0,/wmf/kitchen-help/reibe-01_2101.jpg,,,,,Reibe,Reibe,Reibe - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Reibe,,,Product Info Column,,"29,95",0,,,,/wmf/kitchen-help/reibe-01_2101.jpg,,,,,1,2,/wmf/kitchen-help/reibe-01_2101.jpg,,,Reibe,Reibe.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1870039990,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wmf/kitchen-help/-gemusemesser-8-cm-wmf_1870039990_01.jpg,,,,, Gemüsemesser 8 cm, Gemüsemesser 8 cm, Gemüsemesser 8 cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,-Gemusemesser-8-cm,,,Product Info Column,,"4,95",0,,,,/wmf/kitchen-help/-gemusemesser-8-cm-wmf_1870039990_01.jpg,,,,,1,2,/wmf/kitchen-help/-gemusemesser-8-cm-wmf_1870039990_01.jpg,,, Gemsemesser 8 cm, Gemsemesser 8 cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1874426030,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Rührblitz 21 cm Profi Plus</h1>Der Rührblitz ist die Innovation unter den Schneebesen. Durch die vielen schwingenden Kugeln bringen Sie sehr viel Luft unter die Masse garantiert ohne ""Klümpchen"". Das Anrühren von Suppen oder Aufschlagen von Cremes gelingt in Sekundenschnelle durch die Eigenschwingungen der Kugeldrähte. Die Drähte erreichen auch die Ecken von Töpfen und Schüsseln und durch die große Aufschlagfläche kann am Topfboden nichts anhaften. Zwischen den Drähten bleibt nichts hängen, dadurch ist der Rührblitz leicht zu reinigen und hygienisch.<br>Hinter ""Profi Plus"" stehen über 100 verschiedene Küchenhelfer, die selbst höchsten Ansprüchen von Profiköchen gerecht werden. Die schwere Ausführung in hochwertigem Cromargan®, Edelstahl Rostfrei 18/10 ist absolut stabil und langlebig, wasserdicht, garantiert spülmaschinenfest - einfach unverwüstlich. Das anspruchsvolle und zugleich zeitlose Design passt in jede moderne Küche.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert/ matt<br><h3>Maße </h3>Länge in cm: 21    </div>",No,,,0,/wmf/kitchen-help/miniruhrblitz-profi-plus-21cm-01_1853.jpg,,,,,Minirührblitz PROFI PLUS 21cm,Minirührblitz PROFI PLUS 21cm,Minirührblitz PROFI PLUS 21cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Miniruhrblitz-PROFI-PLUS-21cm,,,Product Info Column,,"14,95",0,,,,/wmf/kitchen-help/miniruhrblitz-profi-plus-21cm-01_1853.jpg,,,,,1,2,/wmf/kitchen-help/miniruhrblitz-profi-plus-21cm-01_1853.jpg,,,Minirhrblitz PROFI PLUS 21cm,Minirhrblitz PROFI PLUS 21cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1872916030,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF Knoblauchpresse Profi Plus</h1>Die Knoblauchpresse von Profi Plus mit einer Aufhängeöse sorgt für einen zweckmäßigen Umgang mit Knoblauchzehen. Einfach die Knoblauchzehe schälen, in die Knoblauchpresse legen und durchdrücken. So bleiben nicht nur Ihre Hände sauber sondern der Knoblauch landet dort, wo er hingehört. Durch das Pressen setzt der Knoblauch ein Enzym frei, welches sich laut Studien, positiv auf das menschliche Herz-Kreislauf-System auswirkt. So sparen Sie nicht nur Zeit bei der Zubereitung, sondern tun auch noch etwas für Ihre Gesundheit.<br>Hinter ""Profi Plus"" stehen über 100 verschiedene Küchenhelfer, die selbst höchsten Ansprüchen von Profiköchen gerecht werden. Die schwere Ausführung in hochwertigem Cromargan®, Edelstahl Rostfrei 18/10 ist absolut stabil und langlebig, wasserdicht, garantiert spülmaschinenfest - einfach unverwüstlich. Das anspruchsvolle und zugleich zeitlose Design passt in jede moderne Küche.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert/ matt<br><h3>Maße</h3> Länge in cm: 17.5    </div>",No,,,0,/wmf/kitchen-help/knoblauchpresse-profi-plus-01_1864.jpg,,,,,Knoblauchpresse PROFI PLUS,Knoblauchpresse PROFI PLUS,Knoblauchpresse PROFI PLUS - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Knoblauchpresse-PROFI-PLUS,,,Product Info Column,,"39,95",0,,,,/wmf/kitchen-help/knoblauchpresse-profi-plus-01_1864.jpg,,,,,1,2,/wmf/kitchen-help/knoblauchpresse-profi-plus-01_1864.jpg,,,Knoblauchpresse PROFI PLUS,Knoblauchpresse PROFI PLUS.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1871636030,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Knoblauchpresse Profi Plus</h1>Die Knoblauchpresse sorgt für einen zweckmäßigen Umgang mit Knoblauchzehen. Einfach die Knoblauchzehe schälen, in die Knoblauchpresse legen und durchdrücken. So bleiben Ihre Hände sauber und der Knoblauch landet dort, wo er hingehört. Durch das Pressen mit einer Knoblauchpresse, setzt der Knoblauch ein Enzym frei, welches sich laut Studien, positiv auf das menschliche Herz-Kreislauf-System auswirkt. So sparen Sie nicht nur Zeit bei der Zubereitung, sondern tun auch noch etwas für Ihre Gesundheit.<br>Hinter ""Profi Plus"" stehen über 100 verschiedene Küchenhelfer, die selbst höchsten Ansprüchen von Profiköchen gerecht werden. Die schwere Ausführung in hochwertigem Cromargan®, Edelstahl Rostfrei 18/10 ist absolut stabil und langlebig, wasserdicht, garantiert spülmaschinenfest - einfach unverwüstlich. Das anspruchsvolle und zugleich zeitlose Design passt in jede moderne Küche.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert/ matt<br><h3>Maße </h3>Länge in cm: 17.5    </div>",No,,,0,/wmf/kitchen-help/knoblauchpresse-profi-plus-01_1877.jpg,,,,,Knoblauchpresse PROFI PLUS,Knoblauchpresse PROFI PLUS,Knoblauchpresse PROFI PLUS - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Knoblauchpresse-PROFI-PLUS,,,Product Info Column,,"29,95",0,,,,/wmf/kitchen-help/knoblauchpresse-profi-plus-01_1877.jpg,,,,,1,2,/wmf/kitchen-help/knoblauchpresse-profi-plus-01_1877.jpg,,,Knoblauchpresse PROFI PLUS,Knoblauchpresse PROFI PLUS.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1871066030,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Fleischgabel Profi Plus</h1>Fleischgabel aus der Serie Profi Plus mit Aufhängung. Die Fleischgabel dient zum Aufnehmen oder Wenden von Fleischstücken, zum Halten beim Tranchieren und zum Prüfen des Garzustands. Die langen, konisch geschmiedeten Zinken dringen leicht in das Fleisch ein und vermeiden das Ausbluten.<br>Die Fleischgabel dient zum Aufnehmen oder Wenden von Fleischstücken, zum Halten beim Tranchieren und zum Prüfen des Garzustands. Die langen, konisch geschmiedeten Zinken dringen leicht in das Fleisch ein und vermeiden das Ausbluten.<br>Hinter ""Profi Plus"" stehen über 100 verschiedene Küchenhelfer, die selbst höchsten Ansprüchen von Profiköchen gerecht werden. Die schwere Ausführung in hochwertigem Cromargan®, Edelstahl Rostfrei 18/10 ist absolut stabil und langlebig, wasserdicht, garantiert spülmaschinenfest - einfach unverwüstlich. Das anspruchsvolle und zugleich zeitlose Design passt in jede moderne Küche.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>poliert/ matt<br><h3>Maße </h3>Länge in cm: 32    </div>",No,,,0,/wmf/kitchen-help/fleischgabel-profi-plus-01_1856.jpg,,,,,Fleischgabel PROFI PLUS,Fleischgabel PROFI PLUS,Fleischgabel PROFI PLUS - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Fleischgabel-PROFI-PLUS,,,Product Info Column,,"19,95",0,,,,/wmf/kitchen-help/fleischgabel-profi-plus-01_1856.jpg,,,,,1,2,/wmf/kitchen-help/fleischgabel-profi-plus-01_1856.jpg,,,Fleischgabel PROFI PLUS,Fleischgabel PROFI PLUS.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0799766040,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Kurzzeitmesser Premium One</h1>Ein Kurzzeitmesser im Design der erfolgreichen Kochgeschirrserie Premium One für das perfekte Timing von Mahlzeiten.<br><h3>Material </h3>Kunststoff<br><h3>Eigenschaften</h3> Einstellzeit bis zu 60 Minuten.    </div>",No,,,0,/wmf/kitchen-help/wmf-kurzzeitmesser-premium-one-01_2041.jpg,,,,,WMF Kurzzeitmesser Premium One,WMF Kurzzeitmesser Premium One,WMF Kurzzeitmesser Premium One - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,WMF-Kurzzeitmesser-Premium-One,,,Product Info Column,,"9,95",0,,,,/wmf/kitchen-help/wmf-kurzzeitmesser-premium-one-01_2041.jpg,,,,,1,2,/wmf/kitchen-help/wmf-kurzzeitmesser-premium-one-01_2041.jpg,,,WMF Kurzzeitmesser Premium One,WMF Kurzzeitmesser Premium One.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0799756040,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Kurzzeitmesser</h1><h3>Material </h3>Kunststoff<br><h3>Eigenschaften </h3>Einstellzeit bis zu 60 Minuten.    </div>",No,,,0,/wmf/kitchen-help/kurzzeitmesser-perfect-plus-wmf_0799756040.jpg,,,,,Kurzzeitmesser PERFECT PLUS,Kurzzeitmesser PERFECT PLUS,Kurzzeitmesser PERFECT PLUS - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kurzzeitmesser-PERFECT-PLUS,,,Product Info Column,,"9,95",0,,,,/wmf/kitchen-help/kurzzeitmesser-perfect-plus-wmf_0799756040.jpg,,,,,1,2,/wmf/kitchen-help/kurzzeitmesser-perfect-plus-wmf_0799756040.jpg,,,Kurzzeitmesser PERFECT PLUS,Kurzzeitmesser PERFECT PLUS.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0682256030,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Zitronenpresse Clever &amp; More</h1>Einzelne Zitronenschnitze leicht einzulegen, einfaches Ausdrücken.<br>Viele praktische Produkte des täglichen Bedarfs mit cleverer und innovativer Funktion! Ebenso passende und formschöne Trinkgläser. Alle Artikel sind in einem zeitlos modernen Design!<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>matt<br><h3>Produkteigenschaften </h3>spülmaschinenfest    </div>",No,,,0,/wmf/kitchen-help/zitronenpresse-clever-&-more-01_2030.jpg,,,,,Zitronenpresse CLEVER & MORE,Zitronenpresse CLEVER & MORE,Zitronenpresse CLEVER & MORE - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Zitronenpresse-CLEVER-&-MORE,,,Product Info Column,,"9,95",0,,,,/wmf/kitchen-help/zitronenpresse-clever-&-more-01_2030.jpg,,,,,1,2,/wmf/kitchen-help/zitronenpresse-clever-&-more-01_2030.jpg,,,Zitronenpresse CLEVER & MORE,Zitronenpresse CLEVER & MORE.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_0654996020,base,Kitchen,simple,[Default Category]/Küchenwaren/Backen,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Frischhalte- und Serviersystem Ø 13 cm Top Serve, mit Abtropfgitter</h1>Das vielseitige Frischhalte- und Serviersystem „Top Serve“ von WMF ist aus der modernen Haushaltsführung nicht mehr wegzudenken. Die Kollektion wird nun mit einem integrierten Abtropfgitter erweitert – für noch mehr Frische und noch mehr Genuss.<br>So bleiben Lebensmittel länger appetitlich frisch, denn der Inhalt in den Top Serve Schalen ist luftdicht verschlossen. In den Glasschalen können Sie Käse, Salate, Vorspeisen oder Desserts anrichten und servieren. Nach dem Essen werden Sie verschlossen und im Kühlschrank aufbewahrt. Dose und Deckel aus Cromargan® sind hygienisch, nehmen keinen Geschmack an und können in der Spülmaschine gereinigt werden. Es gibt verschieden haushaltsgerechte Größen in rund und eckig, so finden Sie immer die richtige Schalen zum Aufbewahren und Servieren zugleich.<br><h3>Material </h3>Cromargan® Edelstahl Rostfrei 18/10<br>Glas<br>Ventil und Dichtung: Silikon<br>poliert<br><h3>Maße </h3>Durchmesser in cm: 13<br>Höhe in cm: 10.00<br><h3>Eigenschaften </h3>Das Gitter verhindert den Kontakt der Lebensmittel mit Kondensflüssigkeit am Glasboden und hält Lebensmittel dadurch länger appetitlich frisch.    </div>",No,,,0,/wmf/kitchen-help/schale-top-serve-13cm-h-10cm-m-einlag-wmf_0654996020--3.jpg,,,,,Schale TOP SERVE 13cm H 10CM M. EINLAG,Schale TOP SERVE 13cm H 10CM M. EINLAG,Schale TOP SERVE 13cm H 10CM M. EINLAG - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Schale-TOP-SERVE-13cm-H-10CM-M-EINLAG,,,Product Info Column,,"34,95",0,,,,/wmf/kitchen-help/schale-top-serve-13cm-h-10cm-m-einlag-wmf_0654996020--3.jpg,,,,,1,2,/wmf/kitchen-help/schale-top-serve-13cm-h-10cm-m-einlag-wmf_0654996020--3.jpg,,,Schale TOP SERVE 13cm H 10CM M. EINLAG,Schale TOP SERVE 13cm H 10CM M. EINLAG.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
