sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
zh-delonghi-ecam44660b-black,base,Electric,simple,[Chinese Category]/家用小电器/咖啡机,base,,,,De Longhi,,,,,Germany,,,,,,"产品细节：1、静音型内置咖啡豆研磨器；2、倾斜式控制面板；3、自动卡布基诺系统独立的牛奶容器；4、咖啡渣盒已满提示；5、暖杯功能；6、记忆功能；7、一次萃取可制作两杯咖啡可调节咖啡流出口的高度；8、可拆卸式萃取机芯；9、可拆卸式滴水盘。产品特点：1、多彩不锈钢设计，完美贴合个性审美需求；2、超静音研磨器：内置静音型咖啡豆研磨器，具有13档研磨程度设置；3、豪华液晶屏幕：简单易操作，水箱缺水指示，斗槽缺豆指示；双重奶泡制作系统：是咖啡的口感更细腻。不仅可以加热牛奶，还可以融合牛奶蒸汽和空气，产生丰富细腻牛奶泡沫，制作出口感极佳的意式卡布基诺咖啡。产品尺寸：26*36*46；重量：11KG；泵压力：15。<img  width='100%'  src='https://img.alicdn.com/imgextra/i1/425389924/TB2UszAkXXXXXasXpXXXXXXXXXX_!!425389924.jpg' />,<img  width='100%'  src='https://img.alicdn.com/imgextra/i1/425389924/TB2QZHokXXXXXaWXpXXXXXXXXXX_!!425389924.jpg' />,<img  width='100%'  src='https://img.alicdn.com/imgextra/i4/425389924/TB2CaHQkXXXXXbKXXXXXXXXXXXX_!!425389924.jpg' />",No,,,0,/delonghi/delonghi-ecam44660b-black.jpg,,,,,"欢迎前来「德藝緻」德國精品百貨，选购Delonghi/德龙 ECAM44.660B 意式全自动咖啡机,想了解更多Delonghi/德龙 ECAM44.660B 意式全自动咖啡机，请进入「德藝緻」德國精品百貨，任您选购。","「德藝緻」德國精品百貨, Delonghi/德龙 ECAM44.660B 意式全自动咖啡机",Delonghi/德龙 ECAM44.660B 意式全自动咖啡机-「德藝緻」德國精品百貨,,,Use config,Use config,De Longhi德龙ECAM44.660.B全自动咖啡机,,,Product Info Column,,1688.88,0,1、多彩不锈钢设计，完美贴合个性审美需求；2、超静音研磨器，具有13档研磨程度设置；3、豪华液晶屏幕。,,,/delonghi/delonghi-ecam44660b-black.jpg,,,,,1,2,/delonghi/delonghi-ecam44660b-black.jpg,,,delonghi-ecam44660b-black,delonghi-ecam44660b-black.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
zh-delonghiETAM29.510.SB,base,Electric,simple,[Chinese Category]/家用小电器/咖啡机,base,,,,De Longhi,,,,,Germany,,,,,,"浪漫意式咖啡享受,专属咖啡制作功能按键，最新专业萃取系统，为您呈现完美超浓缩双杯量意式浓缩咖啡！产品特点：1、触摸式控制面板，拥有创新设计的背光软键控制面板，触控感强，操作简便；2、两杯咖啡一次萃取；3、手动卡布基诺系统：手动卡布基诺系统融合了蒸汽、空气及牛奶，能打出丰富的牛奶泡沫，制作出一杯完美的卡布基诺咖啡；4、可拆卸咖啡萃取器：采用先进技术，外形紧凑小巧，有效保证所萃取咖啡的完美温度，可拆卸式水洗设计，令整个清洁的过程更为方便，同时增强了咖啡机的耐用性和可靠性。产品尺寸：19.5*47.7*34；重量：9.1KG；泵压力:15; 咖啡豆仓容积：150克。<img  width='100%'  src='https://img.alicdn.com/imgextra/i4/355123897/TB2_PT8dVXXXXaaXXXXXXXXXXXX-355123897.jpg' />, <img  width='100%'  src='https://img.alicdn.com/imgextra/i2/355123897/TB2VsTTdVXXXXcZXXXXXXXXXXXX-355123897.jpg' />, <img  width='100%'  src='https://img.alicdn.com/imgextra/i2/287136534/TB2NHakkXXXXXX8XXXXXXXXXXXX_!!287136534.jpg' />",No,,,0,/delonghi/delonghiETAM29.510.SB.jpg,,,,,"欢迎前来「德藝緻」德國精品百貨，选购De Longhi德龙ETAM29.510.SB全自动咖啡机,想了解更多De Longhi德龙ETAM29.510.SB全自动咖啡机，请进入「德藝緻」德國精品百貨，任您选购。","「德藝緻」德國精品百貨, De Longhi德龙ETAM29.510.SB全自动咖啡机",De Longhi德龙ETAM29.510.SB全自动咖啡机-「德藝緻」德國精品百貨,,,Use config,Use config,De Longhi德龙ETAM29.510.SB全自动咖啡机,,,Product Info Column,,1339,0,触摸式控制面板；两杯咖啡一次萃取；手动卡布基诺系统；可拆卸咖啡萃取器。,,,/delonghi/delonghiETAM29.510.SB.jpg,,,,,1,2,/delonghi/delonghiETAM29.510.SB.jpg,,,delonghiETAM29.510.SB,delonghiETAM29.510.SB.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
zh-delonghiETAM29510-B,base,Electric,simple,[Chinese Category]/家用小电器/咖啡机,base,,,,De Longhi,,,,,Germany,,,,,,"浪漫意式咖啡享受,专属咖啡制作功能按键，最新专业萃取系统，为您呈现完美超浓缩双杯量意式浓缩咖啡！产品特点：1、触摸式控制面板，拥有创新设计的背光软键控制面板，触控感强，操作简便；2、两杯咖啡一次萃取；3、手动卡布基诺系统：手动卡布基诺系统融合了蒸汽、空气及牛奶，能打出丰富的牛奶泡沫，制作出一杯完美的卡布基诺咖啡；4、可拆卸咖啡萃取器：采用先进技术，外形紧凑小巧，有效保证所萃取咖啡的完美温度，可拆卸式水洗设计，令整个清洁的过程更为方便，同时增强了咖啡机的耐用性和可靠性。产品尺寸：19.5*47.7*34；重量：9.1KG；泵压力:15; 咖啡豆仓容积：150克。<img  width='100%'  src='https://img.alicdn.com/imgextra/i3/345244248/TB2IfWakpXXXXbAXpXXXXXXXXXX_!!345244248.jpg' />,<img  width='100%'  src='https://img.alicdn.com/imgextra/i3/345244248/TB2te5DkpXXXXazXXXXXXXXXXXX_!!345244248.jpg' />",No,,,0,/delonghi/delonghiETAM29510-B.jpg,,,,,"欢迎前来「德藝緻」德國精品百貨，选购De Longhi德龙ETAM29.510.B全自动咖啡机,想了解更多De Longhi德龙ETAM29.510.B全自动咖啡机，请进入「德藝緻」德國精品百貨，任您选购。","「德藝緻」德國精品百貨, De Longhi德龙ETAM29.510.B全自动咖啡机",De Longhi德龙ETAM29.510.B全自动咖啡机-「德藝緻」德國精品百貨,,,Use config,Use config,De Longhi德龙ETAM29.510.B全自动咖啡机,,,Product Info Column,,1288,0,触摸式控制面板；两杯咖啡一次萃取；手动卡布基诺系统；可拆卸咖啡萃取器。,,,/delonghi/delonghiETAM29510-B.jpg,,,,,1,2,/delonghi/delonghiETAM29510-B.jpg,,,delonghiETAM29510-B,delonghiETAM29510-B.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
zh-delonghi-ETAM_29620SB_SX_hero,base,Electric,simple,[Chinese Category]/家用小电器/咖啡机,base,,,,De Longhi,,,,,Germany,,,,,,产品特点：1、传感器面板与一键式操作，文本显示(可调16种语言）操作方便。2、额外的新创新的“Doppop”功能；3、专业牛奶发泡喷嘴，调整牛奶泡沫的一致性；4、可移动的易护理组：卫生、易清洗；5、温杯功能；6、咖啡洁容器指示器14杯；7、170克豆容器香气保护盖，适合于咖啡豆和咖啡粉。8、额外的软圆锥状毛刺磨磨（13级）：研磨程度对都可以单独调整；五种预设的咖啡浓度从轻微到非常强。产品尺寸：19.5*47.3*32.5；重量：9.1KG；泵压力：15；咖啡豆仓容积：170克。,No,,,0,/delonghi/delonghi-ETAM_29620SB_SX_hero.jpg,,,,,"欢迎前来「德藝緻」德國精品百貨，选购De Longhi德龙ETAM29.620.SB全自动咖啡机,想了解更多De Longhi德龙ETAM29.620.SB全自动咖啡机，请进入「德藝緻」德國精品百貨，任您选购。","「德藝緻」德國精品百貨, De Longhi德龙ETAM29.620.SB全自动咖啡机",De Longhi德龙ETAM29.620.SB全自动咖啡机-「德藝緻」德國精品百貨,,,Use config,Use config,De Longhi德龙ETAM29.620.SB全自动咖啡机,,,Product Info Column,,918,0,专业设计咖啡萃取器；两杯咖啡一次萃取；一体式的清洁功能；便携式牛奶容器。,,,/delonghi/delonghi-ETAM_29620SB_SX_hero.jpg,,,,,1,2,/delonghi/delonghi-ETAM_29620SB_SX_hero.jpg,,,delonghi-ETAM_29620SB_SX_hero,delonghi-ETAM_29620SB_SX_hero.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
zh-delonghi-ECAM45326S,base,Electric,simple,[Chinese Category]/家用小电器/咖啡机,base,,,,De Longhi,,,,,Germany,,,,,,"产品特点：1、通过符合人体工程学倾斜设置，传感器面板与一个按钮直接选择。个别编程功能“我的咖啡”；2、“长咖啡”功能传统早餐咖啡；3、两行文本显示；专业奶沫器与Varioregler准备的卡布奇诺、拿铁玛奇朵或热牛奶；4、可拆卸的低维护组：卫生，易于清洁。5、集成德龙水过滤器；Vorbruh-香气-系统的完美咖啡享受；400g咖啡豆容器带香气保护盖；6、适合咖啡豆和咖啡粉；额外软锥形毛刺磨床（13阶段），磨程度 都可以单独调整；7、五个预设的咖啡优势从非常温和到非常强；可移动1.9L水箱；热水可调节的咖啡温度从低到高；8、完全自动冲洗和除垢方案，高度可调咖啡喷为达142毫米高；可移动滴水盘与水位指示器。产品尺寸：26*47*36；重量：11KG；泵压力：15；咖啡豆容积：400克。<img  width='100%'  src='https://img.alicdn.com/imgextra/i2/151860970/TB2e4r1jVXXXXaWXpXXXXXXXXXX_!!151860970.jpg' />,<img  width='100%'  src='https://img.alicdn.com/imgextra/i3/151860970/TB20JssjVXXXXbkXXXXXXXXXXXX_!!151860970.jpg' />,<img  width='100%'  src='https://img.alicdn.com/imgextra/i1/151860970/TB2CnfYjVXXXXcAXpXXXXXXXXXX_!!151860970.jpg' />",No,,,0,/delonghi/delonghi-ECAM45326S.jpg,,,,,"欢迎前来「德藝緻」德國精品百貨，选购De Longhi德龙ETAM29.620.SB全自动咖啡机,想了解更多De Longhi德龙ETAM29.621.SB全自动咖啡机，请进入「德藝緻」德國精品百貨，任您选购。","「德藝緻」德國精品百貨, De Longhi德龙ETAM29.621.SB全自动咖啡机.",De Longhi德龙ETAM29.621.SB全自动咖啡机-「德藝緻」德國精品百貨,,,Use config,Use config,De Longhi德龙ECAM45.326.S全自动咖啡机,,,Product Info Column,,762,0,1、两行文本显示；专业奶沫器与Varioregler准备的卡布奇诺、拿铁玛奇朵或热牛奶；2、可拆卸的低维护组。3、集成德龙水过滤器；Vorbruh-香气-系统的完美咖啡享受；400g咖啡豆容器带香气保护盖；4、适合咖啡豆和咖啡粉；额外软锥形毛刺磨床（13阶段）5、五个预设的咖啡优势从非常温和到非常强；可移动1.9L水箱；6、完全自动冲洗和除垢方案，高度可调咖啡喷为达142毫米高；可移动滴水盘与水位指示器,,,/delonghi/delonghi-ECAM45326S.jpg,,,,,1,2,/delonghi/delonghi-ECAM45326S.jpg,,,delonghi-ECAM45326S,delonghi-ECAM45326S.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
zh-de-longhi-ecam-45366-hochglanz-schwarz,base,Electric,simple,[Chinese Category]/家用小电器/咖啡机,base,,,,De Longhi,,,,,Germany,,,,,,艺术与功能的完美结合，融入包豪斯设计流派理念，最新的Latte cream奶泡系统，完美奶泡一键完成，最静音的制作系统，俯视的液晶操控面板，符合人体工学，操作方便直观.产品特点：1、上仰式液晶触控屏幕和奶箱旋钮，人体工学，不用俯身，操作更轻松；2、不锈钢精致拉丝、镀铬工艺体现咖啡机低调的奢华；3、简约的现代实用主义设计几何图形勾勒包豪斯设计理念；4、内缩式倾斜机身设计，缩小机器体积，提供大操作空间。产品尺寸：26*36*46；重量：11KG；泵压力：15；咖啡豆仓容积：400克。<img  width='100%'  src='https://img.alicdn.com/imgextra/i1/355123897/TB2JzoycXXXXXcNXXXXXXXXXXXX-355123897.jpg' />,No,,,0,/delonghi/de-longhi-ecam-45366-hochglanz-schwarz.jpg,,,,,"欢迎前来「德藝緻」德國精品百貨，选购De Longhi德龙ECAM45.366.B全自动咖啡机,想了解更多De Longhi德龙ECAM45.366.B全自动咖啡机，请进入「德藝緻」德國精品百貨，任您选购。","「德藝緻」德國精品百貨, De Longhi德龙ECAM45.366.B全自动咖啡机",De Longhi德龙ECAM45.366.B全自动咖啡机-「德藝緻」德國精品百貨,,,Use config,Use config,De Longhi德龙ECAM45.366.B全自动咖啡机,,,Product Info Column,,999,0,"采用最新的德龙专利LatteCrema 拿铁奶泡系统 可以制作出更加细腻的奶泡~

一键Milk Menu 制作意式浓缩咖啡 玛琪雅朵 并有个性牛奶设置.",,,/delonghi/de-longhi-ecam-45366-hochglanz-schwarz.jpg,,,,,1,2,/delonghi/de-longhi-ecam-45366-hochglanz-schwarz.jpg,,,de-longhi-ecam-45366-hochglanz-schwarz,de-longhi-ecam-45366-hochglanz-schwarz.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
zh-delonghiECAM45366W,base,Electric,simple,[Chinese Category]/家用小电器/咖啡机,base,,,,De Longhi,,,,,Germany,,,,,,艺术与功能的完美结合，融入包豪斯设计流派理念，最新的Latte cream奶泡系统，完美奶泡一键完成，最静音的制作系统，俯视的液晶操控面板，符合人体工学，操作方便直观.产品特点：1、上仰式液晶触控屏幕和奶箱旋钮，人体工学，不用俯身，操作更轻松；2、不锈钢精致拉丝、镀铬工艺体现咖啡机低调的奢华；3、简约的现代实用主义设计几何图形勾勒包豪斯设计理念；4、内缩式倾斜机身设计，缩小机器体积，提供大操作空间。产品尺寸：26*36*46；重量：11KG；泵压力：15；咖啡豆仓容积：400克。<img  width='100%'  src='https://img.alicdn.com/imgextra/i4/350832635/TB2IDxSaVXXXXXsXXXXXXXXXXXX_!!350832635.jpg' />,No,,,0,/delonghi/delonghiECAM45366W.jpg,,,,,"欢迎前来「德藝緻」德國精品百貨，选购De Longhi德龙ECAM45.366.W全自动咖啡机,想了解更多De Longhi德龙ECAM45.366.W全自动咖啡机，请进入「德藝緻」德國精品百貨，任您选购。","「德藝緻」德國精品百貨,De Longhi德龙ECAM45.366.W全自动咖啡机",De Longhi德龙ECAM45.366.W全自动咖啡机-「德藝緻」德國精品百貨,,,Use config,Use config,De Longhi德龙ECAM45.366.W全自动咖啡机,,,Product Info Column,,999,0,"采用最新的德龙专利LatteCrema 拿铁奶泡系统 可以制作出更加细腻的奶泡~

一键Milk Menu 制作意式浓缩咖啡 玛琪雅朵 并有个性牛奶设置.",,,/delonghi/delonghiECAM45366W.jpg,,,,,1,2,/delonghi/delonghiECAM45366W.jpg,,,delonghiECAM45366W,delonghiECAM45366W.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
zh-delonghiETAM29.660SB,base,Electric,simple,[Chinese Category]/家用小电器/咖啡机,base,,,,De Longhi,,,,,Germany,,,,,,"产品特点：1、传感器面板与一键式操作，文本显示(可调16种语言）操作方便。2、额外的新创新的“Doppop”功能；3、专业牛奶发泡喷嘴，调整牛奶泡沫的一致性；4、可移动的易护理组：卫生、易清洗；5、温杯功能；6、咖啡洁容器指示器14杯；7、170克豆容器香气保护盖，适合于咖啡豆和咖啡粉。8、额外的软圆锥状毛刺磨磨（13级）：研磨程度对都可以单独调整；五种预设的咖啡浓度从轻微到非常强。产品尺寸：19.5*47.7*34；重量：9.7KG；泵压力：15；咖啡豆仓容积：150克。<img  width='100%'  src='https://img.alicdn.com/imgextra/i2/1629358780/TB2GbRciVXXXXaEXXXXXXXXXXXX_!!1629358780.jpg' />,<img  width='100%'  src='https://img.alicdn.com/imgextra/i1/1629358780/TB2OoQFiFXXXXcTXpXXXXXXXXXX_!!1629358780.jpg' />,<img  width='100%'  src='https://img.alicdn.com/imgextra/i1/1629358780/TB2HF0fiVXXXXXMXXXXXXXXXXXX_!!1629358780.jpg' />",No,,,0,/delonghi/delonghiETAM29.660.SB.jpg,,,,,"欢迎前来「德藝緻」德國精品百貨，选购De Longhi德龙ETAM29.660.SB全自动咖啡机,想了解更多De Longhi德龙ETAM29.660.SB全自动咖啡机，请进入「德藝緻」德國精品百貨，任您选购。","「德藝緻」德國精品百貨,De Longhi德龙ETAM29.660.SB全自动咖啡机.",De Longhi德龙ETAM29.660.SB全自动咖啡机-「德藝緻」德國精品百貨,,,Use config,Use config,De Longhi德龙ETAM29.660.SB全自动咖啡机,,,Product Info Column,,1999,0,专业设计咖啡萃取器；两杯咖啡一次萃取；一体式的清洁功能；便携式牛奶容器。,,,/delonghi/delonghiETAM29.660.SB.jpg,,,,,1,2,/delonghi/delonghiETAM29.660.SB.jpg,,,delonghiETAM29.660SB,delonghiETAM29.660SB.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
zh-delonghiECAM28465,base,Electric,simple,[Chinese Category]/家用小电器/咖啡机,base,,,,De Longhi,,,,,Germany,,,,,,"产品特点 ：1、新型的 “LatteCrema System” 优质卡布基诺系统:：完美呈现您钟爱的卡布基诺咖啡、拿铁玛奇朵咖啡和咖啡拿铁；2、 配备为制作蒸汽和热水的额外的独立卡布基诺系统；- 轻松定制个性化的咖啡，可根据个人的喜好选择小杯、中杯和大杯量咖啡，并选择浓淡不同的咖啡口味；同时还可以选择咖啡温度，较热，中等或低温咖啡；- 一次萃取可制作两杯咖啡；2、- 使用寿命超长的咖啡豆研磨器，可调节13档研磨程度；- 可调节咖啡量；- 可调节水量；- 预萃取循环；- 可调节咖啡流出口，可调节高度适用于从87毫米至142毫米的不同咖啡杯；3、- 可程序化设定自动开机或关机；4、- 可统计已制作咖啡杯数；5、- 暖杯功能；6、- 咖啡杯照明灯；7、- 需清洁卡布基诺系统提示；8、- 咖啡豆仓香味封存盖，更有效地保存咖啡的香味；- 咖啡渣容器清空提示：14杯/72小时；- 可拆卸式水箱（容量2升），配备水箱缺水提示；- 循环冲洗和自动除垢程序；9、- 水过滤器；- 可程序设定水硬度；- 可拆卸滴水盘，配备水位指示器；10、- 独立的电源开关，保证关机后0消耗；- 环保节能模。产品尺寸：23.8*47*35；产品重量：12.02KG；泵压力：15；咖啡豆仓容积：250克。<img  width='100%'  src='https://img.alicdn.com/imgextra/i4/2088142081/TB2P1ideFXXXXXaXXXXXXXXXXXX-2088142081.jpg' />,<img  width='100%'  src='https://img.alicdn.com/imgextra/i2/2088142081/TB2t1FZeFXXXXclXXXXXXXXXXXX-2088142081.jpg' />,<img  width='100%'  src='https://img.alicdn.com/imgextra/i3/2088142081/TB2mcl4eFXXXXbQXXXXXXXXXXXX-2088142081.jpg' />,<img  width='100%'  src='https://img.alicdn.com/imgextra/i4/2088142081/TB2Sx5XeFXXXXXSXXXXXXXXXXXX-2088142081.jpg' />",No,,,0,/delonghi/delonghiECAM28465.jpg,,,,,"欢迎前来「德藝緻」德國精品百貨，选购De Longhi德龙ECAM28.465全自动咖啡机,想了解更多De Longhi德龙ECAM28.465全自动咖啡机，请进入「德藝緻」德國精品百貨，任您选购。","「德藝緻」德國精品百貨,De Longhi德龙ECAM28.465全自动咖啡机.",De Longhi德龙ECAM28.465全自动咖啡机-「德藝緻」德國精品百貨,,,Use config,Use config,De Longhi德龙ECAM28.465全自动咖啡机,,,Product Info Column,,2999,0,双锅炉设计，一次萃取可制作两杯咖啡；独立的牛奶容器；单独的卡布基诺装置。,,,/delonghi/delonghiECAM28465.jpg,,,,,1,2,/delonghi/delonghiECAM28465.jpg,,,delonghiECAM28465,delonghiECAM28465.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
zh-delonghiECAM04120S,base,Electric,simple,[Chinese Category]/家用小电器/咖啡机,base,,,,De Longhi,,,,,Germany,,,,,,"产品特点：适用电压220-240V，两个圆孔插头，无需转换器，即插即用；升级金属奶泡管：相比旧款4200，升级了奶泡管材质，更耐用；可升降咖啡流出口：可调节咖啡流出口高度，适用不用高度杯子，方形扁平化设计，年轻时尚；金属滴水盘：金属质感更显大气；豆粉两用：咖啡豆和咖啡粉都可以用；可拆卸萃取器：萃取器可独立拆卸清洗，非常方便。简单易操作的控制面板：配有图标的按钮结合咖啡杯量和咖啡口味调节按钮，操作更简单便捷。一次萃取可制作两杯咖啡：可调节咖啡萃取量，一次萃取可制作出两杯地道的意式浓缩咖啡。新型卡布基诺系统：不仅可以加热牛奶，还可以充分融合了空气、蒸气和牛奶，产生细腻的牛奶泡沫，从而制作出口感纯正的意式卡布奇诺咖啡。产品尺寸：28*45*36；产品重量：10KG；泵压力：15；咖啡豆仓容积：200克。<img  width='100%'  src='https://img.alicdn.com/i4/TB1d7_0KXXXXXcRXFXXL6TaGpXX' />, <img  width='100%'  src='https://img.alicdn.com/i7/TB16kb9KXXXXXXXXFXXL6TaGpXX, <img  width='100%'  src='https://img.alicdn.com/i7/TB1gCf8KXXXXXXCXFXXL6TaGpXX' />",No,,,0,/delonghi/delonghiECAM04120S.jpg,,,,,"欢迎前来「德藝緻」德國精品百貨，选购De Longhi德龙ECAM04.120.S全自动咖啡机,想了解更多De Longhi德龙ECAM04.120.S全自动咖啡机，请进入「德藝緻」德國精品百貨，任您选购。","「德藝緻」德國精品百貨,De Longhi德龙ECAM04.120.S全自动咖啡机.",De Longhi德龙ECAM04.120.S全自动咖啡机-「德藝緻」德國精品百貨,,,Use config,Use config,De Longhi德龙ECAM04.120.S全自动咖啡机,,,Product Info Column,,599,0,简单易操作的控制面板；一次萃取可制作两杯咖啡；新型卡布基诺系统；内置咖啡豆研磨器；可拆卸式萃取机芯；咖啡豆和咖啡粉均可适用。,,,/delonghi/delonghiECAM04120S.jpg,,,,,1,2,/delonghi/delonghiECAM04120S.jpg,,,delonghiECAM04120S,delonghiECAM04120S.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
