sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
Wüsthof_3043o,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具,base,,,,Wuesthof,,,,,Germany,,,,,,"<div class=""std"">
        <h1>三叉戟 蔬果刀 橙色</h1><br>尺寸:刃长 8 cm<br><h3>特点:</h3>适用于厨房所有细致切割<br>蔬菜水果的完美切割,削皮和雕花<br>切洋葱和香料的好帮手<br>高品质特殊钢材<br>易清洁,适用于洗碗机<br>颜色: 橙色<br>百分百德国所灵根制造                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 </div><p>三叉的刀具产品，定位从低到高依次是银色沸点系列（Silverpoint）、美食家系列（Gourmet）、经典系列（Classic）、蓝带系列（Le Cordon Bleu)、艾柯经典系列（Classic Ikon）、科力纳系列（Culinar）、X-Line系列、以及最顶级的艾柯系列（Ikon)。</p>  <img width='80%' src='/media/wysiwyg/wusthof/wusthof-2.jpg'><img width='80%' src='/media/wysiwyg/wusthof/wusthof.jpg'>",No,,,0,,,,,三叉戟 蔬果刀 橙色 ,三叉戟 蔬果刀 橙色 ,三叉戟 蔬果刀 橙色  - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Wüsthof 三叉戟 蔬果刀 橙色,,,Product Info Column,,4.50,0,"三叉牌（Wüsthof）成立于1814年，位于著名的德国索林根(Solingen）刀具制造城。是国际著名的顶级厨房刀具品牌,Wüsthof 公司自1814年成立迄今一直由德国制造业巨头威斯托夫家族拥有.Wüsthof与别的品牌的不同之处是Wüsthof厨刀始终坚持定位中高端，全部产品只在德国生产。",,,,,,,1,2,,,   ,   .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Wüsthof_9313,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具/德国刀具套装,base,,,,Wuesthof,,,,,Germany,,,,,,"<div class=""std"">
        <h1>三叉戟 蔬果刀削皮刀两件套 黑色 </h1><br>尺寸:26,2 x 6,2 x 1,8 cm ; 59 g<br><h3>特点:</h3>适用于厨房所有细致切割<br>蔬菜水果的完美切割,削皮和雕花<br>高品质特殊钢材<br>易清洁,适用于洗碗机<br>颜色: 黑色<br>百分百德国所灵根制造                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                </div><p>三叉的刀具产品，定位从低到高依次是银色沸点系列（Silverpoint）、美食家系列（Gourmet）、经典系列（Classic）、蓝带系列（Le Cordon Bleu)、艾柯经典系列（Classic Ikon）、科力纳系列（Culinar）、X-Line系列、以及最顶级的艾柯系列（Ikon)。</p>  <img width='80%' src='/media/wysiwyg/wusthof/wusthof-2.jpg'><img width='80%' src='/media/wysiwyg/wusthof/wusthof.jpg'>",No,,,0,,,,,三叉戟 蔬果刀削皮刀两件套 黑色               ,三叉戟 蔬果刀削皮刀两件套 黑色               ,三叉戟 蔬果刀削皮刀两件套 黑色                - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Wüsthof 三叉戟 蔬果刀削皮刀两件套 黑色,,,Product Info Column,,8.90,0,"三叉牌（Wüsthof）成立于1814年，位于著名的德国索林根(Solingen）刀具制造城。是国际著名的顶级厨房刀具品牌,Wüsthof 公司自1814年成立迄今一直由德国制造业巨头威斯托夫家族拥有.Wüsthof与别的品牌的不同之处是Wüsthof厨刀始终坚持定位中高端，全部产品只在德国生产。",,,,,,,1,2,,,                 ,                 .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Wüsthof_9883,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,Wuesthof,,,,,Germany,,,,,,"<div class=""std"">
        <h1>三叉戟 烧烤配件4件套 </h1><br>内含:肉叉, 烧烤铲, 油刷, 夹子 ; 2,1 Kg<br>Wuesthof刀具都产自德国索林根，百分之百的德国血统，这可见在刀面上的""SOLINGEN GERMANY""标识。Wuesthof是一家1814年创立的家族企业，位于德国以出产优质钢材和刀具出名的小镇-索林根Solingen,它在德国拥有至高的刀具地位，是德国人首选的刀具品牌。经过200年的演变，Wuesthof拥有极其深厚的刀具文化底蕴和造刀技术,可以说Wuesthof出品，必属精品,它奉承将最高的品质和最优秀的技术运用到制作刀具上，让拥有和使用Wuesthof刀具成为一件令人愉悦的经历。                                                                                                                                                                                                                                                                                                                                                                   </div><p>三叉的刀具产品，定位从低到高依次是银色沸点系列（Silverpoint）、美食家系列（Gourmet）、经典系列（Classic）、蓝带系列（Le Cordon Bleu)、艾柯经典系列（Classic Ikon）、科力纳系列（Culinar）、X-Line系列、以及最顶级的艾柯系列（Ikon)。</p>  <img width='80%' src='/media/wysiwyg/wusthof/wusthof-2.jpg'><img width='80%' src='/media/wysiwyg/wusthof/wusthof.jpg'>",No,,,0,,,,,三叉戟 烧烤配件4件套                   ,三叉戟 烧烤配件4件套                   ,三叉戟 烧烤配件4件套                    - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Wüsthof 三叉戟 烧烤配件4件套,,,Product Info Column,,79.90,0,"三叉牌（Wüsthof）成立于1814年，位于著名的德国索林根(Solingen）刀具制造城。是国际著名的顶级厨房刀具品牌,Wüsthof 公司自1814年成立迄今一直由德国制造业巨头威斯托夫家族拥有.Wüsthof与别的品牌的不同之处是Wüsthof厨刀始终坚持定位中高端，全部产品只在德国生产。",,,,,,,1,2,,, 4                   , 4                   .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Wüsthof_9875,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具/德国刀具套装,base,,,,Wuesthof,,,,,Germany,,,,,,"<div class=""std"">
        <h1>三叉戟 套刀7件套 Classic Ikon系列</h1><br>尺寸:30,5 x 15,2 x 2,5 cm ; 159 g<br>含:蔬菜刀 4086 / 刃长 9 cm , 削皮刀 4020 / 刃长 7 cm, 面包刀 4166 / 刃长 23 cm, 火腿刀 4506 / 刃长 16 cm, 主厨刀 4596 / 刃长 20 cm, 磨刀棒, 多功能厨房剪, 原木托架<br>Wuesthof Classic IKON削皮刀4006 8cm<br><h3>Wuesthof Classic Ikon系列</h3>1、由整块不锈钢精准锻炼而成<br>2、创新的人体工程学设计，使用更舒服自如<br>3、完美力学平衡设计，让切割更轻松<br>4、三重铆钉安全连接整个刀膛和刀柄<br>5、更耐磨<br>6、独特的附加指撑设计<br><h3>X50CrMoV15合金钢 </h3>新刀极其锋利<br>洛式硬度值58<br>锋利持久且易恢复<br>高耐腐蚀性<h3>刀柄设计</h3>艺术品般的精致刀柄，三铆接人体工程学外形设计，精心分配的重量平衡感，无论握持还是使用都舒适顺手，有人刀合一的快感。 Wuesthof一直坚持刀柄无缝设计，并使用合成材料，既美观精致，又经久耐用，卫生标准达到NSF国际认证水平。                                                                                                                                                                                                                                                                                                                                                                   </div><p>三叉的刀具产品，定位从低到高依次是银色沸点系列（Silverpoint）、美食家系列（Gourmet）、经典系列（Classic）、蓝带系列（Le Cordon Bleu)、艾柯经典系列（Classic Ikon）、科力纳系列（Culinar）、X-Line系列、以及最顶级的艾柯系列（Ikon)。</p>  <img width='80%' src='/media/wysiwyg/wusthof/wusthof-2.jpg'><img width='80%' src='/media/wysiwyg/wusthof/wusthof.jpg'>",No,,,0,,,,,三叉戟 套刀7件套 Classic Ikon系列,三叉戟 套刀7件套 Classic Ikon系列,三叉戟 套刀7件套 Classic Ikon系列 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Wüsthof 三叉戟 套刀7件套 Classic Ikon系列,,,Product Info Column,,415.00,0,"三叉牌（Wüsthof）成立于1814年，位于著名的德国索林根(Solingen）刀具制造城。是国际著名的顶级厨房刀具品牌,Wüsthof 公司自1814年成立迄今一直由德国制造业巨头威斯托夫家族拥有.Wüsthof与别的品牌的不同之处是Wüsthof厨刀始终坚持定位中高端，全部产品只在德国生产。",,,,,,,1,2,,, 7 Classic Ikon, 7 Classic Ikon.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Wüsthof_9753,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具,base,,,,Wuesthof,,,,,Germany,,,,,,"<div class=""std"">
        <h1>三叉戟 寿司刀柳叶刀 含木刀套 Classic系列 </h1><br>尺寸: 38 x 27,5 x 3,2 cm ; 358 g<br>Wuesthof Classic系列柳叶刀，23cm刀形，三叉唯一出品的柳叶刀。整刀采用特质高碳钢一体锻造成形，保证极其出色的强度和完美的整体造型。融合美学设计的刀柄，实现完美配重分配和舒适的持刀握感。刀柄无缝设计，采用特制的合成材料，耐磨耐高温，达到NSF国际卫生标准。采用Wuesthof自家特有的PEtec-锋利刀刃技术，使刀更坚硬持久。<br><h3>Wuesthof Classic系列特点</h3>Wuesthof最经典的系列，经过百年历史考验<br>整刀一体成形，达到极出色的强度<br>PEtec技术，使刀更锋利持久<br>特制合金钢X50CrMoV15<br>刀柄无缝设计，NSF国际卫生标准<br>合成材料刀柄，耐磨耐高温<br>刀具维护方便 <h3>X50CrMoV15合金钢 </h3>新刀极其锋利<br>洛式硬度值58<br>锋利持久且易恢复<br>高耐腐蚀性<h3>刀柄设计</h3>三铆接刀柄，精心设计的平衡感，无论握持还是使用都舒适顺手，有人刀合一的快感。 Wuesthof一直坚持刀柄无缝设计，并使用合成材料，既美观精致，又经久耐用，卫生标准达到NSF国际认证水平。                                                                                                                                                                                                                                                                                                                                                                   </div><p>三叉的刀具产品，定位从低到高依次是银色沸点系列（Silverpoint）、美食家系列（Gourmet）、经典系列（Classic）、蓝带系列（Le Cordon Bleu)、艾柯经典系列（Classic Ikon）、科力纳系列（Culinar）、X-Line系列、以及最顶级的艾柯系列（Ikon)。</p>  <img width='80%' src='/media/wysiwyg/wusthof/wusthof-2.jpg'><img width='80%' src='/media/wysiwyg/wusthof/wusthof.jpg'>",No,,,0,,,,,三叉戟 寿司刀柳叶刀 含木刀套 Classic系列                ,三叉戟 寿司刀柳叶刀 含木刀套 Classic系列                ,三叉戟 寿司刀柳叶刀 含木刀套 Classic系列                 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Wüsthof 三叉戟 寿司刀柳叶刀 含木刀套 Classic系列,,,Product Info Column,,99.00,0,"三叉牌（Wüsthof）成立于1814年，位于著名的德国索林根(Solingen）刀具制造城。是国际著名的顶级厨房刀具品牌,Wüsthof 公司自1814年成立迄今一直由德国制造业巨头威斯托夫家族拥有.Wüsthof与别的品牌的不同之处是Wüsthof厨刀始终坚持定位中高端，全部产品只在德国生产。",,,,,,,1,2,,,   Classic                ,   Classic                .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Wüsthof_9343r,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具/德国刀具套装,base,,,,Wuesthof,,,,,Germany,,,,,,"<div class=""std"">
        <h1>三叉戟 蔬果刀削皮刀两件套 红色</h1><br>尺寸:26,4 x 7,2 x 1,8 cm ; 59 g<br><h3>特点:</h3>适用于厨房所有细致切割<br>蔬菜水果的完美切割,削皮和雕花<br>高品质特殊钢材<br>易清洁,适用于洗碗机<br>颜色: 红色<br>百分百德国所灵根制造                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           </div><p>三叉的刀具产品，定位从低到高依次是银色沸点系列（Silverpoint）、美食家系列（Gourmet）、经典系列（Classic）、蓝带系列（Le Cordon Bleu)、艾柯经典系列（Classic Ikon）、科力纳系列（Culinar）、X-Line系列、以及最顶级的艾柯系列（Ikon)。</p>  <img width='80%' src='/media/wysiwyg/wusthof/wusthof-2.jpg'><img width='80%' src='/media/wysiwyg/wusthof/wusthof.jpg'>",No,,,0,,,,,三叉戟 蔬果刀削皮刀两件套 红色  ,三叉戟 蔬果刀削皮刀两件套 红色  ,三叉戟 蔬果刀削皮刀两件套 红色   - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Wüsthof 三叉戟 蔬果刀削皮刀两件套 红色,,,Product Info Column,,8.90,0,"三叉牌（Wüsthof）成立于1814年，位于著名的德国索林根(Solingen）刀具制造城。是国际著名的顶级厨房刀具品牌,Wüsthof 公司自1814年成立迄今一直由德国制造业巨头威斯托夫家族拥有.Wüsthof与别的品牌的不同之处是Wüsthof厨刀始终坚持定位中高端，全部产品只在德国生产。",,,,,,,1,2,,,    ,    .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Wüsthof_9343,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具/德国刀具套装,base,,,,Wuesthof,,,,,Germany,,,,,,"<div class=""std"">
        <h1>三叉戟 蔬果刀削皮刀两件套 黑色</h1><br>尺寸:26,4 x 7,2 x 1,8 cm ; 59 g<br><h3>特点:</h3>适用于厨房所有细致切割<br>蔬菜水果的完美切割,削皮和雕花<br>高品质特殊钢材<br>易清洁,适用于洗碗机<br>颜色: 黑色<br>百分百德国所灵根制造                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            </div><p>三叉的刀具产品，定位从低到高依次是银色沸点系列（Silverpoint）、美食家系列（Gourmet）、经典系列（Classic）、蓝带系列（Le Cordon Bleu)、艾柯经典系列（Classic Ikon）、科力纳系列（Culinar）、X-Line系列、以及最顶级的艾柯系列（Ikon)。</p>  <img width='80%' src='/media/wysiwyg/wusthof/wusthof-2.jpg'><img width='80%' src='/media/wysiwyg/wusthof/wusthof.jpg'>",No,,,0,,,,,三叉戟 蔬果刀削皮刀两件套 黑色 ,三叉戟 蔬果刀削皮刀两件套 黑色 ,三叉戟 蔬果刀削皮刀两件套 黑色  - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Wüsthof 三叉戟 蔬果刀削皮刀两件套 黑色,,,Product Info Column,,8.90,0,"三叉牌（Wüsthof）成立于1814年，位于著名的德国索林根(Solingen）刀具制造城。是国际著名的顶级厨房刀具品牌,Wüsthof 公司自1814年成立迄今一直由德国制造业巨头威斯托夫家族拥有.Wüsthof与别的品牌的不同之处是Wüsthof厨刀始终坚持定位中高端，全部产品只在德国生产。",,,,,,,1,2,,,   ,   .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Wüsthof_9341r,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具/德国刀具套装,base,,,,Wuesthof,,,,,Germany,,,,,,"<div class=""std"">
        <h1>三叉戟 烧烤切肉刀两件套 红色  </h1><br>尺寸:26,4 x 8 x 2 cm ; 100 g<br><h3>特点:</h3>适用于厨房所有细致切割<br>锯齿刀刃<br>轻松切割坚硬的香肠,面包和奶酪和烤肉<br>高品质特殊钢材<br>易清洁,适用于洗碗机<br>颜色: 红色<br>百分百德国所灵根制造                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           </div><p>三叉的刀具产品，定位从低到高依次是银色沸点系列（Silverpoint）、美食家系列（Gourmet）、经典系列（Classic）、蓝带系列（Le Cordon Bleu)、艾柯经典系列（Classic Ikon）、科力纳系列（Culinar）、X-Line系列、以及最顶级的艾柯系列（Ikon)。</p>  <img width='80%' src='/media/wysiwyg/wusthof/wusthof-2.jpg'><img width='80%' src='/media/wysiwyg/wusthof/wusthof.jpg'>",No,,,0,,,,,三叉戟 烧烤切肉刀两件套 红色                ,三叉戟 烧烤切肉刀两件套 红色                ,三叉戟 烧烤切肉刀两件套 红色                 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Wüsthof 三叉戟 烧烤切肉刀两件套 红色,,,Product Info Column,,9.90,0,"三叉牌（Wüsthof）成立于1814年，位于著名的德国索林根(Solingen）刀具制造城。是国际著名的顶级厨房刀具品牌,Wüsthof 公司自1814年成立迄今一直由德国制造业巨头威斯托夫家族拥有.Wüsthof与别的品牌的不同之处是Wüsthof厨刀始终坚持定位中高端，全部产品只在德国生产。",,,,,,,1,2,,,                  ,                  .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Wüsthof_9341,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具/德国刀具套装,base,,,,Wuesthof,,,,,Germany,,,,,,"<div class=""std"">
        <h1>三叉戟 烧烤切肉刀两件套 黑色</h1><br>尺寸:26,4 x 8 x 2 cm ; 100 g<br><h3>特点:</h3>适用于厨房所有细致切割<br>锯齿刀刃<br>轻松切割坚硬的香肠,面包和奶酪和烤肉<br>高品质特殊钢材<br>易清洁,适用于洗碗机<br>颜色: 橙色<br>百分百德国所灵根制造                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            </div><p>三叉的刀具产品，定位从低到高依次是银色沸点系列（Silverpoint）、美食家系列（Gourmet）、经典系列（Classic）、蓝带系列（Le Cordon Bleu)、艾柯经典系列（Classic Ikon）、科力纳系列（Culinar）、X-Line系列、以及最顶级的艾柯系列（Ikon)。</p>  <img width='80%' src='/media/wysiwyg/wusthof/wusthof-2.jpg'><img width='80%' src='/media/wysiwyg/wusthof/wusthof.jpg'>",No,,,0,,,,,三叉戟 烧烤切肉刀两件套 黑色          ,三叉戟 烧烤切肉刀两件套 黑色          ,三叉戟 烧烤切肉刀两件套 黑色           - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Wüsthof 三叉戟 烧烤切肉刀两件套 黑色,,,Product Info Column,,9.90,0,"三叉牌（Wüsthof）成立于1814年，位于著名的德国索林根(Solingen）刀具制造城。是国际著名的顶级厨房刀具品牌,Wüsthof 公司自1814年成立迄今一直由德国制造业巨头威斯托夫家族拥有.Wüsthof与别的品牌的不同之处是Wüsthof厨刀始终坚持定位中高端，全部产品只在德国生产。",,,,,,,1,2,,,            ,            .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Wüsthof_9333o,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具/德国刀具套装,base,,,,Wuesthof,,,,,Germany,,,,,,"<div class=""std"">
        <h1>三叉戟 蔬果刀削皮刀三件套 橙色</h1><br>尺寸:26,4 x 10,2 x 2 cm ; 118 g<br><h3>特点:</h3>适用于厨房所有细致切割<br>锯齿刀刃<br>切西红柿,蔬菜和水果的好帮手<br>同样也轻松切割坚硬的香肠,面包和奶酪<br>高品质特殊钢材<br>易清洁,适用于洗碗机<br>颜色: 橙色<br>百分百德国所灵根制造                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             </div><p>三叉的刀具产品，定位从低到高依次是银色沸点系列（Silverpoint）、美食家系列（Gourmet）、经典系列（Classic）、蓝带系列（Le Cordon Bleu)、艾柯经典系列（Classic Ikon）、科力纳系列（Culinar）、X-Line系列、以及最顶级的艾柯系列（Ikon)。</p>  <img width='80%' src='/media/wysiwyg/wusthof/wusthof-2.jpg'><img width='80%' src='/media/wysiwyg/wusthof/wusthof.jpg'>",No,,,0,,,,,三叉戟 蔬果刀削皮刀三件套 橙色                 ,三叉戟 蔬果刀削皮刀三件套 橙色                 ,三叉戟 蔬果刀削皮刀三件套 橙色                  - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Wüsthof 三叉戟 蔬果刀削皮刀三件套 橙色,,,Product Info Column,,14.50,0,"三叉牌（Wüsthof）成立于1814年，位于著名的德国索林根(Solingen）刀具制造城。是国际著名的顶级厨房刀具品牌,Wüsthof 公司自1814年成立迄今一直由德国制造业巨头威斯托夫家族拥有.Wüsthof与别的品牌的不同之处是Wüsthof厨刀始终坚持定位中高端，全部产品只在德国生产。",,,,,,,1,2,,,                   ,                   .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
