sku,_store,_attribute_set,_type,categories,name,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
Zielonka_41150,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,Zielonka 异味杀手 XL空气除味器 含 玻璃碗 白色,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>异味杀手 XL 60平米空气除味器 白色</h1><br>尺寸: 275 x 207 x 101 cm<br><h3>特点:</h3>1,通过分解有毒气体和异味的分子颗粒工作的.而不是简单地将异味遮盖;<br>2,不产生任何新的污染,对儿童和宠物都是安全的;<br>3,非常经济,工作的时候只需要水和空气,高品质的不锈钢<br>4,永不生锈,您可以终生使用它而不需要再花费金钱去购买其它的产品;<br>5,使用方便,可以在任何空气污染和有异味的地方使用;<br>6,携带方便;<br>7,不用电,无噪音;<br>8,光洁而漂亮的不锈合金,可作为一个装饰品放在居室中的任何地方<br><h3>使用方法</h3>1.第一次使用请先用温热的肥皂水清洗净化片.<br>2.将净化片沾湿或部分浸泡于水中即可产生作用.<br>3.初次使用需经过2-3小时才能充分发挥作用,之后便可时无刻不在作用.<br>4.请勿将合金块整个浸泡于水中,因为不锈钢合金块需同时接触水与空气才能发挥作用.    </div><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,,,,,异味杀手 XL空气除味器 含 玻璃碗 白色,异味杀手 XL空气除味器 含 玻璃碗 白色,异味杀手 XL空气除味器 含 玻璃碗 白色 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,39.95,0,德国zielonka空气净化器，也被称为异味杀手，是德国Zielonka公司对空气净化和除臭技术的一次革命。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。空气净化除味器不需要任何能源和化学添加剂，仅用一种高级的不锈钢合金在接触氧气和水的条件下就能不停地工作50年以上。它可以迅速清除办公室，起居室，卫生间，厨房间，汽车和冰箱中的一切异味和对人体有害的气体（如：新装修的房子和新汽车中的甲醛和苯）。,,,,,,,1,2,,, XL   , XL   .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15224,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,Zielonka 经典款空气除味器 带碗 柠檬,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>经典款空气除味器 柠檬</h1><br>尺寸: 不锈钢圆芯直径: 5cm;  底座: 7.5*8cm,<br>重量: 不锈钢圆芯: 143g; 整体: 172g<br><h3>特点:</h3>1,通过分解有毒气体和异味的分子颗粒工作的.而不是简单地将异味遮盖;<br>2,不产生任何新的污染,对儿童和宠物都是安全的;<br>3,非常经济,工作的时候只需要水和空气,高品质的不锈钢<br>4,永不生锈,您可以终生使用它而不需要再花费金钱去购买其它的产品;<br>5,使用方便,可以在任何空气污染和有异味的地方使用;<br>6,携带方便;<br>7,不用电,无噪音;<br>8,光洁而漂亮的不锈合金,可作为一个装饰品放在居室中的任何地方<br><h3>使用方法</h3>1.第一次使用请先用温热的肥皂水清洗净化片.<br>2.将净化片沾湿或部分浸泡于水中即可产生作用.<br>3.初次使用需经过2-3小时才能充分发挥作用,之后便可时无刻不在作用.<br>4.请勿将合金块整个浸泡于水中,因为不锈钢合金块需同时接触水与空气才能发挥作用.    </div><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,,,,,经典款空气除味器 带碗 柠檬,经典款空气除味器 带碗 柠檬,经典款空气除味器 带碗 柠檬 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,24.95,0,德国zielonka空气净化器，也被称为异味杀手，是德国Zielonka公司对空气净化和除臭技术的一次革命。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。空气净化除味器不需要任何能源和化学添加剂，仅用一种高级的不锈钢合金在接触氧气和水的条件下就能不停地工作50年以上。它可以迅速清除办公室，起居室，卫生间，厨房间，汽车和冰箱中的一切异味和对人体有害的气体（如：新装修的房子和新汽车中的甲醛和苯）。,,,,,,,1,2,,,  ,  .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15213,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,Zielonka 经典款空气除味器 带 红色,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>经典款空气除味器 红色</h1><br>尺寸: 不锈钢圆芯直径: 5cm;  底座: 7.5*8cm,<br>重量: 不锈钢圆芯: 143g; 整体: 172g<br><h3>特点:</h3>1,通过分解有毒气体和异味的分子颗粒工作的.而不是简单地将异味遮盖;<br>2,不产生任何新的污染,对儿童和宠物都是安全的;<br>3,非常经济,工作的时候只需要水和空气,高品质的不锈钢<br>4,永不生锈,您可以终生使用它而不需要再花费金钱去购买其它的产品;<br>5,使用方便,可以在任何空气污染和有异味的地方使用;<br>6,携带方便;<br>7,不用电,无噪音;<br>8,光洁而漂亮的不锈合金,可作为一个装饰品放在居室中的任何地方<br><h3>使用方法</h3>1.第一次使用请先用温热的肥皂水清洗净化片.<br>2.将净化片沾湿或部分浸泡于水中即可产生作用.<br>3.初次使用需经过2-3小时才能充分发挥作用,之后便可时无刻不在作用.<br>4.请勿将合金块整个浸泡于水中,因为不锈钢合金块需同时接触水与空气才能发挥作用.    </div><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,,,,,经典款空气除味器 带 红色,经典款空气除味器 带 红色,经典款空气除味器 带 红色 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,24.95,0,德国zielonka空气净化器，也被称为异味杀手，是德国Zielonka公司对空气净化和除臭技术的一次革命。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。空气净化除味器不需要任何能源和化学添加剂，仅用一种高级的不锈钢合金在接触氧气和水的条件下就能不停地工作50年以上。它可以迅速清除办公室，起居室，卫生间，厨房间，汽车和冰箱中的一切异味和对人体有害的气体（如：新装修的房子和新汽车中的甲醛和苯）。,,,,,,,1,2,,,  ,  .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15214,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,"Zielonka 经典款空气除味器 带 碗, Acryl 橙色",base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>经典款空气除味器 Acryl 橙色</h1><br>尺寸: 不锈钢圆芯直径: 5cm;  底座: 7.5*8cm,<br>重量: 不锈钢圆芯: 143g; 整体: 172g<br><h3>特点:</h3>1,通过分解有毒气体和异味的分子颗粒工作的.而不是简单地将异味遮盖;<br>2,不产生任何新的污染,对儿童和宠物都是安全的;<br>3,非常经济,工作的时候只需要水和空气,高品质的不锈钢<br>4,永不生锈,您可以终生使用它而不需要再花费金钱去购买其它的产品;<br>5,使用方便,可以在任何空气污染和有异味的地方使用;<br>6,携带方便;<br>7,不用电,无噪音;<br>8,光洁而漂亮的不锈合金,可作为一个装饰品放在居室中的任何地方<br><h3>使用方法</h3>1.第一次使用请先用温热的肥皂水清洗净化片.<br>2.将净化片沾湿或部分浸泡于水中即可产生作用.<br>3.初次使用需经过2-3小时才能充分发挥作用,之后便可时无刻不在作用.<br>4.请勿将合金块整个浸泡于水中,因为不锈钢合金块需同时接触水与空气才能发挥作用.    </div><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,,,,,"经典款空气除味器 带 碗, Acryl 橙色","经典款空气除味器 带 碗, Acryl 橙色","经典款空气除味器 带 碗, Acryl 橙色 - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,,,Product Info Column,,24.95,0,德国zielonka空气净化器，也被称为异味杀手，是德国Zielonka公司对空气净化和除臭技术的一次革命。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。空气净化除味器不需要任何能源和化学添加剂，仅用一种高级的不锈钢合金在接触氧气和水的条件下就能不停地工作50年以上。它可以迅速清除办公室，起居室，卫生间，厨房间，汽车和冰箱中的一切异味和对人体有害的气体（如：新装修的房子和新汽车中的甲醛和苯）。,,,,,,,1,2,,,"  , Acryl ","  , Acryl .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15210,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,Zielonka 经典款空气除味器 带 碗 薄荷,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>经典款空气除味器 薄荷</h1><br>尺寸: 不锈钢圆芯直径: 5cm;  底座: 7.5*8cm,<br>重量: 不锈钢圆芯: 143g; 整体: 172g<br><h3>特点:</h3>1,通过分解有毒气体和异味的分子颗粒工作的.而不是简单地将异味遮盖;<br>2,不产生任何新的污染,对儿童和宠物都是安全的;<br>3,非常经济,工作的时候只需要水和空气,高品质的不锈钢<br>4,永不生锈,您可以终生使用它而不需要再花费金钱去购买其它的产品;<br>5,使用方便,可以在任何空气污染和有异味的地方使用;<br>6,携带方便;<br>7,不用电,无噪音;<br>8,光洁而漂亮的不锈合金,可作为一个装饰品放在居室中的任何地方<br><h3>使用方法</h3>1.第一次使用请先用温热的肥皂水清洗净化片.<br>2.将净化片沾湿或部分浸泡于水中即可产生作用.<br>3.初次使用需经过2-3小时才能充分发挥作用,之后便可时无刻不在作用.<br>4.请勿将合金块整个浸泡于水中,因为不锈钢合金块需同时接触水与空气才能发挥作用.    </div><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,,,,,经典款空气除味器 带 碗 薄荷,经典款空气除味器 带 碗 薄荷,经典款空气除味器 带 碗 薄荷 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,24.95,0,德国zielonka空气净化器，也被称为异味杀手，是德国Zielonka公司对空气净化和除臭技术的一次革命。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。空气净化除味器不需要任何能源和化学添加剂，仅用一种高级的不锈钢合金在接触氧气和水的条件下就能不停地工作50年以上。它可以迅速清除办公室，起居室，卫生间，厨房间，汽车和冰箱中的一切异味和对人体有害的气体（如：新装修的房子和新汽车中的甲醛和苯）。,,,,,,,1,2,,,   ,   .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15006,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,Zielonka 经典款 黑色 16平米家用空气净化器,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>经典款 黑色 16平米家用空气净化器</h1><br>尺寸: 不锈钢圆芯直径: 5cm;  底座: 7.5*8cm,<br>重量: 不锈钢圆芯: 143g; 整体: 172g<br><h3>特点:</h3>1,通过分解有毒气体和异味的分子颗粒工作的.而不是简单地将异味遮盖;<br>2,不产生任何新的污染,对儿童和宠物都是安全的;<br>3,非常经济,工作的时候只需要水和空气,高品质的不锈钢<br>4,永不生锈,您可以终生使用它而不需要再花费金钱去购买其它的产品;<br>5,使用方便,可以在任何空气污染和有异味的地方使用;<br>6,携带方便;<br>7,不用电,无噪音;<br>8,光洁而漂亮的不锈合金,可作为一个装饰品放在居室中的任何地方<br><h3>使用方法</h3>1.第一次使用请先用温热的肥皂水清洗净化片.<br>2.将净化片沾湿或部分浸泡于水中即可产生作用.<br>3.初次使用需经过2-3小时才能充分发挥作用,之后便可时无刻不在作用.<br>4.请勿将合金块整个浸泡于水中,因为不锈钢合金块需同时接触水与空气才能发挥作用.    </div><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,,,,,经典款 黑色 16平米家用空气净化器                  ,经典款 黑色 16平米家用空气净化器                  ,经典款 黑色 16平米家用空气净化器                   - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,24.95,0,德国zielonka空气净化器，也被称为异味杀手，是德国Zielonka公司对空气净化和除臭技术的一次革命。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。空气净化除味器不需要任何能源和化学添加剂，仅用一种高级的不锈钢合金在接触氧气和水的条件下就能不停地工作50年以上。它可以迅速清除办公室，起居室，卫生间，厨房间，汽车和冰箱中的一切异味和对人体有害的气体（如：新装修的房子和新汽车中的甲醛和苯）。,,,,,,,1,2,,,  16                  ,  16                  .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15004,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,Zielonka 男士 鞋用除味器 2片装,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>男士 鞋用除味器 2片装</h1><br>尺寸:直径：3cm 厚：2.5mm<br>它非常适合喜爱运动和脚部容易出汗的男士，及时清除鞋内产生的臭味，还您一个绅士形象。<br>用于所有的鞋靴，比如运动鞋、皮鞋等，它非常适用于喜爱运动的人士和脚部容易出汗的群体，两片小小的圆盘放置在您的鞋里就可以免除脚臭给您带来的尴尬，一但将它粘牢在您的鞋子里，您恐怕就感觉不到它的存在，更不可能粘在您的脚上，放心使用吧！它可以使您告别气味的尴尬和烦恼。<br>将本品背面的胶带撕开,放在鞋中感觉最舒适的位置固定好。当您行走的时候,洁灵卡异味杀手能在潮湿空气的作用下有效阻止鞋内异味的产生。有了鞋用洁灵卡异味杀手,您的脚步将会更加轻盈～    </div><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,,,,,男士 鞋用除味器 2片装                        ,男士 鞋用除味器 2片装                        ,男士 鞋用除味器 2片装                         - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,15.95,0,德国zielonka空气净化器，也被称为异味杀手，是德国Zielonka公司对空气净化和除臭技术的一次革命。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。空气净化除味器不需要任何能源和化学添加剂，仅用一种高级的不锈钢合金在接触氧气和水的条件下就能不停地工作50年以上。它可以迅速清除办公室，起居室，卫生间，厨房间，汽车和冰箱中的一切异味和对人体有害的气体（如：新装修的房子和新汽车中的甲醛和苯）。,,,,,,,1,2,,,  2                        ,  2                        .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_20000,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,Zielonka 消毒除味套装 含微纤维布,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>金属不锈钢清洗剂 去污除锈 含微纤维布</h1><br>250ml<h3>特点:</h3>本品环保配方对不锈钢表面无腐蚀性,能有效去除上述物体表明的油迹,污迹,而且对其表面的黄锈斑也能有效去除,气味芳香,使用后,本品特有的特殊表明活性剂能有效防止尘埃等再次聚集于不锈钢表面,使之持久明亮,光洁如新.                                                                                                                                                                                                                                                               </div><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,,,,,消毒除味套装 含微纤维布,消毒除味套装 含微纤维布,消毒除味套装 含微纤维布 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,5.83,0,德国zielonka空气净化器，也被称为异味杀手，是德国Zielonka公司对空气净化和除臭技术的一次革命。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。空气净化除味器不需要任何能源和化学添加剂，仅用一种高级的不锈钢合金在接触氧气和水的条件下就能不停地工作50年以上。它可以迅速清除办公室，起居室，卫生间，厨房间，汽车和冰箱中的一切异味和对人体有害的气体（如：新装修的房子和新汽车中的甲醛和苯）。,,,,,,,1,2,,, , .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_40009,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,Zielonka 洗碗机除味杀手二合一 白色,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>洗碗机除味杀手二合一 白色</h1><br><h3>特点:</h3>1,通过分解有毒气体和异味的分子颗粒工作的.而不是简单地将异味遮盖;<br>2,不产生任何新的污染,对儿童和宠物都是安全的;<br>3,非常经济,工作的时候只需要水和空气,高品质的不锈钢<br>4,永不生锈,您可以终生使用它而不需要再花费金钱去购买其它的产品;<br>5,使用方便,可以在任何空气污染和有异味的地方使用;<br>6,携带方便;<br>7,不用电,无噪音;<h3>使用方法</h3>1.第一次使用请先用温热的肥皂水清洗净化片.<br>2.将净化片沾湿或部分浸泡于水中即可产生作用.<br>3.初次使用需经过2-3小时才能充分发挥作用,之后便可时无刻不在作用.<br>4.请勿将合金块整个浸泡于水中,因为不锈钢合金块需同时接触水与空气才能发挥作用.    </div><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,,,,,洗碗机除味杀手二合一 白色                       ,洗碗机除味杀手二合一 白色                       ,洗碗机除味杀手二合一 白色                        - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,15.95,0,德国zielonka空气净化器，也被称为异味杀手，是德国Zielonka公司对空气净化和除臭技术的一次革命。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。空气净化除味器不需要任何能源和化学添加剂，仅用一种高级的不锈钢合金在接触氧气和水的条件下就能不停地工作50年以上。它可以迅速清除办公室，起居室，卫生间，厨房间，汽车和冰箱中的一切异味和对人体有害的气体（如：新装修的房子和新汽车中的甲醛和苯）。,,,,,,,1,2,,,                        ,                        .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_40010,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,Zielonka 洗碗机除味器 异味杀手 2合1,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>洗碗机除味杀手二合一 黄色</h1><br><h3>特点:</h3>1,通过分解有毒气体和异味的分子颗粒工作的.而不是简单地将异味遮盖;<br>2,不产生任何新的污染,对儿童和宠物都是安全的;<br>3,非常经济,工作的时候只需要水和空气,高品质的不锈钢<br>4,永不生锈,您可以终生使用它而不需要再花费金钱去购买其它的产品;<br>5,使用方便,可以在任何空气污染和有异味的地方使用;<br>6,携带方便;<br>7,不用电,无噪音;<h3>使用方法</h3>1.第一次使用请先用温热的肥皂水清洗净化片.<br>2.将净化片沾湿或部分浸泡于水中即可产生作用.<br>3.初次使用需经过2-3小时才能充分发挥作用,之后便可时无刻不在作用.<br>4.请勿将合金块整个浸泡于水中,因为不锈钢合金块需同时接触水与空气才能发挥作用.    </div><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,,,,,洗碗机除味器 异味杀手 2合1,洗碗机除味器 异味杀手 2合1,洗碗机除味器 异味杀手 2合1 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,15.95,0,德国zielonka空气净化器，也被称为异味杀手，是德国Zielonka公司对空气净化和除臭技术的一次革命。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。空气净化除味器不需要任何能源和化学添加剂，仅用一种高级的不锈钢合金在接触氧气和水的条件下就能不停地工作50年以上。它可以迅速清除办公室，起居室，卫生间，厨房间，汽车和冰箱中的一切异味和对人体有害的气体（如：新装修的房子和新汽车中的甲醛和苯）。,,,,,,,1,2,,,  21,  21.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
